typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20070101,2007,52,2007,8,ALB,Albania,X,Export,0,W00,World,0,W00,World,H2,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,16175577.0,False,-1,N/A,,False,16175577.0,False,,False,,10506495.0,10506495.0,0,True,False
C,A,20070101,2007,52,2007,32,ARG,Argentina,X,Export,0,W00,World,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,685535655.0,False,-1,N/A,,False,685535655.0,False,,False,,1358050800.0,1358050800.0,0,True,False
C,A,20070101,2007,52,2007,36,AUS,Australia,X,Export,0,W00,World,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1631067101.0,False,-1,N/A,,False,1631067101.0,False,,False,,3226370097.0,3226370097.0,0,True,False
C,A,20070101,2007,52,2007,40,AUT,Austria,X,Export,0,W00,World,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,61900.0,False,-1,N/A,,False,61900.0,False,,False,,219744.0,219744.0,0,True,False
C,A,20070101,2007,52,2007,51,ARM,Armenia,X,Export,0,W00,World,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,60951657.0,False,-1,N/A,,False,60951657.0,False,,False,,88062130.0,88062130.0,0,True,False
C,A,20070101,2007,52,2007,56,BEL,Belgium,X,Export,0,W00,World,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1060664.0,False,-1,N/A,,False,1060664.0,False,,False,,715460.0,715460.0,0,True,False
C,A,20070101,2007,52,2007,68,BOL,Bolivia (Plurinational State of),X,Export,0,W00,World,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,636917.12,False,8,kg,636917.12,False,6073432.04,False,6221598.18,False,0.0,4677780.39,4677780.39,0,False,True
C,A,20070101,2007,52,2007,72,BWA,Botswana,X,Export,0,W00,World,0,W00,World,H1,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,80226184.0,False,-1,N/A,,False,80226184.0,False,,False,,167453527.0,167453527.0,0,False,False
C,A,20070101,2007,52,2007,76,BRA,Brazil,X,Export,0,W00,World,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3579013.0,False,8,kg,3579013.0,False,573241273.0,False,0.0,False,0.0,1032311709.0,1032311709.0,0,False,True
C,A,20070101,2007,52,2007,100,BGR,Bulgaria,X,Export,0,W00,World,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,168149367.0,False,-1,N/A,,False,168149367.0,False,,False,,253591280.0,253591280.0,0,True,False
C,A,20070101,2007,52,2007,124,CAN,Canada,X,Export,0,W00,World,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,216207641.0,False,-1,N/A,,False,216207641.0,False,,False,,1449602909.0,1449602909.0,0,True,False
C,A,20070101,2007,52,2007,152,CHL,Chile,X,Export,0,W00,World,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2125192310.0,False,8,kg,2125192310.0,False,2125192310.0,False,0.0,False,0.0,14682516091.47,14682516091.47,0,False,True
C,A,20070101,2007,52,2007,156,CHN,China,X,Export,0,W00,World,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,610279.0,False,-1,N/A,,False,610279.0,False,,False,,95428.0,95428.0,0,True,False
C,A,20070101,2007,52,2007,218,ECU,Ecuador,X,Export,0,W00,World,0,W00,World,H2,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,905565.0,False,-1,N/A,,False,905565.0,False,,False,,1428224.0,1428224.0,0,True,False
C,A,20070101,2007,52,2007,246,FIN,Finland,X,Export,0,W00,World,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,380.0,False,-1,N/A,,False,380.0,False,,False,,20593.0,20593.0,0,True,False
C,A,20070101,2007,52,2007,251,FRA,France,X,Export,0,W00,World,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5068.0,True,-1,N/A,,False,5068.0,True,,False,,9605.0,9605.0,6,True,False
C,A,20070101,2007,52,2007,268,GEO,Georgia,X,Export,0,W00,World,0,W00,World,H2,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,59198726.0,False,-1,N/A,,False,59198726.0,False,,False,,79212524.0,79212524.0,0,True,False
C,A,20070101,2007,52,2007,275,PSE,State of Palestine,X,Export,0,W00,World,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,False,0.0,False,0.0,20588.25,20588.25,0,False,True
C,A,20070101,2007,52,2007,276,DEU,Germany,X,Export,0,W00,World,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,61534900.0,False,-1,N/A,,False,61534900.0,False,,False,,34483000.0,34483000.0,0,True,False
C,A,20070101,2007,52,2007,344,HKG,"China, Hong Kong SAR",X,Export,0,W00,World,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1520759.0,False,-1,N/A,,False,1520759.0,False,,False,,1438588.0,1438588.0,0,True,False
C,A,20070101,2007,52,2007,360,IDN,Indonesia,X,Export,0,W00,World,0,W00,World,H1,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1726595350.0,False,-1,N/A,,False,1726595350.0,False,,False,,4212652963.0,4212652963.0,0,False,False
C,A,20070101,2007,52,2007,372,IRL,Ireland,X,Export,0,W00,World,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1024089.0,False,8,kg,1024089.0,False,1024089.0,False,0.0,False,0.0,5953455.106,5953455.106,0,False,True
C,A,20070101,2007,52,2007,380,ITA,Italy,X,Export,0,W00,World,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,53783.0,False,8,kg,53783.0,False,53783.0,False,0.0,False,0.0,410485.571,410485.571,0,False,True
C,A,20070101,2007,52,2007,398,KAZ,Kazakhstan,X,Export,0,W00,World,0,W00,World,H2,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,219665269.0,False,-1,N/A,,False,219665269.0,False,,False,,248435588.0,248435588.0,0,True,False
C,A,20070101,2007,52,2007,410,KOR,Rep. of Korea,X,Export,0,W00,World,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,626519.0,False,-1,N/A,,False,626519.0,False,,False,,358931.0,358931.0,0,True,False
C,A,20070101,2007,52,2007,417,KGZ,Kyrgyzstan,X,Export,0,W00,World,0,W00,World,H2,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,8158.0,False,-1,N/A,,False,8158.0,False,,False,,379.0,379.0,0,True,False
C,A,20070101,2007,52,2007,478,MRT,Mauritania,X,Export,0,W00,World,0,W00,World,H1,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,102785115.0,True,-1,N/A,,False,102785115.0,True,,False,,170356598.0,170356598.0,6,False,False
C,A,20070101,2007,52,2007,484,MEX,Mexico,X,Export,0,W00,World,0,W00,World,H2,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,167585938.0,False,-1,N/A,,False,167585938.0,False,,False,,267223083.0,267223083.0,0,True,False
C,A,20070101,2007,52,2007,490,S19,"Other Asia, nes",X,Export,0,W00,World,0,W00,World,H2,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1091.0,True,-1,N/A,,False,1091.0,True,,False,,7308.0,7308.0,6,True,False
C,A,20070101,2007,52,2007,496,MNG,Mongolia,X,Export,0,W00,World,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,607727072.0,False,-1,N/A,,False,607727072.0,False,,False,,811415700.0,811415700.0,0,True,False
C,A,20070101,2007,52,2007,504,MAR,Morocco,X,Export,0,W00,World,0,W00,World,H2,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,31265199.0,False,8,kg,31265199.0,False,31265199.0,False,0.0,False,0.0,51782497.5,51782497.5,0,False,True
C,A,20070101,2007,52,2007,516,NAM,Namibia,X,Export,0,W00,World,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7513.0,False,-1,N/A,,False,7513.0,False,,False,,3432.0,3432.0,0,True,False
C,A,20070101,2007,52,2007,566,NGA,Nigeria,X,Export,0,W00,World,0,W00,World,H2,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,738907.0,True,-1,N/A,,False,738907.0,True,,False,,1224668.0,1224668.0,6,True,False
C,A,20070101,2007,52,2007,586,PAK,Pakistan,X,Export,0,W00,World,0,W00,World,H2,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1212000.0,False,-1,N/A,,False,1212000.0,False,,False,,601266.0,601266.0,0,True,False
C,A,20070101,2007,52,2007,604,PER,Peru,X,Export,0,W00,World,0,W00,World,H2,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2633180233.0,False,-1,N/A,,False,2633180233.0,False,,False,,4613511616.0,4613511616.0,0,True,False
C,A,20070101,2007,52,2007,608,PHL,Philippines,X,Export,0,W00,World,0,W00,World,H2,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,102262696.0,False,-1,N/A,,False,102262696.0,False,,False,,139263827.0,139263827.0,0,True,False
C,A,20070101,2007,52,2007,616,POL,Poland,X,Export,0,W00,World,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,10850.0,False,8,kg,10850.0,False,10850.0,False,0.0,False,0.0,19641.0,19641.0,0,False,True
C,A,20070101,2007,52,2007,620,PRT,Portugal,X,Export,0,W00,World,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,413481850.0,False,-1,N/A,,False,413481850.0,False,,False,,598929384.0,598929384.0,0,True,False
C,A,20070101,2007,52,2007,642,ROU,Romania,X,Export,0,W00,World,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,23220144.0,False,8,kg,23220144.0,False,23220144.0,False,0.0,False,0.0,20557945.23,20557945.23,0,False,True
C,A,20070101,2007,52,2007,643,RUS,Russian Federation,X,Export,0,W00,World,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,10616520.0,False,-1,N/A,,False,10616520.0,False,,False,,8329670.0,8329670.0,0,True,False
C,A,20070101,2007,52,2007,688,SRB,Serbia,X,Export,0,W00,World,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2250038.0,False,-1,N/A,,False,2250038.0,False,,False,,2033138.0,2033138.0,0,True,False
C,A,20070101,2007,52,2007,699,IND,India,X,Export,0,W00,World,0,W00,World,H2,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,485372.0,False,-1,N/A,,False,485372.0,False,,False,,397079.0,397079.0,0,True,False
C,A,20070101,2007,52,2007,702,SGP,Singapore,X,Export,0,W00,World,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1724803.0,True,-1,N/A,,False,1724803.0,True,,False,,509418.0,509418.0,6,True,False
C,A,20070101,2007,52,2007,704,VNM,Viet Nam,X,Export,0,W00,World,0,W00,World,H2,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,31925842.0,True,-1,N/A,,False,31925842.0,True,,False,,52914061.0,52914061.0,6,True,False
C,A,20070101,2007,52,2007,710,ZAF,South Africa,X,Export,0,W00,World,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,213107087.0,False,-1,N/A,,False,213107087.0,False,,False,,274233582.0,274233582.0,0,True,False
C,A,20070101,2007,52,2007,716,ZWE,Zimbabwe,X,Export,0,W00,World,0,W00,World,H2,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2194182.0,False,8,kg,2194182.0,False,2194182.0,False,0.0,False,,2419802.59,2419802.59,0,False,True
C,A,20070101,2007,52,2007,724,ESP,Spain,X,Export,0,W00,World,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,962490.0,False,8,kg,962490.0,False,962490.0,False,0.0,False,0.0,8216705.879,8216705.879,0,False,True
C,A,20070101,2007,52,2007,757,CHE,Switzerland,X,Export,0,W00,World,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,15.0,False,8,kg,15.0,False,15.0,False,0.0,False,0.0,287.412,287.412,0,False,True
C,A,20070101,2007,52,2007,764,THA,Thailand,X,Export,0,W00,World,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,44250968.0,False,-1,N/A,,False,44250968.0,False,,False,,79610896.0,79610896.0,0,True,False
C,A,20070101,2007,52,2007,784,ARE,United Arab Emirates,X,Export,0,W00,World,0,W00,World,H2,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,17890872.0,False,-1,N/A,,False,17890872.0,False,,False,,532747.0,532747.0,0,True,False
C,A,20070101,2007,52,2007,792,TUR,Türkiye,X,Export,0,W00,World,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,282994614.0,False,8,kg,282994614.0,False,282994614.0,False,0.0,False,0.0,335019383.0,335019383.0,0,False,True
C,A,20070101,2007,52,2007,800,UGA,Uganda,X,Export,0,W00,World,0,W00,World,H2,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,99113.0,True,-1,N/A,,False,99113.0,True,,False,,164271.0,164271.0,6,True,False
C,A,20070101,2007,52,2007,807,MKD,North Macedonia,X,Export,0,W00,World,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,32223560.0,False,8,kg,32223560.0,False,32223560.0,False,0.0,False,0.0,26901418.95,26901418.95,0,False,True
C,A,20070101,2007,52,2007,826,GBR,United Kingdom,X,Export,0,W00,World,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1800.0,False,-1,N/A,,False,1800.0,False,,False,,71689.0,71689.0,0,True,False
C,A,20070101,2007,52,2007,834,TZA,United Rep. of Tanzania,X,Export,0,W00,World,0,W00,World,H2,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,487497.0,False,-1,N/A,,False,487497.0,False,,False,,87161.0,87161.0,0,True,False
C,A,20070101,2007,52,2007,842,USA,USA,X,Export,0,W00,World,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,349022060.0,False,-1,N/A,,False,349022060.0,False,,False,,1052478827.0,1052478827.0,0,True,False
C,A,20070101,2007,52,2007,894,ZMB,Zambia,X,Export,0,W00,World,0,W00,World,H2,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,158855646.0,False,8,kg,158855646.0,False,158855646.0,False,0.0,False,0.0,277237820.0,277237820.0,0,False,True
