typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20100101,2010,52,2010,76,BRA,Brazil,X,Export,0,W00,World,0,W00,World,H3,HS,True,2524,Asbestos,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,8,kg,60616842.0,False,142987601.0,False,0.0,False,0.0,77901027.0,77901027.0,0,False,True
C,A,20100101,2010,52,2010,96,BRN,Brunei Darussalam,X,Export,0,W00,World,0,W00,World,H3,HS,True,2524,Asbestos,4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,71.005,True,-1,N/A,0.0,False,71.005,True,,False,,36.756,36.756,0,False,True
C,A,20100101,2010,52,2010,124,CAN,Canada,X,Export,0,W00,World,0,W00,World,H3,HS,True,2524,Asbestos,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,135459000.0,False,-1,N/A,,False,135459000.0,False,,False,,74352203.0,74352203.0,0,True,False
C,A,20100101,2010,52,2010,144,LKA,Sri Lanka,X,Export,0,W00,World,0,W00,World,H3,HS,True,2524,Asbestos,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1056.0,False,-1,N/A,,False,1056.0,False,,False,,724.0,724.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,0,W00,World,0,W00,World,H3,HS,True,2524,Asbestos,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,45345866.0,False,-1,N/A,,False,45345866.0,False,,False,,15759291.0,15759291.0,0,True,False
C,A,20100101,2010,52,2010,170,COL,Colombia,X,Export,0,W00,World,0,W00,World,H3,HS,True,2524,Asbestos,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,50.0,False,-1,N/A,,False,50.0,False,,False,,249.0,249.0,0,True,False
C,A,20100101,2010,52,2010,258,PYF,French Polynesia,X,Export,0,W00,World,0,W00,World,H3,HS,True,2524,Asbestos,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,20390.0,False,-1,N/A,,False,20390.0,False,,False,,4584.0,4584.0,0,True,False
C,A,20100101,2010,52,2010,276,DEU,Germany,X,Export,0,W00,World,0,W00,World,H3,HS,True,2524,Asbestos,4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,7980.0,False,8,kg,7980.0,False,7980.0,False,,False,,7164.266,7164.266,0,False,True
C,A,20100101,2010,52,2010,380,ITA,Italy,X,Export,0,W00,World,0,W00,World,H3,HS,True,2524,Asbestos,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5.0,False,-1,N/A,,True,5.0,False,,False,,32.0,32.0,0,False,False
C,A,20100101,2010,52,2010,398,KAZ,Kazakhstan,X,Export,0,W00,World,0,W00,World,H3,HS,True,2524,Asbestos,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,215592150.0,False,-1,N/A,,False,215592150.0,False,,False,,53874521.0,53874521.0,0,True,False
