typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20110101,2011,52,2011,12,DZA,Algeria,X,Export,0,W00,World,0,W00,World,H3,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,30.0,False,-1,N/A,,False,30.0,False,,False,,94.0,94.0,0,True,False
C,A,20110101,2011,52,2011,32,ARG,Argentina,X,Export,0,W00,World,0,W00,World,H3,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,44826.0,False,-1,N/A,,False,44826.0,False,,False,,103233.0,103233.0,0,True,False
C,A,20110101,2011,52,2011,36,AUS,Australia,X,Export,0,W00,World,0,W00,World,H3,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,55786.0,False,-1,N/A,,False,55786.0,False,,False,,107117.0,107117.0,0,True,False
C,A,20110101,2011,52,2011,40,AUT,Austria,X,Export,0,W00,World,0,W00,World,H3,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,9936234.0,True,-1,N/A,,False,9936234.0,True,,False,,12550589.0,12550589.0,6,True,False
C,A,20110101,2011,52,2011,50,BGD,Bangladesh,X,Export,0,W00,World,0,W00,World,H3,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,57013.0,False,-1,N/A,,False,57013.0,False,,False,,163191.0,163191.0,0,True,False
C,A,20110101,2011,52,2011,56,BEL,Belgium,X,Export,0,W00,World,0,W00,World,H3,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1307627.0,False,-1,N/A,,False,1307627.0,False,,False,,2165017.0,2165017.0,0,True,False
C,A,20110101,2011,52,2011,64,BTN,Bhutan,X,Export,0,W00,World,0,W00,World,H3,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3540.0,False,-1,N/A,,False,3540.0,False,,False,,1143.0,1143.0,0,True,False
C,A,20110101,2011,52,2011,76,BRA,Brazil,X,Export,0,W00,World,0,W00,World,H3,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,24202136.357,True,0.0,False,0.0,34348230.0,34348230.0,4,False,True
C,A,20110101,2011,52,2011,100,BGR,Bulgaria,X,Export,0,W00,World,0,W00,World,H3,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,800.0,False,-1,N/A,,False,800.0,False,,False,,6617.0,6617.0,0,True,False
C,A,20110101,2011,52,2011,112,BLR,Belarus,X,Export,0,W00,World,0,W00,World,H3,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,500.0,False,-1,N/A,,False,500.0,False,,False,,700.0,700.0,0,True,False
C,A,20110101,2011,52,2011,124,CAN,Canada,X,Export,0,W00,World,0,W00,World,H3,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,18184291.0,True,-1,N/A,,False,18184291.0,True,,False,,25916237.0,25916237.0,6,True,False
C,A,20110101,2011,52,2011,144,LKA,Sri Lanka,X,Export,0,W00,World,0,W00,World,H3,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3341053.0,False,-1,N/A,,False,3341053.0,False,,False,,4329799.0,4329799.0,0,True,False
C,A,20110101,2011,52,2011,156,CHN,China,X,Export,0,W00,World,0,W00,World,H3,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,444808657.0,False,-1,N/A,,False,444808657.0,False,,False,,365088327.0,365088327.0,0,True,False
C,A,20110101,2011,52,2011,170,COL,Colombia,X,Export,0,W00,World,0,W00,World,H3,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,60144.0,False,-1,N/A,,False,60144.0,False,,False,,98135.0,98135.0,0,True,False
C,A,20110101,2011,52,2011,188,CRI,Costa Rica,X,Export,0,W00,World,0,W00,World,H3,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1947.0,False,-1,N/A,,False,1947.0,False,,False,,2677.0,2677.0,0,True,False
C,A,20110101,2011,52,2011,191,HRV,Croatia,X,Export,0,W00,World,0,W00,World,H3,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1085.0,False,-1,N/A,,False,1085.0,False,,False,,5833.0,5833.0,0,True,False
C,A,20110101,2011,52,2011,203,CZE,Czechia,X,Export,0,W00,World,0,W00,World,H3,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4255836.0,False,-1,N/A,,False,4255836.0,False,,False,,6978380.0,6978380.0,0,True,False
