typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20150101,2015,52,2015,8,ALB,Albania,X,Export,0,W00,World,0,W00,World,H4,HS,True,2601,Iron ores and concentrates; including roasted iron pyrites,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,131840526.0,False,-1,N/A,,False,131840526.0,False,,False,,3003224.0,3003224.0,0,True,False
C,A,20150101,2015,52,2015,12,DZA,Algeria,X,Export,0,W00,World,0,W00,World,H4,HS,True,2601,Iron ores and concentrates; including roasted iron pyrites,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3150.0,False,-1,N/A,,False,3150.0,False,,False,,453.0,453.0,0,True,False
C,A,20150101,2015,52,2015,24,AGO,Angola,X,Export,0,W00,World,0,W00,World,H4,HS,True,2601,Iron ores and concentrates; including roasted iron pyrites,4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,208.0,False,8,kg,208.0,False,4987.0,False,,False,,660.4,660.4,0,False,True
C,A,20150101,2015,52,2015,31,AZE,Azerbaijan,X,Export,0,W00,World,0,W00,World,H4,HS,True,2601,Iron ores and concentrates; including roasted iron pyrites,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,28500050.0,False,8,kg,28500050.0,False,28500050.0,False,0.0,False,,1126089.44,1126089.44,0,False,True
C,A,20150101,2015,52,2015,32,ARG,Argentina,X,Export,0,W00,World,0,W00,World,H4,HS,True,2601,Iron ores and concentrates; including roasted iron pyrites,4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,310355500.0,False,8,kg,310355500.0,False,310355500.0,False,,False,,9575543.0,9575543.0,0,False,True
C,A,20150101,2015,52,2015,36,AUS,Australia,X,Export,0,W00,World,0,W00,World,H4,HS,True,2601,Iron ores and concentrates; including roasted iron pyrites,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,809676434221.0,False,-1,N/A,,False,809676434221.0,False,,False,,36735457673.0,36735457673.0,0,True,False
C,A,20150101,2015,52,2015,40,AUT,Austria,X,Export,0,W00,World,0,W00,World,H4,HS,True,2601,Iron ores and concentrates; including roasted iron pyrites,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,19263.0,True,-1,N/A,,False,19263.0,True,,False,,5298.0,5298.0,6,True,False
C,A,20150101,2015,52,2015,48,BHR,Bahrain,X,Export,0,W00,World,0,W00,World,H4,HS,True,2601,Iron ores and concentrates; including roasted iron pyrites,4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,3712782655.0,False,8,kg,3712782655.0,False,3712782655.0,False,,False,,392443144.657,392443144.657,0,False,True
C,A,20150101,2015,52,2015,56,BEL,Belgium,X,Export,0,W00,World,0,W00,World,H4,HS,True,2601,Iron ores and concentrates; including roasted iron pyrites,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4655718.18,False,8,kg,4655718.18,False,4655718.18,False,0.0,False,0.0,373733.31,373733.31,0,False,True
C,A,20150101,2015,52,2015,68,BOL,Bolivia (Plurinational State of),X,Export,0,W00,World,0,W00,World,H4,HS,True,2601,Iron ores and concentrates; including roasted iron pyrites,4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,24453000.0,False,8,kg,24453000.0,False,24453000.0,False,,False,,1603872.27,1603872.27,0,False,True
