typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20000101,2000,52,2000,40,AUT,Austria,M,Import,0,W00,World,0,W00,World,H1,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3415492700.0,False,-1,N/A,,False,3415492700.0,False,,False,153183144.0,,153183144.0,0,False,False
C,A,20000101,2000,52,2000,40,AUT,Austria,M,Import,203,CZE,Czechia,0,W00,World,H1,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1556417800.0,False,-1,N/A,,False,1556417800.0,False,,False,67744858.0,,67744858.0,0,False,False
C,A,20000101,2000,52,2000,40,AUT,Austria,M,Import,251,FRA,France,0,W00,World,H1,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1092700.0,False,-1,N/A,,False,1092700.0,False,,False,120627.0,,120627.0,0,False,False
C,A,20000101,2000,52,2000,40,AUT,Austria,M,Import,276,DEU,Germany,0,W00,World,H1,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,25221400.0,False,-1,N/A,,False,25221400.0,False,,False,2359820.0,,2359820.0,0,False,False
C,A,20000101,2000,52,2000,40,AUT,Austria,M,Import,348,HUN,Hungary,0,W00,World,H1,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,75300.0,False,-1,N/A,,False,75300.0,False,,False,6222.0,,6222.0,0,False,False
C,A,20000101,2000,52,2000,40,AUT,Austria,M,Import,380,ITA,Italy,0,W00,World,H1,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,83400.0,False,-1,N/A,,False,83400.0,False,,False,19737.0,,19737.0,0,False,False
C,A,20000101,2000,52,2000,40,AUT,Austria,M,Import,528,NLD,Netherlands,0,W00,World,H1,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,64100.0,False,-1,N/A,,False,64100.0,False,,False,10905.0,,10905.0,0,False,False
C,A,20000101,2000,52,2000,40,AUT,Austria,M,Import,616,POL,Poland,0,W00,World,H1,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1823644400.0,False,-1,N/A,,False,1823644400.0,False,,False,82543774.0,,82543774.0,0,False,False
C,A,20000101,2000,52,2000,40,AUT,Austria,M,Import,703,SVK,Slovakia,0,W00,World,H1,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1042000.0,False,-1,N/A,,False,1042000.0,False,,False,40945.0,,40945.0,0,False,False
C,A,20000101,2000,52,2000,40,AUT,Austria,M,Import,826,GBR,United Kingdom,0,W00,World,H1,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7834800.0,False,-1,N/A,,False,7834800.0,False,,False,325419.0,,325419.0,0,False,False
C,A,20000101,2000,52,2000,40,AUT,Austria,M,Import,842,USA,USA,0,W00,World,H1,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,16800.0,False,-1,N/A,,False,16800.0,False,,False,10838.0,,10838.0,0,False,False
