typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20000101,2000,52,2000,792,TUR,Türkiye,M,Import,0,W00,World,0,W00,World,H1,HS,True,2601,Iron ores and concentrates; including roasted iron pyrites,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,False,0.0,False,115503373.0,0.0,115503373.0,0,False,True
C,A,20000101,2000,52,2000,792,TUR,Türkiye,M,Import,842,USA,USA,0,W00,World,H1,HS,True,2601,Iron ores and concentrates; including roasted iron pyrites,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,False,0.0,False,146.0,0.0,146.0,0,False,True
C,A,20000101,2000,52,2000,792,TUR,Türkiye,M,Import,56,BEL,Belgium,0,W00,World,H1,HS,True,2601,Iron ores and concentrates; including roasted iron pyrites,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,213300.0,False,8,kg,213300.0,False,213300.0,False,0.0,False,3424.0,0.0,3424.0,0,False,True
C,A,20000101,2000,52,2000,792,TUR,Türkiye,M,Import,76,BRA,Brazil,0,W00,World,H1,HS,True,2601,Iron ores and concentrates; including roasted iron pyrites,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2246868000.0,False,8,kg,2246868000.0,False,2246868000.0,False,0.0,False,59794894.0,0.0,59794894.0,0,False,True
C,A,20000101,2000,52,2000,792,TUR,Türkiye,M,Import,124,CAN,Canada,0,W00,World,H1,HS,True,2601,Iron ores and concentrates; including roasted iron pyrites,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,294215000.0,False,8,kg,294215000.0,False,294215000.0,False,0.0,False,8832936.0,0.0,8832936.0,0,False,True
C,A,20000101,2000,52,2000,792,TUR,Türkiye,M,Import,251,FRA,France,0,W00,World,H1,HS,True,2601,Iron ores and concentrates; including roasted iron pyrites,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4820.0,False,8,kg,4820.0,False,4820.0,False,0.0,False,1219.0,0.0,1219.0,0,False,True
C,A,20000101,2000,52,2000,792,TUR,Türkiye,M,Import,36,AUS,Australia,0,W00,World,H1,HS,True,2601,Iron ores and concentrates; including roasted iron pyrites,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,376908667.0,False,8,kg,376908667.0,False,376908667.0,False,0.0,False,8778578.0,0.0,8778578.0,0,False,True
C,A,20000101,2000,52,2000,792,TUR,Türkiye,M,Import,528,NLD,Netherlands,0,W00,World,H1,HS,True,2601,Iron ores and concentrates; including roasted iron pyrites,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,237800.0,False,8,kg,237800.0,False,237800.0,False,0.0,False,7134.0,0.0,7134.0,0,False,True
C,A,20000101,2000,52,2000,792,TUR,Türkiye,M,Import,643,RUS,Russian Federation,0,W00,World,H1,HS,True,2601,Iron ores and concentrates; including roasted iron pyrites,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,228905200.0,False,8,kg,228905200.0,False,228905200.0,False,0.0,False,7470536.0,0.0,7470536.0,0,False,True
C,A,20000101,2000,52,2000,792,TUR,Türkiye,M,Import,699,IND,India,0,W00,World,H1,HS,True,2601,Iron ores and concentrates; including roasted iron pyrites,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,267181000.0,False,8,kg,267181000.0,False,267181000.0,False,0.0,False,4301583.0,0.0,4301583.0,0,False,True
C,A,20000101,2000,52,2000,792,TUR,Türkiye,M,Import,710,ZAF,South Africa,0,W00,World,H1,HS,True,2601,Iron ores and concentrates; including roasted iron pyrites,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,141670000.0,False,8,kg,141670000.0,False,141670000.0,False,0.0,False,3612704.0,0.0,3612704.0,0,False,True
C,A,20000101,2000,52,2000,792,TUR,Türkiye,M,Import,752,SWE,Sweden,0,W00,World,H1,HS,True,2601,Iron ores and concentrates; including roasted iron pyrites,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,578402000.0,False,8,kg,578402000.0,False,578402000.0,False,0.0,False,22504076.0,0.0,22504076.0,0,False,True
C,A,20000101,2000,52,2000,792,TUR,Türkiye,M,Import,804,UKR,Ukraine,0,W00,World,H1,HS,True,2601,Iron ores and concentrates; including roasted iron pyrites,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5497300.0,False,8,kg,5497300.0,False,5497300.0,False,0.0,False,196143.0,0.0,196143.0,0,False,True
