typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20000101,2000,52,2000,170,COL,Colombia,M,Import,0,W00,World,0,W00,World,H1,HS,True,280540,Mercury,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,68163.0,False,-1,N/A,,False,68163.0,False,,False,299474.0,,299474.0,0,False,False
C,A,20000101,2000,52,2000,170,COL,Colombia,M,Import,251,FRA,France,0,W00,World,H1,HS,True,280540,Mercury,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1.0,False,-1,N/A,,False,1.0,False,,False,664.0,,664.0,0,False,False
C,A,20000101,2000,52,2000,170,COL,Colombia,M,Import,276,DEU,Germany,0,W00,World,H1,HS,True,280540,Mercury,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,13868.0,False,-1,N/A,,False,13868.0,False,,False,41557.0,,41557.0,0,False,False
C,A,20000101,2000,52,2000,170,COL,Colombia,M,Import,380,ITA,Italy,0,W00,World,H1,HS,True,280540,Mercury,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1.0,False,-1,N/A,,False,1.0,False,,False,216.0,,216.0,0,False,False
C,A,20000101,2000,52,2000,170,COL,Colombia,M,Import,417,KGZ,Kyrgyzstan,0,W00,World,H1,HS,True,280540,Mercury,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,15180.0,False,-1,N/A,,False,15180.0,False,,False,71990.0,,71990.0,0,False,False
C,A,20000101,2000,52,2000,170,COL,Colombia,M,Import,528,NLD,Netherlands,0,W00,World,H1,HS,True,280540,Mercury,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3622.0,False,-1,N/A,,False,3622.0,False,,False,15435.0,,15435.0,0,False,False
C,A,20000101,2000,52,2000,170,COL,Colombia,M,Import,643,RUS,Russian Federation,0,W00,World,H1,HS,True,280540,Mercury,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,12315.0,False,-1,N/A,,False,12315.0,False,,False,60088.0,,60088.0,0,False,False
C,A,20000101,2000,52,2000,170,COL,Colombia,M,Import,724,ESP,Spain,0,W00,World,H1,HS,True,280540,Mercury,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,23040.0,False,-1,N/A,,False,23040.0,False,,False,100954.0,,100954.0,0,False,False
C,A,20000101,2000,52,2000,170,COL,Colombia,M,Import,757,CHE,Switzerland,0,W00,World,H1,HS,True,280540,Mercury,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,101.0,False,-1,N/A,,False,101.0,False,,False,7544.0,,7544.0,0,False,False
C,A,20000101,2000,52,2000,170,COL,Colombia,M,Import,842,USA,USA,0,W00,World,H1,HS,True,280540,Mercury,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,35.0,False,-1,N/A,,False,35.0,False,,False,1026.0,,1026.0,0,False,False
