typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20010101,2001,52,2001,703,SVK,Slovakia,M,Import,0,W00,World,0,W00,World,H1,HS,True,2606,Aluminium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5418519.0,False,-1,N/A,,False,5418519.0,False,,False,633009.0,,633009.0,0,False,False
C,A,20010101,2001,52,2001,703,SVK,Slovakia,M,Import,40,AUT,Austria,0,W00,World,H1,HS,True,2606,Aluminium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5000.0,False,-1,N/A,,False,5000.0,False,,False,917.0,,917.0,0,False,False
C,A,20010101,2001,52,2001,703,SVK,Slovakia,M,Import,56,BEL,Belgium,0,W00,World,H1,HS,True,2606,Aluminium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,168000.0,False,-1,N/A,,False,168000.0,False,,False,19837.0,,19837.0,0,False,False
C,A,20010101,2001,52,2001,703,SVK,Slovakia,M,Import,156,CHN,China,0,W00,World,H1,HS,True,2606,Aluminium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2402058.0,False,-1,N/A,,False,2402058.0,False,,False,302961.0,,302961.0,0,False,False
C,A,20010101,2001,52,2001,703,SVK,Slovakia,M,Import,203,CZE,Czechia,0,W00,World,H1,HS,True,2606,Aluminium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1850620.0,False,-1,N/A,,False,1850620.0,False,,False,222537.0,,222537.0,0,False,False
C,A,20010101,2001,52,2001,703,SVK,Slovakia,M,Import,208,DNK,Denmark,0,W00,World,H1,HS,True,2606,Aluminium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,700.0,False,-1,N/A,,False,700.0,False,,False,110.0,,110.0,0,False,False
C,A,20010101,2001,52,2001,703,SVK,Slovakia,M,Import,276,DEU,Germany,0,W00,World,H1,HS,True,2606,Aluminium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,202261.0,False,-1,N/A,,False,202261.0,False,,False,27925.0,,27925.0,0,False,False
C,A,20010101,2001,52,2001,703,SVK,Slovakia,M,Import,348,HUN,Hungary,0,W00,World,H1,HS,True,2606,Aluminium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,700000.0,False,-1,N/A,,False,700000.0,False,,False,37865.0,,37865.0,0,False,False
C,A,20010101,2001,52,2001,703,SVK,Slovakia,M,Import,528,NLD,Netherlands,0,W00,World,H1,HS,True,2606,Aluminium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,66000.0,False,-1,N/A,,False,66000.0,False,,False,17888.0,,17888.0,0,False,False
C,A,20010101,2001,52,2001,703,SVK,Slovakia,M,Import,899,_X ,"Areas, nes",0,W00,World,H1,HS,True,2606,Aluminium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,23880.0,False,-1,N/A,,False,23880.0,False,,False,2969.0,,2969.0,0,False,False
