typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20010101,2001,52,2001,156,CHN,China,M,Import,0,W00,World,0,W00,World,H1,HS,True,2602,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1710077171.0,False,-1,N/A,,False,1710077171.0,False,,False,131068263.0,,131068263.0,0,False,False
C,A,20010101,2001,52,2001,156,CHN,China,M,Import,36,AUS,Australia,0,W00,World,H1,HS,True,2602,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,442050720.0,False,-1,N/A,,False,442050720.0,False,,False,46144335.0,,46144335.0,0,False,False
C,A,20010101,2001,52,2001,156,CHN,China,M,Import,76,BRA,Brazil,0,W00,World,H1,HS,True,2602,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,150633936.0,False,-1,N/A,,False,150633936.0,False,,False,11916643.0,,11916643.0,0,False,False
C,A,20010101,2001,52,2001,156,CHN,China,M,Import,104,MMR,Myanmar,0,W00,World,H1,HS,True,2602,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,145548048.0,False,-1,N/A,,False,145548048.0,False,,False,2874371.0,,2874371.0,0,False,False
C,A,20010101,2001,52,2001,156,CHN,China,M,Import,178,COG,Congo,0,W00,World,H1,HS,True,2602,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5401000.0,False,-1,N/A,,False,5401000.0,False,,False,586009.0,,586009.0,0,False,False
C,A,20010101,2001,52,2001,156,CHN,China,M,Import,180,COD,Dem. Rep. of the Congo,0,W00,World,H1,HS,True,2602,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,10802000.0,False,-1,N/A,,False,10802000.0,False,,False,1224257.0,,1224257.0,0,False,False
C,A,20010101,2001,52,2001,156,CHN,China,M,Import,266,GAB,Gabon,0,W00,World,H1,HS,True,2602,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,275600192.0,False,-1,N/A,,False,275600192.0,False,,False,23692551.0,,23692551.0,0,False,False
C,A,20010101,2001,52,2001,156,CHN,China,M,Import,288,GHA,Ghana,0,W00,World,H1,HS,True,2602,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,498896640.0,False,-1,N/A,,False,498896640.0,False,,False,30211785.0,,30211785.0,0,False,False
C,A,20010101,2001,52,2001,156,CHN,China,M,Import,360,IDN,Indonesia,0,W00,World,H1,HS,True,2602,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,26871270.0,False,-1,N/A,,False,26871270.0,False,,False,1555788.0,,1555788.0,0,False,False
C,A,20010101,2001,52,2001,156,CHN,China,M,Import,392,JPN,Japan,0,W00,World,H1,HS,True,2602,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,12000.0,False,-1,N/A,,False,12000.0,False,,False,16800.0,,16800.0,0,False,False
C,A,20010101,2001,52,2001,156,CHN,China,M,Import,490,S19,"Other Asia, nes",0,W00,World,H1,HS,True,2602,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5625.0,False,-1,N/A,,False,5625.0,False,,False,8320.0,,8320.0,0,False,False
C,A,20010101,2001,52,2001,156,CHN,China,M,Import,699,IND,India,0,W00,World,H1,HS,True,2602,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,126589696.0,False,-1,N/A,,False,126589696.0,False,,False,10708808.0,,10708808.0,0,False,False
C,A,20010101,2001,52,2001,156,CHN,China,M,Import,702,SGP,Singapore,0,W00,World,H1,HS,True,2602,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2000.0,False,-1,N/A,,False,2000.0,False,,False,10200.0,,10200.0,0,False,False
C,A,20010101,2001,52,2001,156,CHN,China,M,Import,704,VNM,Viet Nam,0,W00,World,H1,HS,True,2602,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4134460.0,False,-1,N/A,,False,4134460.0,False,,False,145077.0,,145077.0,0,False,False
C,A,20010101,2001,52,2001,156,CHN,China,M,Import,710,ZAF,South Africa,0,W00,World,H1,HS,True,2602,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,23529584.0,False,-1,N/A,,False,23529584.0,False,,False,1973319.0,,1973319.0,0,False,False
