typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20010101,2001,52,2001,490,S19,"Other Asia, nes",M,Import,0,W00,World,0,W00,World,H1,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,37613629000.0,False,-1,N/A,,False,37613629000.0,False,,False,6808584159.0,,6808584159.0,0,False,False
C,A,20010101,2001,52,2001,490,S19,"Other Asia, nes",M,Import,24,AGO,Angola,0,W00,World,H1,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2272330000.0,False,-1,N/A,,False,2272330000.0,False,,False,457910666.0,,457910666.0,0,False,False
C,A,20010101,2001,52,2001,490,S19,"Other Asia, nes",M,Import,36,AUS,Australia,0,W00,World,H1,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2277687000.0,False,-1,N/A,,False,2277687000.0,False,,False,518560556.0,,518560556.0,0,False,False
C,A,20010101,2001,52,2001,490,S19,"Other Asia, nes",M,Import,120,CMR,Cameroon,0,W00,World,H1,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,772182000.0,False,-1,N/A,,False,772182000.0,False,,False,145911712.0,,145911712.0,0,False,False
C,A,20010101,2001,52,2001,490,S19,"Other Asia, nes",M,Import,178,COG,Congo,0,W00,World,H1,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4056312000.0,False,-1,N/A,,False,4056312000.0,False,,False,771695819.0,,771695819.0,0,False,False
C,A,20010101,2001,52,2001,490,S19,"Other Asia, nes",M,Import,226,GNQ,Equatorial Guinea,0,W00,World,H1,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,131474000.0,False,-1,N/A,,False,131474000.0,False,,False,19473727.0,,19473727.0,0,False,False
C,A,20010101,2001,52,2001,490,S19,"Other Asia, nes",M,Import,360,IDN,Indonesia,0,W00,World,H1,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,782351000.0,False,-1,N/A,,False,782351000.0,False,,False,130558683.0,,130558683.0,0,False,False
C,A,20010101,2001,52,2001,490,S19,"Other Asia, nes",M,Import,364,IRN,Iran,0,W00,World,H1,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4468155000.0,False,-1,N/A,,False,4468155000.0,False,,False,784896042.0,,784896042.0,0,False,False
C,A,20010101,2001,52,2001,490,S19,"Other Asia, nes",M,Import,368,IRQ,Iraq,0,W00,World,H1,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1303088000.0,False,-1,N/A,,False,1303088000.0,False,,False,221012736.0,,221012736.0,0,False,False
C,A,20010101,2001,52,2001,490,S19,"Other Asia, nes",M,Import,414,KWT,Kuwait,0,W00,World,H1,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5879377000.0,False,-1,N/A,,False,5879377000.0,False,,False,995673072.0,,995673072.0,0,False,False
C,A,20010101,2001,52,2001,490,S19,"Other Asia, nes",M,Import,458,MYS,Malaysia,0,W00,World,H1,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,244637000.0,False,-1,N/A,,False,244637000.0,False,,False,48285783.0,,48285783.0,0,False,False
C,A,20010101,2001,52,2001,490,S19,"Other Asia, nes",M,Import,512,OMN,Oman,0,W00,World,H1,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,547820000.0,False,-1,N/A,,False,547820000.0,False,,False,91405670.0,,91405670.0,0,False,False
C,A,20010101,2001,52,2001,490,S19,"Other Asia, nes",M,Import,566,NGA,Nigeria,0,W00,World,H1,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1432126000.0,False,-1,N/A,,False,1432126000.0,False,,False,290429769.0,,290429769.0,0,False,False
C,A,20010101,2001,52,2001,490,S19,"Other Asia, nes",M,Import,682,SAU,Saudi Arabia,0,W00,World,H1,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,11257036000.0,False,-1,N/A,,False,11257036000.0,False,,False,1933585236.0,,1933585236.0,0,False,False
C,A,20010101,2001,52,2001,490,S19,"Other Asia, nes",M,Import,704,VNM,Viet Nam,0,W00,World,H1,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,67655000.0,False,-1,N/A,,False,67655000.0,False,,False,13172879.0,,13172879.0,0,False,False
C,A,20010101,2001,52,2001,490,S19,"Other Asia, nes",M,Import,736,SDN,Sudan (...2011),0,W00,World,H1,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,83266000.0,False,-1,N/A,,False,83266000.0,False,,False,14631121.0,,14631121.0,0,False,False
C,A,20010101,2001,52,2001,490,S19,"Other Asia, nes",M,Import,784,ARE,United Arab Emirates,0,W00,World,H1,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1796798000.0,False,-1,N/A,,False,1796798000.0,False,,False,327934436.0,,327934436.0,0,False,False
C,A,20010101,2001,52,2001,490,S19,"Other Asia, nes",M,Import,887,YEM,Yemen,0,W00,World,H1,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,241335000.0,False,-1,N/A,,False,241335000.0,False,,False,43446252.0,,43446252.0,0,False,False
