typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20020101,2002,52,2002,764,THA,Thailand,M,Import,72,BWA,Botswana,0,W00,World,H2,HS,True,2524,Asbestos,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1080000.0,False,-1,N/A,,False,1080000.0,False,,False,230992.0,,230992.0,0,True,False
C,A,20020101,2002,52,2002,764,THA,Thailand,M,Import,84,BLZ,Belize,0,W00,World,H2,HS,True,2524,Asbestos,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1656000.0,False,-1,N/A,,False,1656000.0,False,,False,338339.0,,338339.0,0,True,False
C,A,20020101,2002,52,2002,764,THA,Thailand,M,Import,398,KAZ,Kazakhstan,0,W00,World,H2,HS,True,2524,Asbestos,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,28499650.0,False,-1,N/A,,False,28499650.0,False,,False,7093022.0,,7093022.0,0,True,False
C,A,20020101,2002,52,2002,764,THA,Thailand,M,Import,704,VNM,Viet Nam,0,W00,World,H2,HS,True,2524,Asbestos,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,55485.0,False,-1,N/A,,False,55485.0,False,,False,11923.0,,11923.0,0,True,False
C,A,20020101,2002,52,2002,764,THA,Thailand,M,Import,716,ZWE,Zimbabwe,0,W00,World,H2,HS,True,2524,Asbestos,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,22759050.0,False,-1,N/A,,False,22759050.0,False,,False,5674685.0,,5674685.0,0,True,False
C,A,20020101,2002,52,2002,764,THA,Thailand,M,Import,748,SWZ,Eswatini,0,W00,World,H2,HS,True,2524,Asbestos,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1638000.0,False,-1,N/A,,False,1638000.0,False,,False,419154.0,,419154.0,0,True,False
C,A,20020101,2002,52,2002,764,THA,Thailand,M,Import,804,UKR,Ukraine,0,W00,World,H2,HS,True,2524,Asbestos,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,24.0,False,-1,N/A,,False,24.0,False,,False,103.0,,103.0,0,True,False
C,A,20020101,2002,52,2002,764,THA,Thailand,M,Import,0,W00,World,0,W00,World,H2,HS,True,2524,Asbestos,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,181348062.0,False,-1,N/A,,False,181348062.0,False,,False,49976228.0,,49976228.0,0,True,False
C,A,20020101,2002,52,2002,764,THA,Thailand,M,Import,36,AUS,Australia,0,W00,World,H2,HS,True,2524,Asbestos,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5250.0,False,-1,N/A,,False,5250.0,False,,False,4522.0,,4522.0,0,True,False
C,A,20020101,2002,52,2002,764,THA,Thailand,M,Import,56,BEL,Belgium,0,W00,World,H2,HS,True,2524,Asbestos,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,50000.0,False,-1,N/A,,False,50000.0,False,,False,120104.0,,120104.0,0,True,False
C,A,20020101,2002,52,2002,764,THA,Thailand,M,Import,76,BRA,Brazil,0,W00,World,H2,HS,True,2524,Asbestos,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,33740100.0,False,-1,N/A,,False,33740100.0,False,,False,8660079.0,,8660079.0,0,True,False
C,A,20020101,2002,52,2002,764,THA,Thailand,M,Import,124,CAN,Canada,0,W00,World,H2,HS,True,2524,Asbestos,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,42091388.0,False,-1,N/A,,False,42091388.0,False,,False,13950899.0,,13950899.0,0,True,False
C,A,20020101,2002,52,2002,764,THA,Thailand,M,Import,156,CHN,China,0,W00,World,H2,HS,True,2524,Asbestos,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,36000.0,False,-1,N/A,,False,36000.0,False,,False,13436.0,,13436.0,0,True,False
C,A,20020101,2002,52,2002,764,THA,Thailand,M,Import,203,CZE,Czechia,0,W00,World,H2,HS,True,2524,Asbestos,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1913500.0,False,-1,N/A,,False,1913500.0,False,,False,437353.0,,437353.0,0,True,False
C,A,20020101,2002,52,2002,764,THA,Thailand,M,Import,276,DEU,Germany,0,W00,World,H2,HS,True,2524,Asbestos,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,216000.0,False,-1,N/A,,False,216000.0,False,,False,72139.0,,72139.0,0,True,False
C,A,20020101,2002,52,2002,764,THA,Thailand,M,Import,643,RUS,Russian Federation,0,W00,World,H2,HS,True,2524,Asbestos,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,46131615.0,False,-1,N/A,,False,46131615.0,False,,False,12553671.0,,12553671.0,0,True,False
C,A,20020101,2002,52,2002,764,THA,Thailand,M,Import,710,ZAF,South Africa,0,W00,World,H2,HS,True,2524,Asbestos,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1476000.0,False,-1,N/A,,False,1476000.0,False,,False,395806.0,,395806.0,0,True,False
