typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20020101,2002,52,2002,757,CHE,Switzerland,M,Import,0,W00,World,0,W00,World,H2,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,923607.176,True,-1,N/A,0.0,False,923607.176,True,0.0,False,1273848.4,0.0,1273848.4,6,False,True
C,A,20020101,2002,52,2002,757,CHE,Switzerland,M,Import,40,AUT,Austria,0,W00,World,H2,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5325.0,False,8,kg,5325.0,False,5325.0,False,0.0,False,7417.874,0.0,7417.874,0,False,True
C,A,20020101,2002,52,2002,757,CHE,Switzerland,M,Import,124,CAN,Canada,0,W00,World,H2,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,239100.0,False,8,kg,239100.0,False,239100.0,False,0.0,False,117378.532,0.0,117378.532,0,False,True
C,A,20020101,2002,52,2002,757,CHE,Switzerland,M,Import,156,CHN,China,0,W00,World,H2,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,318453.0,False,8,kg,318453.0,False,318453.0,False,0.0,False,541755.192,0.0,541755.192,0,False,True
C,A,20020101,2002,52,2002,757,CHE,Switzerland,M,Import,251,FRA,France,0,W00,World,H2,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,30184.176,True,-1,N/A,0.0,False,30184.176,True,0.0,False,19276.3,0.0,19276.3,6,False,True
C,A,20020101,2002,52,2002,757,CHE,Switzerland,M,Import,276,DEU,Germany,0,W00,World,H2,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,181297.0,False,8,kg,181297.0,False,181297.0,False,0.0,False,163275.619,0.0,163275.619,0,False,True
C,A,20020101,2002,52,2002,757,CHE,Switzerland,M,Import,380,ITA,Italy,0,W00,World,H2,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,160.0,False,8,kg,160.0,False,160.0,False,0.0,False,1351.865,0.0,1351.865,0,False,True
C,A,20020101,2002,52,2002,757,CHE,Switzerland,M,Import,458,MYS,Malaysia,0,W00,World,H2,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,8.0,False,8,kg,8.0,False,8.0,False,0.0,False,267.798,0.0,267.798,0,False,True
C,A,20020101,2002,52,2002,757,CHE,Switzerland,M,Import,620,PRT,Portugal,0,W00,World,H2,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1188.0,False,8,kg,1188.0,False,1188.0,False,0.0,False,20538.684,0.0,20538.684,0,False,True
C,A,20020101,2002,52,2002,757,CHE,Switzerland,M,Import,752,SWE,Sweden,0,W00,World,H2,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4200.0,False,8,kg,4200.0,False,4200.0,False,0.0,False,17702.987,0.0,17702.987,0,False,True
C,A,20020101,2002,52,2002,757,CHE,Switzerland,M,Import,842,USA,USA,0,W00,World,H2,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,143692.0,False,8,kg,143692.0,False,143692.0,False,0.0,False,384883.548,0.0,384883.548,0,False,True
