typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20040101,2004,52,2004,156,CHN,China,M,Import,0,W00,World,0,W00,World,H2,HS,True,261710,Antimony ores and concentrates,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,18006184.0,False,-1,N/A,,False,18006184.0,False,,False,14328564.0,,14328564.0,0,True,False
C,A,20040101,2004,52,2004,156,CHN,China,M,Import,68,BOL,Bolivia (Plurinational State of),0,W00,World,H2,HS,True,261710,Antimony ores and concentrates,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,230437.0,False,-1,N/A,,False,230437.0,False,,False,300992.0,,300992.0,0,True,False
C,A,20040101,2004,52,2004,156,CHN,China,M,Import,104,MMR,Myanmar,0,W00,World,H2,HS,True,261710,Antimony ores and concentrates,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1175950.0,False,-1,N/A,,False,1175950.0,False,,False,235029.0,,235029.0,0,True,False
C,A,20040101,2004,52,2004,156,CHN,China,M,Import,320,GTM,Guatemala,0,W00,World,H2,HS,True,261710,Antimony ores and concentrates,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,8422.0,False,-1,N/A,,False,8422.0,False,,False,5559.0,,5559.0,0,True,False
C,A,20040101,2004,52,2004,156,CHN,China,M,Import,392,JPN,Japan,0,W00,World,H2,HS,True,261710,Antimony ores and concentrates,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,110800.0,False,-1,N/A,,False,110800.0,False,,False,65831.0,,65831.0,0,True,False
C,A,20040101,2004,52,2004,156,CHN,China,M,Import,398,KAZ,Kazakhstan,0,W00,World,H2,HS,True,261710,Antimony ores and concentrates,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1580472.0,False,-1,N/A,,False,1580472.0,False,,False,607646.0,,607646.0,0,True,False
C,A,20040101,2004,52,2004,156,CHN,China,M,Import,484,MEX,Mexico,0,W00,World,H2,HS,True,261710,Antimony ores and concentrates,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,173818.0,False,-1,N/A,,False,173818.0,False,,False,196558.0,,196558.0,0,True,False
C,A,20040101,2004,52,2004,156,CHN,China,M,Import,504,MAR,Morocco,0,W00,World,H2,HS,True,261710,Antimony ores and concentrates,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,83441.0,False,-1,N/A,,False,83441.0,False,,False,32292.0,,32292.0,0,True,False
C,A,20040101,2004,52,2004,156,CHN,China,M,Import,643,RUS,Russian Federation,0,W00,World,H2,HS,True,261710,Antimony ores and concentrates,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,9323913.0,False,-1,N/A,,False,9323913.0,False,,False,9350080.0,,9350080.0,0,True,False
C,A,20040101,2004,52,2004,156,CHN,China,M,Import,704,VNM,Viet Nam,0,W00,World,H2,HS,True,261710,Antimony ores and concentrates,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,249960.0,False,-1,N/A,,False,249960.0,False,,False,68804.0,,68804.0,0,True,False
C,A,20040101,2004,52,2004,156,CHN,China,M,Import,762,TJK,Tajikistan,0,W00,World,H2,HS,True,261710,Antimony ores and concentrates,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5049331.0,False,-1,N/A,,False,5049331.0,False,,False,3431135.0,,3431135.0,0,True,False
C,A,20040101,2004,52,2004,156,CHN,China,M,Import,842,USA,USA,0,W00,World,H2,HS,True,261710,Antimony ores and concentrates,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,19640.0,False,-1,N/A,,False,19640.0,False,,False,34638.0,,34638.0,0,True,False
