typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20040101,2004,52,2004,703,SVK,Slovakia,M,Import,0,W00,World,0,W00,World,H2,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5450192353.0,True,-1,N/A,,False,5450192353.0,True,,False,438506786.0,,438506786.0,6,True,False
C,A,20040101,2004,52,2004,703,SVK,Slovakia,M,Import,40,AUT,Austria,0,W00,World,H2,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,143240.0,False,-1,N/A,,False,143240.0,False,,False,1967.0,,1967.0,0,True,False
C,A,20040101,2004,52,2004,703,SVK,Slovakia,M,Import,56,BEL,Belgium,0,W00,World,H2,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7140.0,False,-1,N/A,,False,7140.0,False,,False,2978.0,,2978.0,0,True,False
C,A,20040101,2004,52,2004,703,SVK,Slovakia,M,Import,156,CHN,China,0,W00,World,H2,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7014.0,False,-1,N/A,,False,7014.0,False,,False,4050.0,,4050.0,0,True,False
C,A,20040101,2004,52,2004,703,SVK,Slovakia,M,Import,196,CYP,Cyprus,0,W00,World,H2,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1900000.0,False,-1,N/A,,False,1900000.0,False,,False,84776.0,,84776.0,0,True,False
C,A,20040101,2004,52,2004,703,SVK,Slovakia,M,Import,203,CZE,Czechia,0,W00,World,H2,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1867704849.0,True,-1,N/A,,False,1867704849.0,True,,False,165412677.0,,165412677.0,6,True,False
C,A,20040101,2004,52,2004,703,SVK,Slovakia,M,Import,276,DEU,Germany,0,W00,World,H2,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,112550.0,False,-1,N/A,,False,112550.0,False,,False,47428.0,,47428.0,0,True,False
C,A,20040101,2004,52,2004,703,SVK,Slovakia,M,Import,380,ITA,Italy,0,W00,World,H2,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3.0,False,-1,N/A,,False,3.0,False,,False,17.0,,17.0,0,True,False
C,A,20040101,2004,52,2004,703,SVK,Slovakia,M,Import,568,E19,"Other Europe, nes",0,W00,World,H2,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,13607824.0,True,-1,N/A,,False,13607824.0,True,,False,1028679.0,,1028679.0,6,True,False
C,A,20040101,2004,52,2004,703,SVK,Slovakia,M,Import,616,POL,Poland,0,W00,World,H2,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1284409680.0,True,-1,N/A,,False,1284409680.0,True,,False,143501316.0,,143501316.0,6,True,False
