typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20040101,2004,52,2004,620,PRT,Portugal,M,Import,0,W00,World,0,W00,World,H2,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1317144.0,False,-1,N/A,,False,1317144.0,False,,False,921984.0,,921984.0,0,True,False
C,A,20040101,2004,52,2004,620,PRT,Portugal,M,Import,40,AUT,Austria,0,W00,World,H2,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2000.0,False,-1,N/A,,False,2000.0,False,,False,1324.0,,1324.0,0,True,False
C,A,20040101,2004,52,2004,620,PRT,Portugal,M,Import,203,CZE,Czechia,0,W00,World,H2,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5.0,False,-1,N/A,,False,5.0,False,,False,429.0,,429.0,0,True,False
C,A,20040101,2004,52,2004,620,PRT,Portugal,M,Import,276,DEU,Germany,0,W00,World,H2,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,10014.0,False,-1,N/A,,False,10014.0,False,,False,11075.0,,11075.0,0,True,False
C,A,20040101,2004,52,2004,620,PRT,Portugal,M,Import,380,ITA,Italy,0,W00,World,H2,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4800.0,False,-1,N/A,,False,4800.0,False,,False,3589.0,,3589.0,0,True,False
C,A,20040101,2004,52,2004,620,PRT,Portugal,M,Import,616,POL,Poland,0,W00,World,H2,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,28749.0,False,-1,N/A,,False,28749.0,False,,False,33704.0,,33704.0,0,True,False
C,A,20040101,2004,52,2004,620,PRT,Portugal,M,Import,724,ESP,Spain,0,W00,World,H2,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1239324.0,False,-1,N/A,,False,1239324.0,False,,False,847197.0,,847197.0,0,True,False
C,A,20040101,2004,52,2004,620,PRT,Portugal,M,Import,752,SWE,Sweden,0,W00,World,H2,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,28250.0,False,-1,N/A,,False,28250.0,False,,False,22152.0,,22152.0,0,True,False
C,A,20040101,2004,52,2004,620,PRT,Portugal,M,Import,826,GBR,United Kingdom,0,W00,World,H2,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4000.0,False,-1,N/A,,False,4000.0,False,,False,2034.0,,2034.0,0,True,False
C,A,20040101,2004,52,2004,620,PRT,Portugal,M,Import,842,USA,USA,0,W00,World,H2,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2.0,False,-1,N/A,,False,2.0,False,,False,480.0,,480.0,0,True,False
