typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20040101,2004,52,2004,156,CHN,China,M,Import,0,W00,World,0,W00,World,H2,HS,True,2611,Tungsten ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2876818.0,False,-1,N/A,,False,2876818.0,False,,False,5721272.0,,5721272.0,0,True,False
C,A,20040101,2004,52,2004,156,CHN,China,M,Import,104,MMR,Myanmar,0,W00,World,H2,HS,True,2611,Tungsten ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,156778.0,False,-1,N/A,,False,156778.0,False,,False,78560.0,,78560.0,0,True,False
C,A,20040101,2004,52,2004,156,CHN,China,M,Import,124,CAN,Canada,0,W00,World,H2,HS,True,2611,Tungsten ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,483533.0,False,-1,N/A,,False,483533.0,False,,False,414333.0,,414333.0,0,True,False
C,A,20040101,2004,52,2004,156,CHN,China,M,Import,392,JPN,Japan,0,W00,World,H2,HS,True,2611,Tungsten ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,535536.0,False,-1,N/A,,False,535536.0,False,,False,1758617.0,,1758617.0,0,True,False
C,A,20040101,2004,52,2004,156,CHN,China,M,Import,408,PRK,Dem. People's Rep. of Korea,0,W00,World,H2,HS,True,2611,Tungsten ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,568080.0,False,-1,N/A,,False,568080.0,False,,False,395932.0,,395932.0,0,True,False
C,A,20040101,2004,52,2004,156,CHN,China,M,Import,410,KOR,Rep. of Korea,0,W00,World,H2,HS,True,2611,Tungsten ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7940.0,False,-1,N/A,,False,7940.0,False,,False,18158.0,,18158.0,0,True,False
C,A,20040101,2004,52,2004,156,CHN,China,M,Import,490,S19,"Other Asia, nes",0,W00,World,H2,HS,True,2611,Tungsten ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,102.0,False,-1,N/A,,False,102.0,False,,False,151.0,,151.0,0,True,False
C,A,20040101,2004,52,2004,156,CHN,China,M,Import,496,MNG,Mongolia,0,W00,World,H2,HS,True,2611,Tungsten ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,16358.0,False,-1,N/A,,False,16358.0,False,,False,52109.0,,52109.0,0,True,False
C,A,20040101,2004,52,2004,156,CHN,China,M,Import,566,NGA,Nigeria,0,W00,World,H2,HS,True,2611,Tungsten ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,106875.0,False,-1,N/A,,False,106875.0,False,,False,84553.0,,84553.0,0,True,False
C,A,20040101,2004,52,2004,156,CHN,China,M,Import,620,PRT,Portugal,0,W00,World,H2,HS,True,2611,Tungsten ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,60000.0,False,-1,N/A,,False,60000.0,False,,False,198929.0,,198929.0,0,True,False
C,A,20040101,2004,52,2004,156,CHN,China,M,Import,643,RUS,Russian Federation,0,W00,World,H2,HS,True,2611,Tungsten ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,835546.0,False,-1,N/A,,False,835546.0,False,,False,2418279.0,,2418279.0,0,True,False
C,A,20040101,2004,52,2004,156,CHN,China,M,Import,699,IND,India,0,W00,World,H2,HS,True,2611,Tungsten ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,56859.0,False,-1,N/A,,False,56859.0,False,,False,214708.0,,214708.0,0,True,False
C,A,20040101,2004,52,2004,156,CHN,China,M,Import,702,SGP,Singapore,0,W00,World,H2,HS,True,2611,Tungsten ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,19897.0,False,-1,N/A,,False,19897.0,False,,False,13890.0,,13890.0,0,True,False
C,A,20040101,2004,52,2004,156,CHN,China,M,Import,704,VNM,Viet Nam,0,W00,World,H2,HS,True,2611,Tungsten ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,6950.0,False,-1,N/A,,False,6950.0,False,,False,9908.0,,9908.0,0,True,False
C,A,20040101,2004,52,2004,156,CHN,China,M,Import,842,USA,USA,0,W00,World,H2,HS,True,2611,Tungsten ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,22364.0,False,-1,N/A,,False,22364.0,False,,False,63145.0,,63145.0,0,True,False
