typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20050101,2005,52,2005,152,CHL,Chile,M,Import,0,W00,World,0,W00,World,H2,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,73567610.931,True,-1,N/A,0.0,False,73567610.931,True,0.0,False,79100428.083,77114328.226,79100428.083,6,False,True
C,A,20050101,2005,52,2005,152,CHL,Chile,M,Import,32,ARG,Argentina,0,W00,World,H2,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,84105.954,False,8,kg,84105.954,False,84105.954,False,0.0,False,5788.84,1025.0,5788.84,0,False,True
C,A,20050101,2005,52,2005,152,CHL,Chile,M,Import,68,BOL,Bolivia (Plurinational State of),0,W00,World,H2,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,386160.0,False,8,kg,386160.0,False,386160.0,False,0.0,False,41828.09,32994.65,41828.09,0,False,True
C,A,20050101,2005,52,2005,152,CHL,Chile,M,Import,76,BRA,Brazil,0,W00,World,H2,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,183.462,False,8,kg,183.462,False,183.462,False,0.0,False,622.7,255.34,622.7,0,False,True
C,A,20050101,2005,52,2005,152,CHL,Chile,M,Import,100,BGR,Bulgaria,0,W00,World,H2,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,25.539,False,8,kg,25.539,False,25.539,False,0.0,False,234.57,32.43,234.57,0,False,True
C,A,20050101,2005,52,2005,152,CHL,Chile,M,Import,124,CAN,Canada,0,W00,World,H2,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,13.5,False,8,kg,13.5,False,13.5,False,0.0,False,846.57,726.57,846.57,0,False,True
C,A,20050101,2005,52,2005,152,CHL,Chile,M,Import,276,DEU,Germany,0,W00,World,H2,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2.77,False,8,kg,2.77,False,2.77,False,0.0,False,219.66,36.91,219.66,0,False,True
C,A,20050101,2005,52,2005,152,CHL,Chile,M,Import,410,KOR,Rep. of Korea,0,W00,World,H2,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,11.923,False,8,kg,11.923,False,11.923,False,0.0,False,238.03,87.0,238.03,0,False,True
C,A,20050101,2005,52,2005,152,CHL,Chile,M,Import,604,PER,Peru,0,W00,World,H2,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,73075795.0,False,8,kg,73075795.0,False,73075795.0,False,0.0,False,79046717.64,77076788.32,79046717.64,0,False,True
C,A,20050101,2005,52,2005,152,CHL,Chile,M,Import,724,ESP,Spain,0,W00,World,H2,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1.785,False,8,kg,1.785,False,1.785,False,0.0,False,119.52,108.95,119.52,0,False,True
C,A,20050101,2005,52,2005,152,CHL,Chile,M,Import,826,GBR,United Kingdom,0,W00,World,H2,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,254.476,True,-1,N/A,0.0,False,254.476,True,0.0,False,346.393,255.206,346.393,6,False,True
C,A,20050101,2005,52,2005,152,CHL,Chile,M,Import,842,USA,USA,0,W00,World,H2,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,86.523,False,8,kg,86.523,False,86.523,False,0.0,False,1150.66,140.0,1150.66,0,False,True
C,A,20050101,2005,52,2005,152,CHL,Chile,M,Import,899,_X ,"Areas, nes",0,W00,World,H2,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,20970.0,False,8,kg,20970.0,False,20970.0,False,0.0,False,2315.41,1877.85,2315.41,0,False,True
