typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20050101,2005,52,2005,616,POL,Poland,M,Import,0,W00,World,0,W00,World,H2,HS,True,2602,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,40385520.989,True,-1,N/A,0.0,False,40385520.989,True,0.0,False,6377412.0,0.0,6377412.0,6,False,True
C,A,20050101,2005,52,2005,616,POL,Poland,M,Import,56,BEL,Belgium,0,W00,World,H2,HS,True,2602,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1641015.0,False,8,kg,1641015.0,False,1641015.0,False,0.0,False,655759.0,0.0,655759.0,0,False,True
C,A,20050101,2005,52,2005,616,POL,Poland,M,Import,76,BRA,Brazil,0,W00,World,H2,HS,True,2602,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,14904115.0,False,8,kg,14904115.0,False,14904115.0,False,0.0,False,2808447.0,0.0,2808447.0,0,False,True
C,A,20050101,2005,52,2005,616,POL,Poland,M,Import,170,COL,Colombia,0,W00,World,H2,HS,True,2602,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,624000.0,False,8,kg,624000.0,False,624000.0,False,0.0,False,220727.0,0.0,220727.0,0,False,True
C,A,20050101,2005,52,2005,616,POL,Poland,M,Import,251,FRA,France,0,W00,World,H2,HS,True,2602,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,116118.0,False,8,kg,116118.0,False,116118.0,False,0.0,False,50492.0,0.0,50492.0,0,False,True
C,A,20050101,2005,52,2005,616,POL,Poland,M,Import,266,GAB,Gabon,0,W00,World,H2,HS,True,2602,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1174818.0,False,8,kg,1174818.0,False,1174818.0,False,0.0,False,557690.0,0.0,557690.0,0,False,True
C,A,20050101,2005,52,2005,616,POL,Poland,M,Import,268,GEO,Georgia,0,W00,World,H2,HS,True,2602,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,60000.0,False,8,kg,60000.0,False,60000.0,False,0.0,False,27000.0,0.0,27000.0,0,False,True
C,A,20050101,2005,52,2005,616,POL,Poland,M,Import,276,DEU,Germany,0,W00,World,H2,HS,True,2602,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,94.989,True,-1,N/A,0.0,False,94.989,True,0.0,False,15.0,0.0,15.0,6,False,True
C,A,20050101,2005,52,2005,616,POL,Poland,M,Import,710,ZAF,South Africa,0,W00,World,H2,HS,True,2602,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,20000000.0,False,8,kg,20000000.0,False,20000000.0,False,0.0,False,1828573.0,0.0,1828573.0,0,False,True
C,A,20050101,2005,52,2005,616,POL,Poland,M,Import,804,UKR,Ukraine,0,W00,World,H2,HS,True,2602,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1865360.0,False,8,kg,1865360.0,False,1865360.0,False,0.0,False,228709.0,0.0,228709.0,0,False,True
