typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20050101,2005,52,2005,56,BEL,Belgium,M,Import,0,W00,World,0,W00,World,H2,HS,True,2608,Zinc ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1170082174.0,False,-1,N/A,,False,1170082174.0,False,,False,474335191.0,,474335191.0,0,True,False
C,A,20050101,2005,52,2005,56,BEL,Belgium,M,Import,36,AUS,Australia,0,W00,World,H2,HS,True,2608,Zinc ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,409131000.0,False,-1,N/A,,False,409131000.0,False,,False,174598582.0,,174598582.0,0,True,False
C,A,20050101,2005,52,2005,56,BEL,Belgium,M,Import,51,ARM,Armenia,0,W00,World,H2,HS,True,2608,Zinc ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2738425.0,False,-1,N/A,,False,2738425.0,False,,False,1202316.0,,1202316.0,0,True,False
C,A,20050101,2005,52,2005,56,BEL,Belgium,M,Import,68,BOL,Bolivia (Plurinational State of),0,W00,World,H2,HS,True,2608,Zinc ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,24981120.0,False,-1,N/A,,False,24981120.0,False,,False,9623786.0,,9623786.0,0,True,False
C,A,20050101,2005,52,2005,56,BEL,Belgium,M,Import,100,BGR,Bulgaria,0,W00,World,H2,HS,True,2608,Zinc ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,277120.0,False,-1,N/A,,False,277120.0,False,,False,134259.0,,134259.0,0,True,False
C,A,20050101,2005,52,2005,56,BEL,Belgium,M,Import,124,CAN,Canada,0,W00,World,H2,HS,True,2608,Zinc ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,78083250.0,False,-1,N/A,,False,78083250.0,False,,False,28913188.0,,28913188.0,0,True,False
C,A,20050101,2005,52,2005,56,BEL,Belgium,M,Import,152,CHL,Chile,0,W00,World,H2,HS,True,2608,Zinc ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5962030.0,False,-1,N/A,,False,5962030.0,False,,False,2408690.0,,2408690.0,0,True,False
C,A,20050101,2005,52,2005,56,BEL,Belgium,M,Import,251,FRA,France,0,W00,World,H2,HS,True,2608,Zinc ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,11904478.0,False,-1,N/A,,False,11904478.0,False,,False,3469166.0,,3469166.0,0,True,False
C,A,20050101,2005,52,2005,56,BEL,Belgium,M,Import,268,GEO,Georgia,0,W00,World,H2,HS,True,2608,Zinc ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4440417.0,False,-1,N/A,,False,4440417.0,False,,False,1801287.0,,1801287.0,0,True,False
C,A,20050101,2005,52,2005,56,BEL,Belgium,M,Import,276,DEU,Germany,0,W00,World,H2,HS,True,2608,Zinc ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,25549.0,False,-1,N/A,,False,25549.0,False,,False,6676.0,,6676.0,0,True,False
C,A,20050101,2005,52,2005,56,BEL,Belgium,M,Import,340,HND,Honduras,0,W00,World,H2,HS,True,2608,Zinc ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,36978730.0,False,-1,N/A,,False,36978730.0,False,,False,14360835.0,,14360835.0,0,True,False
C,A,20050101,2005,52,2005,56,BEL,Belgium,M,Import,372,IRL,Ireland,0,W00,World,H2,HS,True,2608,Zinc ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,158734038.0,False,-1,N/A,,False,158734038.0,False,,False,72802191.0,,72802191.0,0,True,False
C,A,20050101,2005,52,2005,56,BEL,Belgium,M,Import,380,ITA,Italy,0,W00,World,H2,HS,True,2608,Zinc ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,10444615.0,False,-1,N/A,,False,10444615.0,False,,False,4348172.0,,4348172.0,0,True,False
C,A,20050101,2005,52,2005,56,BEL,Belgium,M,Import,484,MEX,Mexico,0,W00,World,H2,HS,True,2608,Zinc ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,16450209.0,False,-1,N/A,,False,16450209.0,False,,False,7754851.0,,7754851.0,0,True,False
C,A,20050101,2005,52,2005,56,BEL,Belgium,M,Import,504,MAR,Morocco,0,W00,World,H2,HS,True,2608,Zinc ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,8770970.0,False,-1,N/A,,False,8770970.0,False,,False,3354406.0,,3354406.0,0,True,False
