typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20060101,2006,52,2006,458,MYS,Malaysia,M,Import,0,W00,World,0,W00,World,H2,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,11103402066.0,False,-1,N/A,,False,11103402066.0,False,,False,508462232.0,,508462232.0,0,True,False
C,A,20060101,2006,52,2006,458,MYS,Malaysia,M,Import,36,AUS,Australia,0,W00,World,H2,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3607176288.0,False,-1,N/A,,False,3607176288.0,False,,False,180107319.0,,180107319.0,0,True,False
C,A,20060101,2006,52,2006,458,MYS,Malaysia,M,Import,156,CHN,China,0,W00,World,H2,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,29946950.0,False,-1,N/A,,False,29946950.0,False,,False,3393575.0,,3393575.0,0,True,False
C,A,20060101,2006,52,2006,458,MYS,Malaysia,M,Import,344,HKG,"China, Hong Kong SAR",0,W00,World,H2,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1367230.0,False,-1,N/A,,False,1367230.0,False,,False,144795.0,,144795.0,0,True,False
C,A,20060101,2006,52,2006,458,MYS,Malaysia,M,Import,360,IDN,Indonesia,0,W00,World,H2,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7218104430.0,False,-1,N/A,,False,7218104430.0,False,,False,302853992.0,,302853992.0,0,True,False
C,A,20060101,2006,52,2006,458,MYS,Malaysia,M,Import,392,JPN,Japan,0,W00,World,H2,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7200.0,False,-1,N/A,,False,7200.0,False,,False,15686.0,,15686.0,0,True,False
C,A,20060101,2006,52,2006,458,MYS,Malaysia,M,Import,410,KOR,Rep. of Korea,0,W00,World,H2,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,6000.0,False,-1,N/A,,False,6000.0,False,,False,1901.0,,1901.0,0,True,False
C,A,20060101,2006,52,2006,458,MYS,Malaysia,M,Import,490,S19,"Other Asia, nes",0,W00,World,H2,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,18000.0,False,-1,N/A,,False,18000.0,False,,False,3985.0,,3985.0,0,True,False
C,A,20060101,2006,52,2006,458,MYS,Malaysia,M,Import,528,NLD,Netherlands,0,W00,World,H2,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,77100.0,False,-1,N/A,,False,77100.0,False,,False,38204.0,,38204.0,0,True,False
C,A,20060101,2006,52,2006,458,MYS,Malaysia,M,Import,699,IND,India,0,W00,World,H2,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,51000.0,False,-1,N/A,,False,51000.0,False,,False,9783.0,,9783.0,0,True,False
C,A,20060101,2006,52,2006,458,MYS,Malaysia,M,Import,702,SGP,Singapore,0,W00,World,H2,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,46620668.0,False,-1,N/A,,False,46620668.0,False,,False,2523653.0,,2523653.0,0,True,False
C,A,20060101,2006,52,2006,458,MYS,Malaysia,M,Import,704,VNM,Viet Nam,0,W00,World,H2,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,171455400.0,False,-1,N/A,,False,171455400.0,False,,False,14757236.0,,14757236.0,0,True,False
C,A,20060101,2006,52,2006,458,MYS,Malaysia,M,Import,710,ZAF,South Africa,0,W00,World,H2,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,14888060.0,False,-1,N/A,,False,14888060.0,False,,False,3435614.0,,3435614.0,0,True,False
C,A,20060101,2006,52,2006,458,MYS,Malaysia,M,Import,748,SWZ,Eswatini,0,W00,World,H2,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,83000.0,False,-1,N/A,,False,83000.0,False,,False,4501.0,,4501.0,0,True,False
C,A,20060101,2006,52,2006,458,MYS,Malaysia,M,Import,757,CHE,Switzerland,0,W00,World,H2,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7842300.0,False,-1,N/A,,False,7842300.0,False,,False,760896.0,,760896.0,0,True,False
C,A,20060101,2006,52,2006,458,MYS,Malaysia,M,Import,764,THA,Thailand,0,W00,World,H2,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5319790.0,False,-1,N/A,,False,5319790.0,False,,False,236031.0,,236031.0,0,True,False
C,A,20060101,2006,52,2006,458,MYS,Malaysia,M,Import,826,GBR,United Kingdom,0,W00,World,H2,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,411000.0,False,-1,N/A,,False,411000.0,False,,False,137039.0,,137039.0,0,True,False
C,A,20060101,2006,52,2006,458,MYS,Malaysia,M,Import,842,USA,USA,0,W00,World,H2,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,27650.0,False,-1,N/A,,False,27650.0,False,,False,38021.0,,38021.0,0,True,False
