typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20060101,2006,52,2006,360,IDN,Indonesia,M,Import,0,W00,World,0,W00,World,H1,HS,True,283691,Carbonates; lithium carbonate,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,55476.0,False,-1,N/A,,False,55476.0,False,,False,235555.0,,235555.0,0,False,False
C,A,20060101,2006,52,2006,360,IDN,Indonesia,M,Import,56,BEL,Belgium,0,W00,World,H1,HS,True,283691,Carbonates; lithium carbonate,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,20000.0,False,-1,N/A,,False,20000.0,False,,False,104000.0,,104000.0,0,False,False
C,A,20060101,2006,52,2006,360,IDN,Indonesia,M,Import,152,CHL,Chile,0,W00,World,H1,HS,True,283691,Carbonates; lithium carbonate,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,100.0,False,-1,N/A,,False,100.0,False,,False,1338.0,,1338.0,0,False,False
C,A,20060101,2006,52,2006,360,IDN,Indonesia,M,Import,156,CHN,China,0,W00,World,H1,HS,True,283691,Carbonates; lithium carbonate,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7650.0,False,-1,N/A,,False,7650.0,False,,False,55500.0,,55500.0,0,False,False
C,A,20060101,2006,52,2006,360,IDN,Indonesia,M,Import,276,DEU,Germany,0,W00,World,H1,HS,True,283691,Carbonates; lithium carbonate,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,106.0,False,-1,N/A,,False,106.0,False,,False,625.0,,625.0,0,False,False
C,A,20060101,2006,52,2006,360,IDN,Indonesia,M,Import,410,KOR,Rep. of Korea,0,W00,World,H1,HS,True,283691,Carbonates; lithium carbonate,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1075.0,False,-1,N/A,,False,1075.0,False,,False,1000.0,,1000.0,0,False,False
C,A,20060101,2006,52,2006,360,IDN,Indonesia,M,Import,490,S19,"Other Asia, nes",0,W00,World,H1,HS,True,283691,Carbonates; lithium carbonate,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,13206.0,False,-1,N/A,,False,13206.0,False,,False,13125.0,,13125.0,0,False,False
C,A,20060101,2006,52,2006,360,IDN,Indonesia,M,Import,702,SGP,Singapore,0,W00,World,H1,HS,True,283691,Carbonates; lithium carbonate,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1279.0,False,-1,N/A,,False,1279.0,False,,False,455.0,,455.0,0,False,False
C,A,20060101,2006,52,2006,360,IDN,Indonesia,M,Import,752,SWE,Sweden,0,W00,World,H1,HS,True,283691,Carbonates; lithium carbonate,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,11187.0,False,-1,N/A,,False,11187.0,False,,False,50540.0,,50540.0,0,False,False
C,A,20060101,2006,52,2006,360,IDN,Indonesia,M,Import,842,USA,USA,0,W00,World,H1,HS,True,283691,Carbonates; lithium carbonate,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,873.0,False,-1,N/A,,False,873.0,False,,False,8972.0,,8972.0,0,False,False
