typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20060101,2006,52,2006,804,UKR,Ukraine,M,Import,0,W00,World,0,W00,World,H1,HS,True,2602,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1663243500.0,False,-1,N/A,,False,1663243500.0,False,,False,158181857.0,,158181857.0,0,False,False
C,A,20060101,2006,52,2006,804,UKR,Ukraine,M,Import,36,AUS,Australia,0,W00,World,H1,HS,True,2602,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,258693030.0,False,-1,N/A,,False,258693030.0,False,,False,35246355.0,,35246355.0,0,False,False
C,A,20060101,2006,52,2006,804,UKR,Ukraine,M,Import,266,GAB,Gabon,0,W00,World,H1,HS,True,2602,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,371346922.0,False,-1,N/A,,False,371346922.0,False,,False,49135328.0,,49135328.0,0,False,False
C,A,20060101,2006,52,2006,804,UKR,Ukraine,M,Import,268,GEO,Georgia,0,W00,World,H1,HS,True,2602,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,810480.0,False,-1,N/A,,False,810480.0,False,,False,109232.0,,109232.0,0,False,False
C,A,20060101,2006,52,2006,804,UKR,Ukraine,M,Import,288,GHA,Ghana,0,W00,World,H1,HS,True,2602,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,832025990.0,False,-1,N/A,,False,832025990.0,False,,False,52991008.0,,52991008.0,0,False,False
C,A,20060101,2006,52,2006,804,UKR,Ukraine,M,Import,384,CIV,Côte d'Ivoire,0,W00,World,H1,HS,True,2602,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,205000.0,False,-1,N/A,,False,205000.0,False,,False,23437.0,,23437.0,0,False,False
C,A,20060101,2006,52,2006,804,UKR,Ukraine,M,Import,528,NLD,Netherlands,0,W00,World,H1,HS,True,2602,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2675.0,False,-1,N/A,,False,2675.0,False,,False,4536.0,,4536.0,0,False,False
C,A,20060101,2006,52,2006,804,UKR,Ukraine,M,Import,710,ZAF,South Africa,0,W00,World,H1,HS,True,2602,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,195147110.0,False,-1,N/A,,False,195147110.0,False,,False,20406299.0,,20406299.0,0,False,False
C,A,20060101,2006,52,2006,804,UKR,Ukraine,M,Import,807,MKD,North Macedonia,0,W00,World,H1,HS,True,2602,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5010730.0,False,-1,N/A,,False,5010730.0,False,,False,262662.0,,262662.0,0,False,False
C,A,20060101,2006,52,2006,804,UKR,Ukraine,M,Import,842,USA,USA,0,W00,World,H1,HS,True,2602,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1563.0,False,-1,N/A,,False,1563.0,False,,False,3000.0,,3000.0,0,False,False
