typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20070101,2007,52,2007,703,SVK,Slovakia,M,Import,0,W00,World,0,W00,World,H3,HS,True,2610,Chromium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,17597058.0,True,-1,N/A,,False,17597058.0,True,,False,8189781.0,,8189781.0,6,True,False
C,A,20070101,2007,52,2007,703,SVK,Slovakia,M,Import,156,CHN,China,0,W00,World,H3,HS,True,2610,Chromium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,215340.0,False,-1,N/A,,False,215340.0,False,,False,86490.0,,86490.0,0,True,False
C,A,20070101,2007,52,2007,703,SVK,Slovakia,M,Import,203,CZE,Czechia,0,W00,World,H3,HS,True,2610,Chromium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,111117.0,False,-1,N/A,,False,111117.0,False,,False,54194.0,,54194.0,0,True,False
C,A,20070101,2007,52,2007,703,SVK,Slovakia,M,Import,276,DEU,Germany,0,W00,World,H3,HS,True,2610,Chromium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,458620.0,False,-1,N/A,,False,458620.0,False,,False,195806.0,,195806.0,0,True,False
C,A,20070101,2007,52,2007,703,SVK,Slovakia,M,Import,450,MDG,Madagascar,0,W00,World,H3,HS,True,2610,Chromium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,695300.0,False,-1,N/A,,False,695300.0,False,,False,420506.0,,420506.0,0,True,False
C,A,20070101,2007,52,2007,703,SVK,Slovakia,M,Import,512,OMN,Oman,0,W00,World,H3,HS,True,2610,Chromium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,168000.0,False,-1,N/A,,False,168000.0,False,,False,66755.0,,66755.0,0,True,False
C,A,20070101,2007,52,2007,703,SVK,Slovakia,M,Import,528,NLD,Netherlands,0,W00,World,H3,HS,True,2610,Chromium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,583299.0,False,-1,N/A,,False,583299.0,False,,False,175557.0,,175557.0,0,True,False
C,A,20070101,2007,52,2007,703,SVK,Slovakia,M,Import,568,E19,"Other Europe, nes",0,W00,World,H3,HS,True,2610,Chromium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,778095.0,True,-1,N/A,,False,778095.0,True,,False,362130.0,,362130.0,6,True,False
C,A,20070101,2007,52,2007,703,SVK,Slovakia,M,Import,586,PAK,Pakistan,0,W00,World,H3,HS,True,2610,Chromium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3271867.0,False,-1,N/A,,False,3271867.0,False,,False,1345531.0,,1345531.0,0,True,False
C,A,20070101,2007,52,2007,703,SVK,Slovakia,M,Import,682,SAU,Saudi Arabia,0,W00,World,H3,HS,True,2610,Chromium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,385713.0,False,-1,N/A,,False,385713.0,False,,False,170931.0,,170931.0,0,True,False
C,A,20070101,2007,52,2007,703,SVK,Slovakia,M,Import,710,ZAF,South Africa,0,W00,World,H3,HS,True,2610,Chromium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1832338.0,False,-1,N/A,,False,1832338.0,False,,False,549761.0,,549761.0,0,True,False
C,A,20070101,2007,52,2007,703,SVK,Slovakia,M,Import,792,TUR,Türkiye,0,W00,World,H3,HS,True,2610,Chromium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,9097369.0,False,-1,N/A,,False,9097369.0,False,,False,4762119.0,,4762119.0,0,True,False
