typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20080101,2008,52,2008,643,RUS,Russian Federation,M,Import,0,W00,World,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,30932401498.0,False,-1,N/A,,False,30932401498.0,False,,False,889010147.0,,889010147.0,0,True,False
C,A,20080101,2008,52,2008,643,RUS,Russian Federation,M,Import,156,CHN,China,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1477.0,False,-1,N/A,,False,1477.0,False,,False,2210.0,,2210.0,0,True,False
C,A,20080101,2008,52,2008,643,RUS,Russian Federation,M,Import,170,COL,Colombia,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,43580658.0,False,-1,N/A,,False,43580658.0,False,,False,8853305.0,,8853305.0,0,True,False
C,A,20080101,2008,52,2008,643,RUS,Russian Federation,M,Import,246,FIN,Finland,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,37980.0,False,-1,N/A,,False,37980.0,False,,False,72984.0,,72984.0,0,True,False
C,A,20080101,2008,52,2008,643,RUS,Russian Federation,M,Import,276,DEU,Germany,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,425863.0,False,-1,N/A,,False,425863.0,False,,False,303657.0,,303657.0,0,True,False
C,A,20080101,2008,52,2008,643,RUS,Russian Federation,M,Import,380,ITA,Italy,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,18015.0,False,-1,N/A,,False,18015.0,False,,False,11872.0,,11872.0,0,True,False
C,A,20080101,2008,52,2008,643,RUS,Russian Federation,M,Import,398,KAZ,Kazakhstan,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,29858225400.0,False,-1,N/A,,False,29858225400.0,False,,False,649121665.0,,649121665.0,0,True,False
C,A,20080101,2008,52,2008,643,RUS,Russian Federation,M,Import,410,KOR,Rep. of Korea,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,8160.0,False,-1,N/A,,False,8160.0,False,,False,1756.0,,1756.0,0,True,False
C,A,20080101,2008,52,2008,643,RUS,Russian Federation,M,Import,417,KGZ,Kyrgyzstan,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,23053000.0,False,-1,N/A,,False,23053000.0,False,,False,458265.0,,458265.0,0,True,False
C,A,20080101,2008,52,2008,643,RUS,Russian Federation,M,Import,496,MNG,Mongolia,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,20718850.0,False,-1,N/A,,False,20718850.0,False,,False,1463083.0,,1463083.0,0,True,False
