typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20080101,2008,52,2008,704,VNM,Viet Nam,M,Import,826,GBR,United Kingdom,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,23149.0,True,-1,N/A,,False,23149.0,True,,False,7111.0,,7111.0,6,True,False
C,A,20080101,2008,52,2008,704,VNM,Viet Nam,M,Import,764,THA,Thailand,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,800238.0,True,-1,N/A,,False,800238.0,True,,False,53720.0,,53720.0,6,True,False
C,A,20080101,2008,52,2008,704,VNM,Viet Nam,M,Import,757,CHE,Switzerland,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,564561.0,True,-1,N/A,,False,564561.0,True,,False,50700.0,,50700.0,6,True,False
C,A,20080101,2008,52,2008,704,VNM,Viet Nam,M,Import,702,SGP,Singapore,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,78516.0,True,-1,N/A,,False,78516.0,True,,False,8183.0,,8183.0,6,True,False
C,A,20080101,2008,52,2008,704,VNM,Viet Nam,M,Import,528,NLD,Netherlands,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,409578.0,True,-1,N/A,,False,409578.0,True,,False,27495.0,,27495.0,6,True,False
C,A,20080101,2008,52,2008,704,VNM,Viet Nam,M,Import,490,S19,"Other Asia, nes",0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,404879.0,True,-1,N/A,,False,404879.0,True,,False,33052.0,,33052.0,6,True,False
C,A,20080101,2008,52,2008,704,VNM,Viet Nam,M,Import,458,MYS,Malaysia,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2682760.0,True,-1,N/A,,False,2682760.0,True,,False,188047.0,,188047.0,6,True,False
C,A,20080101,2008,52,2008,704,VNM,Viet Nam,M,Import,410,KOR,Rep. of Korea,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,74718.0,True,-1,N/A,,False,74718.0,True,,False,9570.0,,9570.0,6,True,False
C,A,20080101,2008,52,2008,704,VNM,Viet Nam,M,Import,392,JPN,Japan,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,531999.0,True,-1,N/A,,False,531999.0,True,,False,55142.0,,55142.0,6,True,False
C,A,20080101,2008,52,2008,704,VNM,Viet Nam,M,Import,360,IDN,Indonesia,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,392302320.0,True,-1,N/A,,False,392302320.0,True,,False,34793022.0,,34793022.0,6,True,False
C,A,20080101,2008,52,2008,704,VNM,Viet Nam,M,Import,251,FRA,France,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,33317.0,True,-1,N/A,,False,33317.0,True,,False,2992.0,,2992.0,6,True,False
C,A,20080101,2008,52,2008,704,VNM,Viet Nam,M,Import,156,CHN,China,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,168741786.0,True,-1,N/A,,False,168741786.0,True,,False,15140067.0,,15140067.0,6,True,False
C,A,20080101,2008,52,2008,704,VNM,Viet Nam,M,Import,0,W00,World,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,566647822.0,True,-1,N/A,,False,566647822.0,True,,False,50369101.0,,50369101.0,6,True,False
