typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20080101,2008,52,2008,579,NOR,Norway,M,Import,0,W00,World,0,W00,World,H3,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,560689.0,False,8,kg,560689.0,False,560689.0,False,0.0,False,456388.566,0.0,456388.566,0,False,True
C,A,20080101,2008,52,2008,579,NOR,Norway,M,Import,40,AUT,Austria,0,W00,World,H3,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,920.0,False,8,kg,920.0,False,920.0,False,0.0,False,3909.93,0.0,3909.93,0,False,True
C,A,20080101,2008,52,2008,579,NOR,Norway,M,Import,76,BRA,Brazil,0,W00,World,H3,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,406593.0,False,8,kg,406593.0,False,406593.0,False,0.0,False,248713.348,0.0,248713.348,0,False,True
C,A,20080101,2008,52,2008,579,NOR,Norway,M,Import,156,CHN,China,0,W00,World,H3,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,55340.0,False,8,kg,55340.0,False,55340.0,False,0.0,False,33512.241,0.0,33512.241,0,False,True
C,A,20080101,2008,52,2008,579,NOR,Norway,M,Import,208,DNK,Denmark,0,W00,World,H3,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,15900.0,False,8,kg,15900.0,False,15900.0,False,0.0,False,14941.138,0.0,14941.138,0,False,True
C,A,20080101,2008,52,2008,579,NOR,Norway,M,Import,234,FRO,Faeroe Isds,0,W00,World,H3,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,300.0,False,8,kg,300.0,False,300.0,False,0.0,False,5030.497,0.0,5030.497,0,False,True
C,A,20080101,2008,52,2008,579,NOR,Norway,M,Import,276,DEU,Germany,0,W00,World,H3,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,16500.0,False,8,kg,16500.0,False,16500.0,False,0.0,False,34503.553,0.0,34503.553,0,False,True
C,A,20080101,2008,52,2008,579,NOR,Norway,M,Import,752,SWE,Sweden,0,W00,World,H3,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,18077.0,False,8,kg,18077.0,False,18077.0,False,0.0,False,38733.164,0.0,38733.164,0,False,True
C,A,20080101,2008,52,2008,579,NOR,Norway,M,Import,757,CHE,Switzerland,0,W00,World,H3,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3.0,False,8,kg,3.0,False,3.0,False,0.0,False,11428.016,0.0,11428.016,0,False,True
C,A,20080101,2008,52,2008,579,NOR,Norway,M,Import,792,TUR,Türkiye,0,W00,World,H3,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,26536.0,False,8,kg,26536.0,False,26536.0,False,0.0,False,24028.728,0.0,24028.728,0,False,True
C,A,20080101,2008,52,2008,579,NOR,Norway,M,Import,826,GBR,United Kingdom,0,W00,World,H3,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1004.0,False,8,kg,1004.0,False,1004.0,False,0.0,False,12563.832,0.0,12563.832,0,False,True
C,A,20080101,2008,52,2008,579,NOR,Norway,M,Import,842,USA,USA,0,W00,World,H3,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,19516.0,False,8,kg,19516.0,False,19516.0,False,0.0,False,29024.119,0.0,29024.119,0,False,True
