typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20080101,2008,52,2008,528,NLD,Netherlands,M,Import,0,W00,World,0,W00,World,H3,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,58484561090.0,False,-1,N/A,,False,58484561090.0,False,,False,41995069334.0,,41995069334.0,0,True,False
C,A,20080101,2008,52,2008,528,NLD,Netherlands,M,Import,12,DZA,Algeria,0,W00,World,H3,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3387354112.0,False,-1,N/A,,False,3387354112.0,False,,False,2725000089.0,,2725000089.0,0,True,False
C,A,20080101,2008,52,2008,528,NLD,Netherlands,M,Import,24,AGO,Angola,0,W00,World,H3,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2633776896.0,False,-1,N/A,,False,2633776896.0,False,,False,1802414671.0,,1802414671.0,0,True,False
C,A,20080101,2008,52,2008,528,NLD,Netherlands,M,Import,31,AZE,Azerbaijan,0,W00,World,H3,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,647094976.0,False,-1,N/A,,False,647094976.0,False,,False,539235738.0,,539235738.0,0,True,False
C,A,20080101,2008,52,2008,528,NLD,Netherlands,M,Import,56,BEL,Belgium,0,W00,World,H3,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2381030656.0,False,-1,N/A,,False,2381030656.0,False,,False,1702011284.0,,1702011284.0,0,True,False
C,A,20080101,2008,52,2008,528,NLD,Netherlands,M,Import,76,BRA,Brazil,0,W00,World,H3,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,692390016.0,False,-1,N/A,,False,692390016.0,False,,False,438217906.0,,438217906.0,0,True,False
C,A,20080101,2008,52,2008,528,NLD,Netherlands,M,Import,112,BLR,Belarus,0,W00,World,H3,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,26113000.0,False,-1,N/A,,False,26113000.0,False,,False,17979485.0,,17979485.0,0,True,False
C,A,20080101,2008,52,2008,528,NLD,Netherlands,M,Import,120,CMR,Cameroon,0,W00,World,H3,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2081000.0,False,-1,N/A,,False,2081000.0,False,,False,1420441.0,,1420441.0,0,True,False
C,A,20080101,2008,52,2008,528,NLD,Netherlands,M,Import,226,GNQ,Equatorial Guinea,0,W00,World,H3,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,377513184.0,False,-1,N/A,,False,377513184.0,False,,False,268684415.0,,268684415.0,0,True,False
C,A,20080101,2008,52,2008,528,NLD,Netherlands,M,Import,266,GAB,Gabon,0,W00,World,H3,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,179286000.0,False,-1,N/A,,False,179286000.0,False,,False,135280819.0,,135280819.0,0,True,False
C,A,20080101,2008,52,2008,528,NLD,Netherlands,M,Import,364,IRN,Iran,0,W00,World,H3,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,469756992.0,False,-1,N/A,,False,469756992.0,False,,False,375780379.0,,375780379.0,0,True,False
C,A,20080101,2008,52,2008,528,NLD,Netherlands,M,Import,368,IRQ,Iraq,0,W00,World,H3,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1913761024.0,False,-1,N/A,,False,1913761024.0,False,,False,1317647844.0,,1317647844.0,0,True,False
C,A,20080101,2008,52,2008,528,NLD,Netherlands,M,Import,380,ITA,Italy,0,W00,World,H3,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,31261000.0,False,-1,N/A,,False,31261000.0,False,,False,21856229.0,,21856229.0,0,True,False
C,A,20080101,2008,52,2008,528,NLD,Netherlands,M,Import,384,CIV,Côte d'Ivoire,0,W00,World,H3,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,178891008.0,False,-1,N/A,,False,178891008.0,False,,False,139689491.0,,139689491.0,0,True,False
C,A,20080101,2008,52,2008,528,NLD,Netherlands,M,Import,398,KAZ,Kazakhstan,0,W00,World,H3,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1252281984.0,False,-1,N/A,,False,1252281984.0,False,,False,1019169527.0,,1019169527.0,0,True,False
C,A,20080101,2008,52,2008,528,NLD,Netherlands,M,Import,414,KWT,Kuwait,0,W00,World,H3,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4310352896.0,False,-1,N/A,,False,4310352896.0,False,,False,2939147812.0,,2939147812.0,0,True,False
C,A,20080101,2008,52,2008,528,NLD,Netherlands,M,Import,428,LVA,Latvia,0,W00,World,H3,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,49656000.0,False,-1,N/A,,False,49656000.0,False,,False,39430505.0,,39430505.0,0,True,False
C,A,20080101,2008,52,2008,528,NLD,Netherlands,M,Import,434,LBY,Libya,0,W00,World,H3,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1524062016.0,False,-1,N/A,,False,1524062016.0,False,,False,1213286672.0,,1213286672.0,0,True,False
C,A,20080101,2008,52,2008,528,NLD,Netherlands,M,Import,484,MEX,Mexico,0,W00,World,H3,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,308524992.0,False,-1,N/A,,False,308524992.0,False,,False,202717887.0,,202717887.0,0,True,False
C,A,20080101,2008,52,2008,528,NLD,Netherlands,M,Import,512,OMN,Oman,0,W00,World,H3,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,201883008.0,False,-1,N/A,,False,201883008.0,False,,False,135112841.0,,135112841.0,0,True,False
C,A,20080101,2008,52,2008,528,NLD,Netherlands,M,Import,566,NGA,Nigeria,0,W00,World,H3,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2017905968.0,False,-1,N/A,,False,2017905968.0,False,,False,1328868446.0,,1328868446.0,0,True,False
C,A,20080101,2008,52,2008,528,NLD,Netherlands,M,Import,579,NOR,Norway,0,W00,World,H3,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4603130176.0,False,-1,N/A,,False,4603130176.0,False,,False,3405173360.0,,3405173360.0,0,True,False
C,A,20080101,2008,52,2008,528,NLD,Netherlands,M,Import,643,RUS,Russian Federation,0,W00,World,H3,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,16627968496.0,False,-1,N/A,,False,16627968496.0,False,,False,11891425600.0,,11891425600.0,0,True,False
C,A,20080101,2008,52,2008,528,NLD,Netherlands,M,Import,682,SAU,Saudi Arabia,0,W00,World,H3,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5955984896.0,False,-1,N/A,,False,5955984896.0,False,,False,3956039329.0,,3956039329.0,0,True,False
C,A,20080101,2008,52,2008,528,NLD,Netherlands,M,Import,760,SYR,Syria,0,W00,World,H3,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,289164000.0,False,-1,N/A,,False,289164000.0,False,,False,155150787.0,,155150787.0,0,True,False
C,A,20080101,2008,52,2008,528,NLD,Netherlands,M,Import,780,TTO,Trinidad and Tobago,0,W00,World,H3,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1346040064.0,False,-1,N/A,,False,1346040064.0,False,,False,1231245528.0,,1231245528.0,0,True,False
C,A,20080101,2008,52,2008,528,NLD,Netherlands,M,Import,784,ARE,United Arab Emirates,0,W00,World,H3,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5911000.0,False,-1,N/A,,False,5911000.0,False,,False,4088926.0,,4088926.0,0,True,False
C,A,20080101,2008,52,2008,528,NLD,Netherlands,M,Import,788,TUN,Tunisia,0,W00,World,H3,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,164021170.0,False,-1,N/A,,False,164021170.0,False,,False,133537684.0,,133537684.0,0,True,False
C,A,20080101,2008,52,2008,528,NLD,Netherlands,M,Import,826,GBR,United Kingdom,0,W00,World,H3,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5796851536.0,False,-1,N/A,,False,5796851536.0,False,,False,4095854066.0,,4095854066.0,0,True,False
