typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20080101,2008,52,2008,246,FIN,Finland,M,Import,0,W00,World,0,W00,World,H3,HS,True,2608,Zinc ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,582048961.0,False,-1,N/A,,False,582048961.0,False,,False,325930215.0,,325930215.0,0,True,False
C,A,20080101,2008,52,2008,246,FIN,Finland,M,Import,124,CAN,Canada,0,W00,World,H3,HS,True,2608,Zinc ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,68679222.0,False,-1,N/A,,False,68679222.0,False,,False,40007163.0,,40007163.0,0,True,False
C,A,20080101,2008,52,2008,246,FIN,Finland,M,Import,276,DEU,Germany,0,W00,World,H3,HS,True,2608,Zinc ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3415590.0,False,-1,N/A,,False,3415590.0,False,,False,1162012.0,,1162012.0,0,True,False
C,A,20080101,2008,52,2008,246,FIN,Finland,M,Import,372,IRL,Ireland,0,W00,World,H3,HS,True,2608,Zinc ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,225189030.0,False,-1,N/A,,False,225189030.0,False,,False,118369605.0,,118369605.0,0,True,False
C,A,20080101,2008,52,2008,246,FIN,Finland,M,Import,398,KAZ,Kazakhstan,0,W00,World,H3,HS,True,2608,Zinc ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,284.0,False,-1,N/A,,False,284.0,False,,False,3244.0,,3244.0,0,True,False
C,A,20080101,2008,52,2008,246,FIN,Finland,M,Import,528,NLD,Netherlands,0,W00,World,H3,HS,True,2608,Zinc ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1967020.0,False,-1,N/A,,False,1967020.0,False,,False,2055837.0,,2055837.0,0,True,False
C,A,20080101,2008,52,2008,246,FIN,Finland,M,Import,604,PER,Peru,0,W00,World,H3,HS,True,2608,Zinc ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,41662953.0,False,-1,N/A,,False,41662953.0,False,,False,23706021.0,,23706021.0,0,True,False
C,A,20080101,2008,52,2008,246,FIN,Finland,M,Import,620,PRT,Portugal,0,W00,World,H3,HS,True,2608,Zinc ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,19429684.0,False,-1,N/A,,False,19429684.0,False,,False,8918453.0,,8918453.0,0,True,False
C,A,20080101,2008,52,2008,246,FIN,Finland,M,Import,752,SWE,Sweden,0,W00,World,H3,HS,True,2608,Zinc ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,163450435.0,False,-1,N/A,,False,163450435.0,False,,False,89759217.0,,89759217.0,0,True,False
C,A,20080101,2008,52,2008,246,FIN,Finland,M,Import,792,TUR,Türkiye,0,W00,World,H3,HS,True,2608,Zinc ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5133546.0,False,-1,N/A,,False,5133546.0,False,,False,1509761.0,,1509761.0,0,True,False
C,A,20080101,2008,52,2008,246,FIN,Finland,M,Import,842,USA,USA,0,W00,World,H3,HS,True,2608,Zinc ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,53121197.0,False,-1,N/A,,False,53121197.0,False,,False,40438901.0,,40438901.0,0,True,False
