typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20090101,2009,52,2009,40,AUT,Austria,M,Import,0,W00,World,0,W00,World,H3,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7425055700.0,False,-1,N/A,,False,7425055700.0,False,,False,3406917299.0,,3406917299.0,0,True,False
C,A,20090101,2009,52,2009,40,AUT,Austria,M,Import,12,DZA,Algeria,0,W00,World,H3,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,157864000.0,False,-1,N/A,,False,157864000.0,False,,False,59832059.0,,59832059.0,0,True,False
C,A,20090101,2009,52,2009,40,AUT,Austria,M,Import,31,AZE,Azerbaijan,0,W00,World,H3,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,103932000.0,False,-1,N/A,,False,103932000.0,False,,False,49790723.0,,49790723.0,0,True,False
C,A,20090101,2009,52,2009,40,AUT,Austria,M,Import,203,CZE,Czechia,0,W00,World,H3,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,19813900.0,False,-1,N/A,,False,19813900.0,False,,False,8459589.0,,8459589.0,0,True,False
C,A,20090101,2009,52,2009,40,AUT,Austria,M,Import,251,FRA,France,0,W00,World,H3,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,87200.0,False,-1,N/A,,False,87200.0,False,,False,1034281.0,,1034281.0,0,True,False
C,A,20090101,2009,52,2009,40,AUT,Austria,M,Import,276,DEU,Germany,0,W00,World,H3,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2989500.0,False,-1,N/A,,False,2989500.0,False,,False,1027689.0,,1027689.0,0,True,False
C,A,20090101,2009,52,2009,40,AUT,Austria,M,Import,364,IRN,Iran,0,W00,World,H3,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,157897000.0,False,-1,N/A,,False,157897000.0,False,,False,64231748.0,,64231748.0,0,True,False
C,A,20090101,2009,52,2009,40,AUT,Austria,M,Import,368,IRQ,Iraq,0,W00,World,H3,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1224488000.0,False,-1,N/A,,False,1224488000.0,False,,False,580901831.0,,580901831.0,0,True,False
C,A,20090101,2009,52,2009,40,AUT,Austria,M,Import,398,KAZ,Kazakhstan,0,W00,World,H3,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2777835000.0,False,-1,N/A,,False,2777835000.0,False,,False,1283353662.0,,1283353662.0,0,True,False
C,A,20090101,2009,52,2009,40,AUT,Austria,M,Import,434,LBY,Libya,0,W00,World,H3,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1107027000.0,False,-1,N/A,,False,1107027000.0,False,,False,491464675.0,,491464675.0,0,True,False
