typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20100101,2010,52,2010,842,USA,USA,M,Import,0,W00,World,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,17451630000.0,False,-1,N/A,,False,17451630000.0,False,,False,1547415323.0,,1547415323.0,0,True,False
C,A,20100101,2010,52,2010,842,USA,USA,M,Import,32,ARG,Argentina,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,13000.0,False,-1,N/A,,False,13000.0,False,,False,7017.0,,7017.0,0,True,False
C,A,20100101,2010,52,2010,842,USA,USA,M,Import,36,AUS,Australia,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,345096000.0,False,-1,N/A,,False,345096000.0,False,,False,25554352.0,,25554352.0,0,True,False
C,A,20100101,2010,52,2010,842,USA,USA,M,Import,44,BHS,Bahamas,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,31573000.0,False,-1,N/A,,False,31573000.0,False,,False,3570364.0,,3570364.0,0,True,False
C,A,20100101,2010,52,2010,842,USA,USA,M,Import,100,BGR,Bulgaria,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1000.0,False,-1,N/A,,False,1000.0,False,,False,5362.0,,5362.0,0,True,False
C,A,20100101,2010,52,2010,842,USA,USA,M,Import,124,CAN,Canada,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1498432000.0,False,-1,N/A,,False,1498432000.0,False,,False,295696793.0,,295696793.0,0,True,False
C,A,20100101,2010,52,2010,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,49941000.0,False,-1,N/A,,False,49941000.0,False,,False,13946303.0,,13946303.0,0,True,False
C,A,20100101,2010,52,2010,842,USA,USA,M,Import,170,COL,Colombia,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,13230336000.0,False,-1,N/A,,False,13230336000.0,False,,False,1025522843.0,,1025522843.0,0,True,False
C,A,20100101,2010,52,2010,842,USA,USA,M,Import,360,IDN,Indonesia,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1726796000.0,False,-1,N/A,,False,1726796000.0,False,,False,131081018.0,,131081018.0,0,True,False
C,A,20100101,2010,52,2010,842,USA,USA,M,Import,380,ITA,Italy,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4000.0,False,-1,N/A,,False,4000.0,False,,False,4902.0,,4902.0,0,True,False
C,A,20100101,2010,52,2010,842,USA,USA,M,Import,392,JPN,Japan,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,111000.0,False,-1,N/A,,False,111000.0,False,,False,67097.0,,67097.0,0,True,False
C,A,20100101,2010,52,2010,842,USA,USA,M,Import,410,KOR,Rep. of Korea,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,16000.0,False,-1,N/A,,False,16000.0,False,,False,11980.0,,11980.0,0,True,False
C,A,20100101,2010,52,2010,842,USA,USA,M,Import,458,MYS,Malaysia,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,195000.0,False,-1,N/A,,False,195000.0,False,,False,47434.0,,47434.0,0,True,False
C,A,20100101,2010,52,2010,842,USA,USA,M,Import,528,NLD,Netherlands,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,411000.0,False,-1,N/A,,False,411000.0,False,,False,134593.0,,134593.0,0,True,False
C,A,20100101,2010,52,2010,842,USA,USA,M,Import,724,ESP,Spain,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7000.0,False,-1,N/A,,False,7000.0,False,,False,3406.0,,3406.0,0,True,False
C,A,20100101,2010,52,2010,842,USA,USA,M,Import,760,SYR,Syria,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5000.0,False,-1,N/A,,False,5000.0,False,,False,6190.0,,6190.0,0,True,False
C,A,20100101,2010,52,2010,842,USA,USA,M,Import,764,THA,Thailand,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,143000.0,False,-1,N/A,,False,143000.0,False,,False,72568.0,,72568.0,0,True,False
C,A,20100101,2010,52,2010,842,USA,USA,M,Import,804,UKR,Ukraine,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,37530000.0,False,-1,N/A,,False,37530000.0,False,,False,6103447.0,,6103447.0,0,True,False
C,A,20100101,2010,52,2010,842,USA,USA,M,Import,818,EGY,Egypt,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1000.0,False,-1,N/A,,False,1000.0,False,,False,3093.0,,3093.0,0,True,False
C,A,20100101,2010,52,2010,842,USA,USA,M,Import,826,GBR,United Kingdom,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3309000.0,False,-1,N/A,,False,3309000.0,False,,False,328764.0,,328764.0,0,True,False
C,A,20100101,2010,52,2010,842,USA,USA,M,Import,862,VEN,Venezuela,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,527710000.0,False,-1,N/A,,False,527710000.0,False,,False,45247797.0,,45247797.0,0,True,False
