typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20100101,2010,52,2010,276,DEU,Germany,M,Import,0,W00,World,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,1121343944.785,True,-1,N/A,0.0,False,1121343944.785,True,,False,2497656045.894,,2497656045.894,0,False,True
C,A,20100101,2010,52,2010,276,DEU,Germany,M,Import,32,ARG,Argentina,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,200786186.0,False,8,kg,200786186.0,False,200786186.0,False,,False,471278205.079,,471278205.079,0,False,True
C,A,20100101,2010,52,2010,276,DEU,Germany,M,Import,36,AUS,Australia,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,65211000.0,False,8,kg,65211000.0,False,65211000.0,False,,False,274573214.26,,274573214.26,0,False,True
C,A,20100101,2010,52,2010,276,DEU,Germany,M,Import,72,BWA,Botswana,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,1471250.0,False,8,kg,1471250.0,False,1471250.0,False,,False,2062440.461,,2062440.461,0,False,True
C,A,20100101,2010,52,2010,276,DEU,Germany,M,Import,76,BRA,Brazil,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,161753431.0,False,8,kg,161753431.0,False,161753431.0,False,,False,325855390.198,,325855390.198,0,False,True
C,A,20100101,2010,52,2010,276,DEU,Germany,M,Import,124,CAN,Canada,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,65732303.0,False,8,kg,65732303.0,False,65732303.0,False,,False,119261752.516,,119261752.516,0,False,True
C,A,20100101,2010,52,2010,276,DEU,Germany,M,Import,152,CHL,Chile,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,188236172.0,False,8,kg,188236172.0,False,188236172.0,False,,False,325200511.686,,325200511.686,0,False,True
C,A,20100101,2010,52,2010,276,DEU,Germany,M,Import,360,IDN,Indonesia,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,87993766.0,False,8,kg,87993766.0,False,87993766.0,False,,False,212806557.099,,212806557.099,0,False,True
C,A,20100101,2010,52,2010,276,DEU,Germany,M,Import,376,ISR,Israel,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,1.785,True,-1,N/A,0.0,False,1.785,True,,False,3.975,,3.975,0,False,True
C,A,20100101,2010,52,2010,276,DEU,Germany,M,Import,458,MYS,Malaysia,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,131567.0,False,8,kg,131567.0,False,131567.0,False,,False,56728.021,,56728.021,0,False,True
C,A,20100101,2010,52,2010,276,DEU,Germany,M,Import,504,MAR,Morocco,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,2990000.0,False,8,kg,2990000.0,False,2990000.0,False,,False,4560728.562,,4560728.562,0,False,True
C,A,20100101,2010,52,2010,276,DEU,Germany,M,Import,512,OMN,Oman,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,101436.0,False,8,kg,101436.0,False,101436.0,False,,False,403054.755,,403054.755,0,False,True
C,A,20100101,2010,52,2010,276,DEU,Germany,M,Import,598,PNG,Papua New Guinea,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,21800000.0,False,8,kg,21800000.0,False,21800000.0,False,,False,53058733.039,,53058733.039,0,False,True
C,A,20100101,2010,52,2010,276,DEU,Germany,M,Import,604,PER,Peru,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,284702901.0,False,8,kg,284702901.0,False,284702901.0,False,,False,639251054.212,,639251054.212,0,False,True
C,A,20100101,2010,52,2010,276,DEU,Germany,M,Import,620,PRT,Portugal,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,15330590.0,False,8,kg,15330590.0,False,15330590.0,False,,False,20892861.327,,20892861.327,0,False,True
C,A,20100101,2010,52,2010,276,DEU,Germany,M,Import,705,SVN,Slovenia,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,523.0,False,8,kg,523.0,False,523.0,False,,False,804.286,,804.286,0,False,True
C,A,20100101,2010,52,2010,276,DEU,Germany,M,Import,710,ZAF,South Africa,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,518690.0,False,8,kg,518690.0,False,518690.0,False,,False,2279229.403,,2279229.403,0,False,True
C,A,20100101,2010,52,2010,276,DEU,Germany,M,Import,764,THA,Thailand,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,2348480.0,False,8,kg,2348480.0,False,2348480.0,False,,False,4451324.427,,4451324.427,0,False,True
C,A,20100101,2010,52,2010,276,DEU,Germany,M,Import,784,ARE,United Arab Emirates,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,21472.0,False,8,kg,21472.0,False,21472.0,False,,False,14575.204,,14575.204,0,False,True
C,A,20100101,2010,52,2010,276,DEU,Germany,M,Import,792,TUR,Türkiye,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,19532490.0,False,8,kg,19532490.0,False,19532490.0,False,,False,22544425.448,,22544425.448,0,False,True
C,A,20100101,2010,52,2010,276,DEU,Germany,M,Import,834,TZA,United Rep. of Tanzania,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,2614920.0,False,8,kg,2614920.0,False,2614920.0,False,,False,18997533.535,,18997533.535,0,False,True
C,A,20100101,2010,52,2010,276,DEU,Germany,M,Import,842,USA,USA,0,W00,World,H3,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,66766.0,False,8,kg,66766.0,False,66766.0,False,,False,106918.4,,106918.4,0,False,True
