typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20100101,2010,52,2010,484,MEX,Mexico,M,Import,0,W00,World,0,W00,World,H3,HS,True,2608,Zinc ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,6161525.0,True,-1,N/A,,False,6161525.0,True,,False,7494504.0,,7494504.0,6,True,False
C,A,20100101,2010,52,2010,484,MEX,Mexico,M,Import,32,ARG,Argentina,0,W00,World,H3,HS,True,2608,Zinc ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1.0,False,-1,N/A,,False,1.0,False,,False,1.0,,1.0,0,True,False
C,A,20100101,2010,52,2010,484,MEX,Mexico,M,Import,36,AUS,Australia,0,W00,World,H3,HS,True,2608,Zinc ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,130.0,True,-1,N/A,,False,130.0,True,,False,158.0,,158.0,6,True,False
C,A,20100101,2010,52,2010,484,MEX,Mexico,M,Import,40,AUT,Austria,0,W00,World,H3,HS,True,2608,Zinc ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,63300.0,False,-1,N/A,,False,63300.0,False,,False,421301.0,,421301.0,0,True,False
C,A,20100101,2010,52,2010,484,MEX,Mexico,M,Import,124,CAN,Canada,0,W00,World,H3,HS,True,2608,Zinc ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,51.0,False,-1,N/A,,False,51.0,False,,False,4217.0,,4217.0,0,True,False
C,A,20100101,2010,52,2010,484,MEX,Mexico,M,Import,152,CHL,Chile,0,W00,World,H3,HS,True,2608,Zinc ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,77502.0,False,-1,N/A,,False,77502.0,False,,False,47295.0,,47295.0,0,True,False
C,A,20100101,2010,52,2010,484,MEX,Mexico,M,Import,156,CHN,China,0,W00,World,H3,HS,True,2608,Zinc ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5.0,False,-1,N/A,,False,5.0,False,,False,110.0,,110.0,0,True,False
C,A,20100101,2010,52,2010,484,MEX,Mexico,M,Import,251,FRA,France,0,W00,World,H3,HS,True,2608,Zinc ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,15.0,False,-1,N/A,,False,15.0,False,,False,1146.0,,1146.0,0,True,False
C,A,20100101,2010,52,2010,484,MEX,Mexico,M,Import,276,DEU,Germany,0,W00,World,H3,HS,True,2608,Zinc ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,38640.0,False,-1,N/A,,False,38640.0,False,,False,197197.0,,197197.0,0,True,False
C,A,20100101,2010,52,2010,484,MEX,Mexico,M,Import,320,GTM,Guatemala,0,W00,World,H3,HS,True,2608,Zinc ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7500.0,False,-1,N/A,,False,7500.0,False,,False,1125.0,,1125.0,0,True,False
C,A,20100101,2010,52,2010,484,MEX,Mexico,M,Import,344,HKG,"China, Hong Kong SAR",0,W00,World,H3,HS,True,2608,Zinc ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7.0,False,-1,N/A,,False,7.0,False,,False,4.0,,4.0,0,True,False
C,A,20100101,2010,52,2010,484,MEX,Mexico,M,Import,392,JPN,Japan,0,W00,World,H3,HS,True,2608,Zinc ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,8.0,False,-1,N/A,,False,8.0,False,,False,8.0,,8.0,0,True,False
C,A,20100101,2010,52,2010,484,MEX,Mexico,M,Import,410,KOR,Rep. of Korea,0,W00,World,H3,HS,True,2608,Zinc ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,12.0,False,-1,N/A,,False,12.0,False,,False,7.0,,7.0,0,True,False
C,A,20100101,2010,52,2010,484,MEX,Mexico,M,Import,458,MYS,Malaysia,0,W00,World,H3,HS,True,2608,Zinc ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5.0,False,-1,N/A,,False,5.0,False,,False,1.0,,1.0,0,True,False
C,A,20100101,2010,52,2010,484,MEX,Mexico,M,Import,528,NLD,Netherlands,0,W00,World,H3,HS,True,2608,Zinc ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,16.0,True,-1,N/A,,False,16.0,True,,False,20.0,,20.0,6,True,False
C,A,20100101,2010,52,2010,484,MEX,Mexico,M,Import,604,PER,Peru,0,W00,World,H3,HS,True,2608,Zinc ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2.0,False,-1,N/A,,False,2.0,False,,False,1.0,,1.0,0,True,False
C,A,20100101,2010,52,2010,484,MEX,Mexico,M,Import,699,IND,India,0,W00,World,H3,HS,True,2608,Zinc ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2.0,True,-1,N/A,,False,2.0,True,,False,3.0,,3.0,6,True,False
C,A,20100101,2010,52,2010,484,MEX,Mexico,M,Import,792,TUR,Türkiye,0,W00,World,H3,HS,True,2608,Zinc ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5971824.0,False,-1,N/A,,False,5971824.0,False,,False,6820270.0,,6820270.0,0,True,False
C,A,20100101,2010,52,2010,484,MEX,Mexico,M,Import,826,GBR,United Kingdom,0,W00,World,H3,HS,True,2608,Zinc ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,32.0,False,-1,N/A,,False,32.0,False,,False,1157.0,,1157.0,0,True,False
C,A,20100101,2010,52,2010,484,MEX,Mexico,M,Import,842,USA,USA,0,W00,World,H3,HS,True,2608,Zinc ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2468.0,False,-1,N/A,,False,2468.0,False,,False,478.0,,478.0,0,True,False
C,A,20100101,2010,52,2010,484,MEX,Mexico,M,Import,899,_X ,"Areas, nes",0,W00,World,H3,HS,True,2608,Zinc ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4.0,True,-1,N/A,,False,4.0,True,,False,5.0,,5.0,6,True,False
