typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20110101,2011,52,2011,862,VEN,Venezuela,M,Import,842,USA,USA,0,W00,World,H2,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1107697.0,False,-1,N/A,,False,1107697.0,False,,False,422855.0,,422855.0,0,True,False
C,A,20110101,2011,52,2011,862,VEN,Venezuela,M,Import,699,IND,India,0,W00,World,H2,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,19525177.0,False,-1,N/A,,False,19525177.0,False,,False,4293682.0,,4293682.0,0,True,False
C,A,20110101,2011,52,2011,862,VEN,Venezuela,M,Import,604,PER,Peru,0,W00,World,H2,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,27603.0,False,-1,N/A,,False,27603.0,False,,False,12633.0,,12633.0,0,True,False
C,A,20110101,2011,52,2011,862,VEN,Venezuela,M,Import,591,PAN,Panama,0,W00,World,H2,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,13438969.0,False,-1,N/A,,False,13438969.0,False,,False,4628768.0,,4628768.0,0,True,False
C,A,20110101,2011,52,2011,862,VEN,Venezuela,M,Import,531,CUW,Curaçao,0,W00,World,H2,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,81162.0,False,-1,N/A,,False,81162.0,False,,False,32370.0,,32370.0,0,True,False
C,A,20110101,2011,52,2011,862,VEN,Venezuela,M,Import,528,NLD,Netherlands,0,W00,World,H2,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,165843.0,False,-1,N/A,,False,165843.0,False,,False,94365.0,,94365.0,0,True,False
C,A,20110101,2011,52,2011,862,VEN,Venezuela,M,Import,504,MAR,Morocco,0,W00,World,H2,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,39504000.0,False,-1,N/A,,False,39504000.0,False,,False,5904401.0,,5904401.0,0,True,False
C,A,20110101,2011,52,2011,862,VEN,Venezuela,M,Import,484,MEX,Mexico,0,W00,World,H2,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,500000.0,False,-1,N/A,,False,500000.0,False,,False,173400.0,,173400.0,0,True,False
C,A,20110101,2011,52,2011,862,VEN,Venezuela,M,Import,156,CHN,China,0,W00,World,H2,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5993860.0,False,-1,N/A,,False,5993860.0,False,,False,1671728.0,,1671728.0,0,True,False
C,A,20110101,2011,52,2011,862,VEN,Venezuela,M,Import,68,BOL,Bolivia (Plurinational State of),0,W00,World,H2,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4492265.0,False,-1,N/A,,False,4492265.0,False,,False,1065203.0,,1065203.0,0,True,False
C,A,20110101,2011,52,2011,862,VEN,Venezuela,M,Import,0,W00,World,0,W00,World,H2,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,84836576.0,False,-1,N/A,,False,84836576.0,False,,False,18299405.0,,18299405.0,0,True,False
