typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20110101,2011,52,2011,792,TUR,Türkiye,M,Import,862,VEN,Venezuela,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,46053080.0,False,-1,N/A,,False,46053080.0,False,,False,7536515.0,,7536515.0,0,True,False
C,A,20110101,2011,52,2011,792,TUR,Türkiye,M,Import,842,USA,USA,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2644167086.0,False,-1,N/A,,False,2644167086.0,False,,False,563070184.0,,563070184.0,0,True,False
C,A,20110101,2011,52,2011,792,TUR,Türkiye,M,Import,826,GBR,United Kingdom,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,27200.0,False,-1,N/A,,False,27200.0,False,,False,18842.0,,18842.0,0,True,False
C,A,20110101,2011,52,2011,792,TUR,Türkiye,M,Import,804,UKR,Ukraine,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1021284789.0,False,-1,N/A,,False,1021284789.0,False,,False,147449871.0,,147449871.0,0,True,False
C,A,20110101,2011,52,2011,792,TUR,Türkiye,M,Import,643,RUS,Russian Federation,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1033657122.0,False,-1,N/A,,False,1033657122.0,False,,False,29662016.0,,29662016.0,0,True,False
C,A,20110101,2011,52,2011,792,TUR,Türkiye,M,Import,360,IDN,Indonesia,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,161153749.0,False,-1,N/A,,False,161153749.0,False,,False,44744410.0,,44744410.0,0,True,False
C,A,20110101,2011,52,2011,792,TUR,Türkiye,M,Import,276,DEU,Germany,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,212634.0,False,-1,N/A,,False,212634.0,False,,False,127492.0,,127492.0,0,True,False
C,A,20110101,2011,52,2011,792,TUR,Türkiye,M,Import,170,COL,Colombia,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,543211496.0,False,-1,N/A,,False,543211496.0,False,,False,13144761.0,,13144761.0,0,True,False
C,A,20110101,2011,52,2011,792,TUR,Türkiye,M,Import,156,CHN,China,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,54.0,False,-1,N/A,,False,54.0,False,,False,603.0,,603.0,0,True,False
C,A,20110101,2011,52,2011,792,TUR,Türkiye,M,Import,124,CAN,Canada,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,684363870.0,False,-1,N/A,,False,684363870.0,False,,False,198926506.0,,198926506.0,0,True,False
C,A,20110101,2011,52,2011,792,TUR,Türkiye,M,Import,36,AUS,Australia,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1066065672.0,False,-1,N/A,,False,1066065672.0,False,,False,270049661.0,,270049661.0,0,True,False
C,A,20110101,2011,52,2011,792,TUR,Türkiye,M,Import,0,W00,World,0,W00,World,H3,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7200196752.0,False,-1,N/A,,False,7200196752.0,False,,False,1274730861.0,,1274730861.0,0,True,False
