typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20120101,2012,52,2012,372,IRL,Ireland,M,Import,764,THA,Thailand,0,W00,World,H4,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,9.0,False,8,kg,9.0,False,9.0,False,,False,227.546,,227.546,0,False,True
C,A,20120101,2012,52,2012,372,IRL,Ireland,M,Import,784,ARE,United Arab Emirates,0,W00,World,H4,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,3052.0,False,8,kg,3052.0,False,3052.0,False,,False,2740.835,,2740.835,0,False,True
C,A,20120101,2012,52,2012,372,IRL,Ireland,M,Import,826,GBR,United Kingdom,0,W00,World,H4,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,110256870.0,False,8,kg,110256870.0,False,110256870.0,False,,False,22949158.734,,22949158.734,0,False,True
C,A,20120101,2012,52,2012,372,IRL,Ireland,M,Import,839,XX ,Special Categories,0,W00,World,H4,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,798766000.0,False,8,kg,798766000.0,False,798766000.0,False,,False,70127754.796,,70127754.796,0,False,True
C,A,20120101,2012,52,2012,372,IRL,Ireland,M,Import,842,USA,USA,0,W00,World,H4,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,895045000.0,False,8,kg,895045000.0,False,895045000.0,False,,False,97287187.419,,97287187.419,0,False,True
C,A,20120101,2012,52,2012,372,IRL,Ireland,M,Import,899,_X ,"Areas, nes",0,W00,World,H4,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,75053800.0,False,8,kg,75053800.0,False,75053800.0,False,,False,15572477.083,,15572477.083,0,False,True
C,A,20120101,2012,52,2012,372,IRL,Ireland,M,Import,710,ZAF,South Africa,0,W00,World,H4,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,43793813.0,False,8,kg,43793813.0,False,43793813.0,False,,False,6487694.569,,6487694.569,0,False,True
C,A,20120101,2012,52,2012,372,IRL,Ireland,M,Import,643,RUS,Russian Federation,0,W00,World,H4,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,6932720.0,False,8,kg,6932720.0,False,6932720.0,False,,False,1459565.472,,1459565.472,0,False,True
C,A,20120101,2012,52,2012,372,IRL,Ireland,M,Import,620,PRT,Portugal,0,W00,World,H4,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,7523.0,False,8,kg,7523.0,False,7523.0,False,,False,29014.029,,29014.029,0,False,True
C,A,20120101,2012,52,2012,372,IRL,Ireland,M,Import,616,POL,Poland,0,W00,World,H4,HS,True,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,123710020.0,False,8,kg,123710020.0,False,123710020.0,False,,False,27451361.144,,27451361.144,0,False,True
