typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20120101,2012,52,2012,233,EST,Estonia,M,Import,0,W00,World,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,339323.0,False,-1,N/A,,False,72942.0,False,,False,8048044.0,,8048044.0,0,True,False
C,A,20120101,2012,52,2012,233,EST,Estonia,M,Import,4,AFG,Afghanistan,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,60.0,False,-1,N/A,,False,150.0,False,,False,129.0,,129.0,0,True,False
C,A,20120101,2012,52,2012,233,EST,Estonia,M,Import,56,BEL,Belgium,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,4.0,False,-1,N/A,,False,,False,,False,18.0,,18.0,0,True,False
C,A,20120101,2012,52,2012,233,EST,Estonia,M,Import,156,CHN,China,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,140559.0,False,-1,N/A,,False,15876.0,False,,False,1516941.0,,1516941.0,0,True,False
C,A,20120101,2012,52,2012,233,EST,Estonia,M,Import,203,CZE,Czechia,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,166.0,False,-1,N/A,,False,40.0,False,,False,4845.0,,4845.0,0,True,False
C,A,20120101,2012,52,2012,233,EST,Estonia,M,Import,208,DNK,Denmark,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,47.0,False,-1,N/A,,False,16.0,False,,False,2554.0,,2554.0,0,True,False
C,A,20120101,2012,52,2012,233,EST,Estonia,M,Import,246,FIN,Finland,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,2648.0,False,-1,N/A,,False,7769.0,False,,False,163997.0,,163997.0,0,True,False
C,A,20120101,2012,52,2012,233,EST,Estonia,M,Import,251,FRA,France,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,60006.0,False,-1,N/A,,False,3382.0,False,,False,889018.0,,889018.0,0,True,False
C,A,20120101,2012,52,2012,233,EST,Estonia,M,Import,276,DEU,Germany,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,12669.0,False,-1,N/A,,False,1588.0,False,,False,834300.0,,834300.0,0,True,False
C,A,20120101,2012,52,2012,233,EST,Estonia,M,Import,344,HKG,"China, Hong Kong SAR",0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,2886.0,False,-1,N/A,,False,1653.0,False,,False,60946.0,,60946.0,0,True,False
C,A,20120101,2012,52,2012,233,EST,Estonia,M,Import,348,HUN,Hungary,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,3.0,False,-1,N/A,,False,1.0,False,,False,135.0,,135.0,0,True,False
C,A,20120101,2012,52,2012,233,EST,Estonia,M,Import,360,IDN,Indonesia,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,330.0,False,-1,N/A,,False,56.0,False,,False,11648.0,,11648.0,0,True,False
C,A,20120101,2012,52,2012,233,EST,Estonia,M,Import,372,IRL,Ireland,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,31.0,False,-1,N/A,,False,7.0,False,,False,2355.0,,2355.0,0,True,False
C,A,20120101,2012,52,2012,233,EST,Estonia,M,Import,376,ISR,Israel,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,130.0,False,-1,N/A,,False,10.0,False,,False,2389.0,,2389.0,0,True,False
C,A,20120101,2012,52,2012,233,EST,Estonia,M,Import,380,ITA,Italy,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,2.0,False,-1,N/A,,False,,False,,False,21.0,,21.0,0,True,False
C,A,20120101,2012,52,2012,233,EST,Estonia,M,Import,392,JPN,Japan,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,97940.0,False,-1,N/A,,False,37951.0,False,,False,3664420.0,,3664420.0,0,True,False
C,A,20120101,2012,52,2012,233,EST,Estonia,M,Import,410,KOR,Rep. of Korea,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,35.0,False,-1,N/A,,False,16.0,False,,False,3641.0,,3641.0,0,True,False
C,A,20120101,2012,52,2012,233,EST,Estonia,M,Import,428,LVA,Latvia,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,478.0,False,-1,N/A,,False,102.0,False,,False,6982.0,,6982.0,0,True,False
C,A,20120101,2012,52,2012,233,EST,Estonia,M,Import,440,LTU,Lithuania,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,83.0,False,-1,N/A,,False,41.0,False,,False,6602.0,,6602.0,0,True,False
C,A,20120101,2012,52,2012,233,EST,Estonia,M,Import,458,MYS,Malaysia,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,773.0,False,-1,N/A,,False,245.0,False,,False,35543.0,,35543.0,0,True,False
C,A,20120101,2012,52,2012,233,EST,Estonia,M,Import,490,S19,"Other Asia, nes",0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,205.0,False,-1,N/A,,False,78.0,False,,False,6296.0,,6296.0,0,True,False
C,A,20120101,2012,52,2012,233,EST,Estonia,M,Import,504,MAR,Morocco,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,54.0,False,-1,N/A,,False,21.0,False,,False,2367.0,,2367.0,0,True,False
C,A,20120101,2012,52,2012,233,EST,Estonia,M,Import,528,NLD,Netherlands,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,1493.0,False,-1,N/A,,False,304.0,False,,False,24030.0,,24030.0,0,True,False
C,A,20120101,2012,52,2012,233,EST,Estonia,M,Import,568,E19,"Other Europe, nes",0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,5541.0,False,-1,N/A,,False,1122.0,False,,False,531786.0,,531786.0,0,True,False
C,A,20120101,2012,52,2012,233,EST,Estonia,M,Import,579,NOR,Norway,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,6018.0,False,-1,N/A,,False,351.0,False,,False,23482.0,,23482.0,0,True,False
C,A,20120101,2012,52,2012,233,EST,Estonia,M,Import,616,POL,Poland,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,1010.0,False,-1,N/A,,False,816.0,False,,False,71433.0,,71433.0,0,True,False
C,A,20120101,2012,52,2012,233,EST,Estonia,M,Import,702,SGP,Singapore,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,82.0,False,-1,N/A,,False,7.0,False,,False,905.0,,905.0,0,True,False
C,A,20120101,2012,52,2012,233,EST,Estonia,M,Import,704,VNM,Viet Nam,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,98.0,False,-1,N/A,,False,4.0,False,,False,927.0,,927.0,0,True,False
C,A,20120101,2012,52,2012,233,EST,Estonia,M,Import,724,ESP,Spain,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,25.0,False,-1,N/A,,False,12.0,False,,False,3771.0,,3771.0,0,True,False
C,A,20120101,2012,52,2012,233,EST,Estonia,M,Import,752,SWE,Sweden,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,2348.0,False,-1,N/A,,False,70.0,False,,False,19090.0,,19090.0,0,True,False
C,A,20120101,2012,52,2012,233,EST,Estonia,M,Import,757,CHE,Switzerland,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,4.0,False,-1,N/A,,False,2.0,False,,False,182.0,,182.0,0,True,False
C,A,20120101,2012,52,2012,233,EST,Estonia,M,Import,764,THA,Thailand,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,2.0,False,-1,N/A,,False,,False,,False,120.0,,120.0,0,True,False
C,A,20120101,2012,52,2012,233,EST,Estonia,M,Import,826,GBR,United Kingdom,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,1440.0,False,-1,N/A,,False,685.0,False,,False,60333.0,,60333.0,0,True,False
C,A,20120101,2012,52,2012,233,EST,Estonia,M,Import,842,USA,USA,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,2153.0,False,-1,N/A,,False,570.0,False,,False,96837.0,,96837.0,0,True,False
