typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20130101,2013,52,2013,558,NIC,Nicaragua,M,Import,0,W00,World,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,6249.0,True,-1,N/A,,False,5634.0,False,,False,184749.0,,184749.0,2,True,False
C,A,20130101,2013,52,2013,558,NIC,Nicaragua,M,Import,76,BRA,Brazil,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,15.0,True,-1,N/A,,False,15.0,False,,False,438.0,,438.0,2,True,False
C,A,20130101,2013,52,2013,558,NIC,Nicaragua,M,Import,156,CHN,China,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,2673.0,True,-1,N/A,,False,3786.0,False,,False,79025.0,,79025.0,2,True,False
C,A,20130101,2013,52,2013,558,NIC,Nicaragua,M,Import,251,FRA,France,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,7.0,True,-1,N/A,,False,4.0,False,,False,198.0,,198.0,2,True,False
C,A,20130101,2013,52,2013,558,NIC,Nicaragua,M,Import,360,IDN,Indonesia,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,924.0,True,-1,N/A,,False,395.0,False,,False,27325.0,,27325.0,2,True,False
C,A,20130101,2013,52,2013,558,NIC,Nicaragua,M,Import,376,ISR,Israel,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,4.0,True,-1,N/A,,False,,False,,False,111.0,,111.0,2,True,False
C,A,20130101,2013,52,2013,558,NIC,Nicaragua,M,Import,392,JPN,Japan,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,622.0,True,-1,N/A,,False,223.0,False,,False,18387.0,,18387.0,2,True,False
C,A,20130101,2013,52,2013,558,NIC,Nicaragua,M,Import,408,PRK,Dem. People's Rep. of Korea,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,12.0,True,-1,N/A,,False,3.0,False,,False,341.0,,341.0,2,True,False
C,A,20130101,2013,52,2013,558,NIC,Nicaragua,M,Import,410,KOR,Rep. of Korea,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,520.0,True,-1,N/A,,False,136.0,False,,False,15380.0,,15380.0,2,True,False
C,A,20130101,2013,52,2013,558,NIC,Nicaragua,M,Import,458,MYS,Malaysia,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,33.0,True,-1,N/A,,False,8.0,False,,False,972.0,,972.0,2,True,False
C,A,20130101,2013,52,2013,558,NIC,Nicaragua,M,Import,490,S19,"Other Asia, nes",0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,82.0,True,-1,N/A,,False,7.0,False,,False,2424.0,,2424.0,2,True,False
C,A,20130101,2013,52,2013,558,NIC,Nicaragua,M,Import,516,NAM,Namibia,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,2.0,True,-1,N/A,,False,1.0,False,,False,71.0,,71.0,2,True,False
C,A,20130101,2013,52,2013,558,NIC,Nicaragua,M,Import,608,PHL,Philippines,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,54.0,True,-1,N/A,,False,7.0,False,,False,1611.0,,1611.0,2,True,False
C,A,20130101,2013,52,2013,558,NIC,Nicaragua,M,Import,699,IND,India,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,160.0,True,-1,N/A,,False,55.0,False,,False,4738.0,,4738.0,2,True,False
C,A,20130101,2013,52,2013,558,NIC,Nicaragua,M,Import,703,SVK,Slovakia,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,11.0,True,-1,N/A,,False,2.0,False,,False,340.0,,340.0,2,True,False
C,A,20130101,2013,52,2013,558,NIC,Nicaragua,M,Import,704,VNM,Viet Nam,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,7.0,True,-1,N/A,,False,1.0,False,,False,198.0,,198.0,2,True,False
C,A,20130101,2013,52,2013,558,NIC,Nicaragua,M,Import,724,ESP,Spain,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,8.0,True,-1,N/A,,False,1.0,False,,False,233.0,,233.0,2,True,False
C,A,20130101,2013,52,2013,558,NIC,Nicaragua,M,Import,752,SWE,Sweden,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,28.0,True,-1,N/A,,False,33.0,False,,False,827.0,,827.0,2,True,False
C,A,20130101,2013,52,2013,558,NIC,Nicaragua,M,Import,757,CHE,Switzerland,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,4.0,True,-1,N/A,,False,,False,,False,123.0,,123.0,2,True,False
C,A,20130101,2013,52,2013,558,NIC,Nicaragua,M,Import,764,THA,Thailand,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,342.0,True,-1,N/A,,False,332.0,False,,False,10119.0,,10119.0,2,True,False
C,A,20130101,2013,52,2013,558,NIC,Nicaragua,M,Import,826,GBR,United Kingdom,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,23.0,True,-1,N/A,,False,3.0,False,,False,689.0,,689.0,2,True,False
C,A,20130101,2013,52,2013,558,NIC,Nicaragua,M,Import,842,USA,USA,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,717.0,True,-1,N/A,,False,623.0,False,,False,21200.0,,21200.0,2,True,False
