typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20130101,2013,52,2013,842,USA,USA,M,Import,0,W00,World,0,W00,World,H4,HS,True,2602,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,558098882.0,False,-1,N/A,,False,558098882.0,False,,False,138114299.0,,138114299.0,0,True,False
C,A,20130101,2013,52,2013,842,USA,USA,M,Import,32,ARG,Argentina,0,W00,World,H4,HS,True,2602,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,200.0,False,-1,N/A,,False,200.0,False,,False,121125.0,,121125.0,0,True,False
C,A,20130101,2013,52,2013,842,USA,USA,M,Import,36,AUS,Australia,0,W00,World,H4,HS,True,2602,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,60763000.0,False,-1,N/A,,False,60763000.0,False,,False,17629611.0,,17629611.0,0,True,False
C,A,20130101,2013,52,2013,842,USA,USA,M,Import,56,BEL,Belgium,0,W00,World,H4,HS,True,2602,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1389424.0,False,-1,N/A,,False,1389424.0,False,,False,101098.0,,101098.0,0,True,False
C,A,20130101,2013,52,2013,842,USA,USA,M,Import,76,BRA,Brazil,0,W00,World,H4,HS,True,2602,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7483468.0,False,-1,N/A,,False,7483468.0,False,,False,3366276.0,,3366276.0,0,True,False
C,A,20130101,2013,52,2013,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H4,HS,True,2602,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,47370.0,False,-1,N/A,,False,47370.0,False,,False,44466.0,,44466.0,0,True,False
C,A,20130101,2013,52,2013,842,USA,USA,M,Import,251,FRA,France,0,W00,World,H4,HS,True,2602,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,10024880.0,False,-1,N/A,,False,10024880.0,False,,False,2848697.0,,2848697.0,0,True,False
C,A,20130101,2013,52,2013,842,USA,USA,M,Import,266,GAB,Gabon,0,W00,World,H4,HS,True,2602,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,383604099.0,False,-1,N/A,,False,383604099.0,False,,False,100685699.0,,100685699.0,0,True,False
C,A,20130101,2013,52,2013,842,USA,USA,M,Import,268,GEO,Georgia,0,W00,World,H4,HS,True,2602,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,62848.0,False,-1,N/A,,False,62848.0,False,,False,302983.0,,302983.0,0,True,False
C,A,20130101,2013,52,2013,842,USA,USA,M,Import,288,GHA,Ghana,0,W00,World,H4,HS,True,2602,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,39755000.0,False,-1,N/A,,False,39755000.0,False,,False,4422441.0,,4422441.0,0,True,False
C,A,20130101,2013,52,2013,842,USA,USA,M,Import,410,KOR,Rep. of Korea,0,W00,World,H4,HS,True,2602,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,100000.0,False,-1,N/A,,False,100000.0,False,,False,77168.0,,77168.0,0,True,False
C,A,20130101,2013,52,2013,842,USA,USA,M,Import,484,MEX,Mexico,0,W00,World,H4,HS,True,2602,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,12849193.0,False,-1,N/A,,False,12849193.0,False,,False,2862615.0,,2862615.0,0,True,False
C,A,20130101,2013,52,2013,842,USA,USA,M,Import,504,MAR,Morocco,0,W00,World,H4,HS,True,2602,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7602400.0,False,-1,N/A,,False,7602400.0,False,,False,489546.0,,489546.0,0,True,False
C,A,20130101,2013,52,2013,842,USA,USA,M,Import,710,ZAF,South Africa,0,W00,World,H4,HS,True,2602,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,34417000.0,False,-1,N/A,,False,34417000.0,False,,False,5162574.0,,5162574.0,0,True,False
