typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20130101,2013,52,2013,56,BEL,Belgium,M,Import,0,W00,World,0,W00,World,H4,HS,True,2613,Molybdenum ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,35345674.55,False,8,kg,35345674.55,False,35345674.55,False,0.0,False,364007857.424,0.0,364007857.424,0,False,True
C,A,20130101,2013,52,2013,56,BEL,Belgium,M,Import,40,AUT,Austria,0,W00,World,H4,HS,True,2613,Molybdenum ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,91464.4,False,8,kg,91464.4,False,91464.4,False,0.0,False,1222889.032,0.0,1222889.032,0,False,True
C,A,20130101,2013,52,2013,56,BEL,Belgium,M,Import,51,ARM,Armenia,0,W00,World,H4,HS,True,2613,Molybdenum ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,61778.3,False,8,kg,61778.3,False,61778.3,False,0.0,False,515309.752,0.0,515309.752,0,False,True
C,A,20130101,2013,52,2013,56,BEL,Belgium,M,Import,152,CHL,Chile,0,W00,World,H4,HS,True,2613,Molybdenum ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,620000.0,False,8,kg,620000.0,False,620000.0,False,0.0,False,12322206.567,0.0,12322206.567,0,False,True
C,A,20130101,2013,52,2013,56,BEL,Belgium,M,Import,251,FRA,France,0,W00,World,H4,HS,True,2613,Molybdenum ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1090.56,False,8,kg,1090.56,False,1090.56,False,0.0,False,54442.169,0.0,54442.169,0,False,True
C,A,20130101,2013,52,2013,56,BEL,Belgium,M,Import,268,GEO,Georgia,0,W00,World,H4,HS,True,2613,Molybdenum ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7564.69,False,8,kg,7564.69,False,7564.69,False,0.0,False,71057.125,0.0,71057.125,0,False,True
C,A,20130101,2013,52,2013,56,BEL,Belgium,M,Import,276,DEU,Germany,0,W00,World,H4,HS,True,2613,Molybdenum ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,31465.8,False,8,kg,31465.8,False,31465.8,False,0.0,False,465317.01,0.0,465317.01,0,False,True
C,A,20130101,2013,52,2013,56,BEL,Belgium,M,Import,484,MEX,Mexico,0,W00,World,H4,HS,True,2613,Molybdenum ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3.0,False,8,kg,3.0,False,3.0,False,0.0,False,132.789,0.0,132.789,0,False,True
C,A,20130101,2013,52,2013,56,BEL,Belgium,M,Import,528,NLD,Netherlands,0,W00,World,H4,HS,True,2613,Molybdenum ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,27243700.0,False,8,kg,27243700.0,False,27243700.0,False,0.0,False,314138708.261,0.0,314138708.261,0,False,True
C,A,20130101,2013,52,2013,56,BEL,Belgium,M,Import,826,GBR,United Kingdom,0,W00,World,H4,HS,True,2613,Molybdenum ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,11277.8,False,8,kg,11277.8,False,11277.8,False,0.0,False,174554.082,0.0,174554.082,0,False,True
C,A,20130101,2013,52,2013,56,BEL,Belgium,M,Import,842,USA,USA,0,W00,World,H4,HS,True,2613,Molybdenum ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7277330.0,False,8,kg,7277330.0,False,7277330.0,False,0.0,False,35043240.636,0.0,35043240.636,0,False,True
