typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20130101,2013,52,2013,643,RUS,Russian Federation,M,Import,0,W00,World,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1117690.0,False,-1,N/A,,False,1117690.0,False,,False,10842564.0,,10842564.0,0,True,False
C,A,20130101,2013,52,2013,643,RUS,Russian Federation,M,Import,40,AUT,Austria,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,851.0,False,-1,N/A,,False,851.0,False,,False,81652.0,,81652.0,0,True,False
C,A,20130101,2013,52,2013,643,RUS,Russian Federation,M,Import,56,BEL,Belgium,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1.0,False,-1,N/A,,False,1.0,False,,False,187.0,,187.0,0,True,False
C,A,20130101,2013,52,2013,643,RUS,Russian Federation,M,Import,112,BLR,Belarus,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3565.0,False,-1,N/A,,False,3565.0,False,,False,30846.0,,30846.0,0,True,False
C,A,20130101,2013,52,2013,643,RUS,Russian Federation,M,Import,156,CHN,China,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,284902.0,False,-1,N/A,,False,284902.0,False,,False,5969095.0,,5969095.0,0,True,False
C,A,20130101,2013,52,2013,643,RUS,Russian Federation,M,Import,233,EST,Estonia,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,114266.0,False,-1,N/A,,False,114266.0,False,,False,1312323.0,,1312323.0,0,True,False
C,A,20130101,2013,52,2013,643,RUS,Russian Federation,M,Import,251,FRA,France,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,10673.0,False,-1,N/A,,False,10673.0,False,,False,364321.0,,364321.0,0,True,False
C,A,20130101,2013,52,2013,643,RUS,Russian Federation,M,Import,276,DEU,Germany,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,120.0,False,-1,N/A,,False,120.0,False,,False,28913.0,,28913.0,0,True,False
C,A,20130101,2013,52,2013,643,RUS,Russian Federation,M,Import,344,HKG,"China, Hong Kong SAR",0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,650.0,False,-1,N/A,,False,650.0,False,,False,21723.0,,21723.0,0,True,False
C,A,20130101,2013,52,2013,643,RUS,Russian Federation,M,Import,380,ITA,Italy,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1414.0,False,-1,N/A,,False,1414.0,False,,False,66863.0,,66863.0,0,True,False
