typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20140101,2014,52,2014,40,AUT,Austria,M,Import,0,W00,World,0,W00,World,H4,HS,True,2606,Aluminium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,18742097.0,True,-1,N/A,,False,18742097.0,True,,False,9791884.0,,9791884.0,6,True,False
C,A,20140101,2014,52,2014,40,AUT,Austria,M,Import,36,AUS,Australia,0,W00,World,H4,HS,True,2606,Aluminium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,257200.0,False,-1,N/A,,False,257200.0,False,,False,56601.0,,56601.0,0,True,False
C,A,20140101,2014,52,2014,40,AUT,Austria,M,Import,76,BRA,Brazil,0,W00,World,H4,HS,True,2606,Aluminium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,397.0,True,-1,N/A,,False,397.0,True,,False,207.0,,207.0,6,True,False
C,A,20140101,2014,52,2014,40,AUT,Austria,M,Import,156,CHN,China,0,W00,World,H4,HS,True,2606,Aluminium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,382200.0,False,-1,N/A,,False,382200.0,False,,False,192333.0,,192333.0,0,True,False
C,A,20140101,2014,52,2014,40,AUT,Austria,M,Import,276,DEU,Germany,0,W00,World,H4,HS,True,2606,Aluminium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,13294500.0,False,-1,N/A,,False,13294500.0,False,,False,6210850.0,,6210850.0,0,True,False
C,A,20140101,2014,52,2014,40,AUT,Austria,M,Import,328,GUY,Guyana,0,W00,World,H4,HS,True,2606,Aluminium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1907100.0,False,-1,N/A,,False,1907100.0,False,,False,694951.0,,694951.0,0,True,False
C,A,20140101,2014,52,2014,40,AUT,Austria,M,Import,442,LUX,Luxembourg,0,W00,World,H4,HS,True,2606,Aluminium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,882300.0,False,-1,N/A,,False,882300.0,False,,False,2024844.0,,2024844.0,0,True,False
C,A,20140101,2014,52,2014,40,AUT,Austria,M,Import,528,NLD,Netherlands,0,W00,World,H4,HS,True,2606,Aluminium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,38100.0,False,-1,N/A,,False,38100.0,False,,False,64147.0,,64147.0,0,True,False
C,A,20140101,2014,52,2014,40,AUT,Austria,M,Import,699,IND,India,0,W00,World,H4,HS,True,2606,Aluminium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1671100.0,False,-1,N/A,,False,1671100.0,False,,False,430911.0,,430911.0,0,True,False
C,A,20140101,2014,52,2014,40,AUT,Austria,M,Import,705,SVN,Slovenia,0,W00,World,H4,HS,True,2606,Aluminium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,257800.0,False,-1,N/A,,False,257800.0,False,,False,54322.0,,54322.0,0,True,False
C,A,20140101,2014,52,2014,40,AUT,Austria,M,Import,842,USA,USA,0,W00,World,H4,HS,True,2606,Aluminium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,51400.0,False,-1,N/A,,False,51400.0,False,,False,62719.0,,62719.0,0,True,False
