typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20140101,2014,52,2014,826,GBR,United Kingdom,M,Import,0,W00,World,0,W00,World,H4,HS,True,810520,"Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3920083.0,False,-1,N/A,,False,3920083.0,False,,False,83239302.0,,83239302.0,0,True,False
C,A,20140101,2014,52,2014,826,GBR,United Kingdom,M,Import,40,AUT,Austria,0,W00,World,H4,HS,True,810520,"Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,41053.0,False,-1,N/A,,False,41053.0,False,,False,781893.0,,781893.0,0,True,False
C,A,20140101,2014,52,2014,826,GBR,United Kingdom,M,Import,56,BEL,Belgium,0,W00,World,H4,HS,True,810520,"Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,387240.0,False,-1,N/A,,False,387240.0,False,,False,13625657.0,,13625657.0,0,True,False
C,A,20140101,2014,52,2014,826,GBR,United Kingdom,M,Import,124,CAN,Canada,0,W00,World,H4,HS,True,810520,"Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1352173.0,False,-1,N/A,,False,1352173.0,False,,False,10537435.0,,10537435.0,0,True,False
C,A,20140101,2014,52,2014,826,GBR,United Kingdom,M,Import,156,CHN,China,0,W00,World,H4,HS,True,810520,"Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,59827.0,False,-1,N/A,,False,59827.0,False,,False,1911571.0,,1911571.0,0,True,False
C,A,20140101,2014,52,2014,826,GBR,United Kingdom,M,Import,246,FIN,Finland,0,W00,World,H4,HS,True,810520,"Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,133775.0,False,-1,N/A,,False,133775.0,False,,False,6059485.0,,6059485.0,0,True,False
C,A,20140101,2014,52,2014,826,GBR,United Kingdom,M,Import,251,FRA,France,0,W00,World,H4,HS,True,810520,"Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,118014.0,False,-1,N/A,,False,118014.0,False,,False,2335403.0,,2335403.0,0,True,False
C,A,20140101,2014,52,2014,826,GBR,United Kingdom,M,Import,276,DEU,Germany,0,W00,World,H4,HS,True,810520,"Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,47996.0,False,-1,N/A,,False,47996.0,False,,False,1732948.0,,1732948.0,0,True,False
C,A,20140101,2014,52,2014,826,GBR,United Kingdom,M,Import,372,IRL,Ireland,0,W00,World,H4,HS,True,810520,"Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,361133.0,False,-1,N/A,,False,361133.0,False,,False,4463445.0,,4463445.0,0,True,False
C,A,20140101,2014,52,2014,826,GBR,United Kingdom,M,Import,380,ITA,Italy,0,W00,World,H4,HS,True,810520,"Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,16266.0,False,-1,N/A,,False,16266.0,False,,False,337019.0,,337019.0,0,True,False
C,A,20140101,2014,52,2014,826,GBR,United Kingdom,M,Import,392,JPN,Japan,0,W00,World,H4,HS,True,810520,"Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,198100.0,False,-1,N/A,,False,198100.0,False,,False,6295420.0,,6295420.0,0,True,False
C,A,20140101,2014,52,2014,826,GBR,United Kingdom,M,Import,410,KOR,Rep. of Korea,0,W00,World,H4,HS,True,810520,"Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2670.0,False,-1,N/A,,False,2670.0,False,,False,647.0,,647.0,0,True,False
C,A,20140101,2014,52,2014,826,GBR,United Kingdom,M,Import,528,NLD,Netherlands,0,W00,World,H4,HS,True,810520,"Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,955637.0,False,-1,N/A,,False,955637.0,False,,False,27205833.0,,27205833.0,0,True,False
C,A,20140101,2014,52,2014,826,GBR,United Kingdom,M,Import,540,NCL,New Caledonia,0,W00,World,H4,HS,True,810520,"Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,22107.0,False,-1,N/A,,False,22107.0,False,,False,474274.0,,474274.0,0,True,False
C,A,20140101,2014,52,2014,826,GBR,United Kingdom,M,Import,710,ZAF,South Africa,0,W00,World,H4,HS,True,810520,"Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,100.0,False,-1,N/A,,False,100.0,False,,False,4466.0,,4466.0,0,True,False
C,A,20140101,2014,52,2014,826,GBR,United Kingdom,M,Import,724,ESP,Spain,0,W00,World,H4,HS,True,810520,"Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1072.0,False,-1,N/A,,False,1072.0,False,,False,16473.0,,16473.0,0,True,False
C,A,20140101,2014,52,2014,826,GBR,United Kingdom,M,Import,752,SWE,Sweden,0,W00,World,H4,HS,True,810520,"Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7285.0,False,-1,N/A,,False,7285.0,False,,False,433943.0,,433943.0,0,True,False
C,A,20140101,2014,52,2014,826,GBR,United Kingdom,M,Import,757,CHE,Switzerland,0,W00,World,H4,HS,True,810520,"Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,20.0,False,-1,N/A,,False,20.0,False,,False,13532.0,,13532.0,0,True,False
C,A,20140101,2014,52,2014,826,GBR,United Kingdom,M,Import,826,GBR,United Kingdom,0,W00,World,H4,HS,True,810520,"Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7.0,False,-1,N/A,,False,7.0,False,,False,1747.0,,1747.0,0,True,False
C,A,20140101,2014,52,2014,826,GBR,United Kingdom,M,Import,842,USA,USA,0,W00,World,H4,HS,True,810520,"Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,215608.0,False,-1,N/A,,False,215608.0,False,,False,7008110.0,,7008110.0,0,True,False
