typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20140101,2014,52,2014,372,IRL,Ireland,M,Import,0,W00,World,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,556463.0,False,5,u,556463.0,False,107544.0,False,0.0,False,8896101.029,0.0,8896101.029,0,False,True
C,A,20140101,2014,52,2014,372,IRL,Ireland,M,Import,40,AUT,Austria,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,2.0,False,5,u,2.0,False,5.0,False,0.0,False,482.246,0.0,482.246,0,True,False
C,A,20140101,2014,52,2014,372,IRL,Ireland,M,Import,56,BEL,Belgium,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,51.0,False,5,u,51.0,False,10.0,False,0.0,False,2566.664,0.0,2566.664,0,True,False
C,A,20140101,2014,52,2014,372,IRL,Ireland,M,Import,100,BGR,Bulgaria,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,2.0,False,5,u,2.0,False,9.0,False,0.0,False,421.135,0.0,421.135,0,True,False
C,A,20140101,2014,52,2014,372,IRL,Ireland,M,Import,156,CHN,China,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,465315.0,False,5,u,465315.0,False,65317.0,False,0.0,False,5370859.857,0.0,5370859.857,0,True,False
C,A,20140101,2014,52,2014,372,IRL,Ireland,M,Import,188,CRI,Costa Rica,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,50.0,False,5,u,50.0,False,29.0,False,0.0,False,2079.104,0.0,2079.104,0,True,False
C,A,20140101,2014,52,2014,372,IRL,Ireland,M,Import,203,CZE,Czechia,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,414.0,False,5,u,414.0,False,60.0,False,0.0,False,7519.316,0.0,7519.316,0,True,False
C,A,20140101,2014,52,2014,372,IRL,Ireland,M,Import,208,DNK,Denmark,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,496.0,False,5,u,496.0,False,806.0,False,0.0,False,12247.451,0.0,12247.451,0,True,False
C,A,20140101,2014,52,2014,372,IRL,Ireland,M,Import,246,FIN,Finland,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,15.0,False,5,u,15.0,False,67.0,False,0.0,False,2408.572,0.0,2408.572,0,True,False
C,A,20140101,2014,52,2014,372,IRL,Ireland,M,Import,251,FRA,France,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,38.0,False,5,u,38.0,False,118.0,False,0.0,False,8190.209,0.0,8190.209,0,True,False
C,A,20140101,2014,52,2014,372,IRL,Ireland,M,Import,276,DEU,Germany,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,9059.0,False,5,u,9059.0,False,4021.0,False,0.0,False,148974.117,0.0,148974.117,0,True,False
C,A,20140101,2014,52,2014,372,IRL,Ireland,M,Import,344,HKG,"China, Hong Kong SAR",0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,17092.0,False,5,u,17092.0,False,3619.0,False,0.0,False,290739.787,0.0,290739.787,0,True,False
C,A,20140101,2014,52,2014,372,IRL,Ireland,M,Import,348,HUN,Hungary,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,6.0,False,5,u,6.0,False,26.0,False,0.0,False,1276.689,0.0,1276.689,0,True,False
C,A,20140101,2014,52,2014,372,IRL,Ireland,M,Import,360,IDN,Indonesia,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,58.0,False,5,u,58.0,False,13.0,False,0.0,False,2196.012,0.0,2196.012,0,True,False
C,A,20140101,2014,52,2014,372,IRL,Ireland,M,Import,372,IRL,Ireland,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,2.0,False,5,u,2.0,False,2.0,False,0.0,False,605.796,0.0,605.796,0,True,False
C,A,20140101,2014,52,2014,372,IRL,Ireland,M,Import,376,ISR,Israel,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,106.0,False,5,u,106.0,False,22.0,False,0.0,False,22195.266,0.0,22195.266,0,True,False
C,A,20140101,2014,52,2014,372,IRL,Ireland,M,Import,380,ITA,Italy,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,143.0,False,5,u,143.0,False,23.0,False,0.0,False,1594.201,0.0,1594.201,0,True,False
C,A,20140101,2014,52,2014,372,IRL,Ireland,M,Import,392,JPN,Japan,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,4743.0,False,5,u,4743.0,False,440.0,False,0.0,False,59426.507,0.0,59426.507,0,True,False
C,A,20140101,2014,52,2014,372,IRL,Ireland,M,Import,410,KOR,Rep. of Korea,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,10870.0,False,5,u,10870.0,False,362.0,False,0.0,False,107758.702,0.0,107758.702,0,True,False
C,A,20140101,2014,52,2014,372,IRL,Ireland,M,Import,458,MYS,Malaysia,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,747.0,False,5,u,747.0,False,496.0,False,0.0,False,33216.511,0.0,33216.511,0,True,False
