typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20150101,2015,52,2015,705,SVN,Slovenia,M,Import,842,USA,USA,0,W00,World,H4,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,0.0,False,-1,N/A,,False,,False,,False,1785.0,,1785.0,0,True,False
C,A,20150101,2015,52,2015,705,SVN,Slovenia,M,Import,757,CHE,Switzerland,0,W00,World,H4,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,668.0,False,-1,N/A,,False,668.0,False,,False,25216178.0,,25216178.0,0,True,False
C,A,20150101,2015,52,2015,705,SVN,Slovenia,M,Import,380,ITA,Italy,0,W00,World,H4,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,37.0,False,-1,N/A,,False,37.0,False,,False,1143452.0,,1143452.0,0,True,False
C,A,20150101,2015,52,2015,705,SVN,Slovenia,M,Import,276,DEU,Germany,0,W00,World,H4,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,9.0,False,-1,N/A,,False,9.0,False,,False,176645.0,,176645.0,0,True,False
C,A,20150101,2015,52,2015,705,SVN,Slovenia,M,Import,203,CZE,Czechia,0,W00,World,H4,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3.0,False,-1,N/A,,False,3.0,False,,False,119446.0,,119446.0,0,True,False
C,A,20150101,2015,52,2015,705,SVN,Slovenia,M,Import,191,HRV,Croatia,0,W00,World,H4,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,84.0,False,-1,N/A,,False,84.0,False,,False,3234395.0,,3234395.0,0,True,False
C,A,20150101,2015,52,2015,705,SVN,Slovenia,M,Import,156,CHN,China,0,W00,World,H4,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1.0,False,-1,N/A,,False,1.0,False,,False,42039.0,,42039.0,0,True,False
C,A,20150101,2015,52,2015,705,SVN,Slovenia,M,Import,56,BEL,Belgium,0,W00,World,H4,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3.0,False,-1,N/A,,False,3.0,False,,False,98403.0,,98403.0,0,True,False
C,A,20150101,2015,52,2015,705,SVN,Slovenia,M,Import,40,AUT,Austria,0,W00,World,H4,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,324.0,False,-1,N/A,,False,324.0,False,,False,6613869.0,,6613869.0,0,True,False
C,A,20150101,2015,52,2015,705,SVN,Slovenia,M,Import,0,W00,World,0,W00,World,H4,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1129.0,False,-1,N/A,,False,1129.0,False,,False,36646213.0,,36646213.0,0,True,False
