typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20150101,2015,52,2015,218,ECU,Ecuador,M,Import,0,W00,World,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,148474.0,False,-1,N/A,,False,42818.0,False,,False,1659613.0,,1659613.0,0,True,False
C,A,20150101,2015,52,2015,218,ECU,Ecuador,M,Import,76,BRA,Brazil,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,3.0,False,-1,N/A,,False,,False,,False,37.0,,37.0,0,True,False
C,A,20150101,2015,52,2015,218,ECU,Ecuador,M,Import,124,CAN,Canada,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,17.0,False,-1,N/A,,False,11.0,False,,False,666.0,,666.0,0,True,False
C,A,20150101,2015,52,2015,218,ECU,Ecuador,M,Import,156,CHN,China,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,117948.0,False,-1,N/A,,False,14987.0,False,,False,390790.0,,390790.0,0,True,False
C,A,20150101,2015,52,2015,218,ECU,Ecuador,M,Import,246,FIN,Finland,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,1090.0,False,-1,N/A,,False,156.0,False,,False,4853.0,,4853.0,0,True,False
C,A,20150101,2015,52,2015,218,ECU,Ecuador,M,Import,251,FRA,France,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,9.0,False,-1,N/A,,False,5.0,False,,False,1846.0,,1846.0,0,True,False
C,A,20150101,2015,52,2015,218,ECU,Ecuador,M,Import,276,DEU,Germany,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,41.0,False,-1,N/A,,False,392.0,False,,False,111667.0,,111667.0,0,True,False
C,A,20150101,2015,52,2015,218,ECU,Ecuador,M,Import,344,HKG,"China, Hong Kong SAR",0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,11798.0,False,-1,N/A,,False,585.0,False,,False,16589.0,,16589.0,0,True,False
C,A,20150101,2015,52,2015,218,ECU,Ecuador,M,Import,348,HUN,Hungary,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,6.0,False,-1,N/A,,False,19.0,False,,False,484.0,,484.0,0,True,False
C,A,20150101,2015,52,2015,218,ECU,Ecuador,M,Import,360,IDN,Indonesia,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,56.0,False,-1,N/A,,False,18.0,False,,False,986.0,,986.0,0,True,False
C,A,20150101,2015,52,2015,218,ECU,Ecuador,M,Import,380,ITA,Italy,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,29.0,False,-1,N/A,,False,20.0,False,,False,2842.0,,2842.0,0,True,False
C,A,20150101,2015,52,2015,218,ECU,Ecuador,M,Import,392,JPN,Japan,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,631.0,False,-1,N/A,,False,20244.0,False,,False,721647.0,,721647.0,0,True,False
C,A,20150101,2015,52,2015,218,ECU,Ecuador,M,Import,408,PRK,Dem. People's Rep. of Korea,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,10.0,False,-1,N/A,,False,3.0,False,,False,451.0,,451.0,0,True,False
C,A,20150101,2015,52,2015,218,ECU,Ecuador,M,Import,410,KOR,Rep. of Korea,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,2182.0,False,-1,N/A,,False,181.0,False,,False,27866.0,,27866.0,0,True,False
C,A,20150101,2015,52,2015,218,ECU,Ecuador,M,Import,458,MYS,Malaysia,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,559.0,False,-1,N/A,,False,298.0,False,,False,29951.0,,29951.0,0,True,False
C,A,20150101,2015,52,2015,218,ECU,Ecuador,M,Import,484,MEX,Mexico,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,1592.0,False,-1,N/A,,False,456.0,False,,False,64165.0,,64165.0,0,True,False
C,A,20150101,2015,52,2015,218,ECU,Ecuador,M,Import,490,S19,"Other Asia, nes",0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,1302.0,False,-1,N/A,,False,306.0,False,,False,43020.0,,43020.0,0,True,False
C,A,20150101,2015,52,2015,218,ECU,Ecuador,M,Import,528,NLD,Netherlands,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,66.0,False,-1,N/A,,False,19.0,False,,False,5005.0,,5005.0,0,True,False
C,A,20150101,2015,52,2015,218,ECU,Ecuador,M,Import,591,PAN,Panama,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,782.0,False,-1,N/A,,False,576.0,False,,False,21600.0,,21600.0,0,True,False
C,A,20150101,2015,52,2015,218,ECU,Ecuador,M,Import,604,PER,Peru,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,10.0,False,-1,N/A,,False,8.0,False,,False,4680.0,,4680.0,0,True,False
C,A,20150101,2015,52,2015,218,ECU,Ecuador,M,Import,616,POL,Poland,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,28.0,False,-1,N/A,,False,52.0,False,,False,5253.0,,5253.0,0,True,False
C,A,20150101,2015,52,2015,218,ECU,Ecuador,M,Import,704,VNM,Viet Nam,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,111.0,False,-1,N/A,,False,61.0,False,,False,2601.0,,2601.0,0,True,False
C,A,20150101,2015,52,2015,218,ECU,Ecuador,M,Import,724,ESP,Spain,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,261.0,False,-1,N/A,,False,26.0,False,,False,2411.0,,2411.0,0,True,False
C,A,20150101,2015,52,2015,218,ECU,Ecuador,M,Import,748,SWZ,Eswatini,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,1.0,False,-1,N/A,,False,,False,,False,133.0,,133.0,0,True,False
C,A,20150101,2015,52,2015,218,ECU,Ecuador,M,Import,757,CHE,Switzerland,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,28.0,False,-1,N/A,,False,6.0,False,,False,4254.0,,4254.0,0,True,False
C,A,20150101,2015,52,2015,218,ECU,Ecuador,M,Import,764,THA,Thailand,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,3.0,False,-1,N/A,,False,1.0,False,,False,188.0,,188.0,0,True,False
C,A,20150101,2015,52,2015,218,ECU,Ecuador,M,Import,826,GBR,United Kingdom,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,10.0,False,-1,N/A,,False,6.0,False,,False,346.0,,346.0,0,True,False
C,A,20150101,2015,52,2015,218,ECU,Ecuador,M,Import,842,USA,USA,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,9901.0,False,-1,N/A,,False,4381.0,False,,False,195285.0,,195285.0,0,True,False
