typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20150101,2015,52,2015,554,NZL,New Zealand,M,Import,0,W00,World,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,843570.0,False,5,u,843570.0,False,150361.72,True,,False,10218994.675,,10218994.675,0,False,True
C,A,20150101,2015,52,2015,554,NZL,New Zealand,M,Import,36,AUS,Australia,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,136062.0,False,5,u,136062.0,False,5917.132,True,6875.0,False,402144.523,,402144.523,0,False,True
C,A,20150101,2015,52,2015,554,NZL,New Zealand,M,Import,40,AUT,Austria,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,110.0,False,5,u,110.0,False,48.377,True,47.0,False,3287.862,,3287.862,0,False,True
C,A,20150101,2015,52,2015,554,NZL,New Zealand,M,Import,56,BEL,Belgium,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,131.0,False,5,u,131.0,False,0.625,True,1.0,False,42.464,,42.464,0,False,True
C,A,20150101,2015,52,2015,554,NZL,New Zealand,M,Import,100,BGR,Bulgaria,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,28.0,False,5,u,28.0,False,130.393,True,10.0,False,8861.842,,8861.842,0,False,True
C,A,20150101,2015,52,2015,554,NZL,New Zealand,M,Import,120,CMR,Cameroon,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,2.0,False,5,u,2.0,False,7.815,True,3.0,False,531.154,,531.154,0,False,True
C,A,20150101,2015,52,2015,554,NZL,New Zealand,M,Import,124,CAN,Canada,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,56.0,False,5,u,56.0,False,258.388,True,136.0,False,17560.787,,17560.787,0,False,True
C,A,20150101,2015,52,2015,554,NZL,New Zealand,M,Import,132,CPV,Cabo Verde,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,1.0,False,5,u,1.0,False,0.236,True,,False,16.011,,16.011,0,False,True
C,A,20150101,2015,52,2015,554,NZL,New Zealand,M,Import,156,CHN,China,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,483041.0,False,5,u,483041.0,False,79142.179,True,,False,5378719.458,,5378719.458,0,False,True
C,A,20150101,2015,52,2015,554,NZL,New Zealand,M,Import,203,CZE,Czechia,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,9.0,False,5,u,9.0,False,20.988,True,6.0,False,1426.388,,1426.388,0,False,True
