typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20150101,2015,52,2015,724,ESP,Spain,M,Import,0,W00,World,0,W00,World,H4,HS,True,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,10041667770.0,False,18,TJ,549955.5,False,10041667770.0,False,0.0,False,3451640385.066,,3451640385.066,0,False,True
C,A,20150101,2015,52,2015,724,ESP,Spain,M,Import,12,DZA,Algeria,0,W00,World,H4,HS,True,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2732186300.0,False,18,TJ,148390.97,False,2732186300.0,False,0.0,False,994299627.984,,994299627.984,0,False,True
C,A,20150101,2015,52,2015,724,ESP,Spain,M,Import,32,ARG,Argentina,0,W00,World,H4,HS,True,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,43801400.0,False,18,TJ,2389.59,False,43801400.0,False,0.0,False,14981905.293,,14981905.293,0,False,True
C,A,20150101,2015,52,2015,724,ESP,Spain,M,Import,231,ETH,Ethiopia,0,W00,World,H4,HS,True,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,116909700.0,False,18,TJ,6330.11,False,116909700.0,False,0.0,False,41926239.786,,41926239.786,0,False,True
C,A,20150101,2015,52,2015,724,ESP,Spain,M,Import,251,FRA,France,0,W00,World,H4,HS,True,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5349820.0,False,18,TJ,303.0,False,5349820.0,False,0.0,False,92835.547,,92835.547,0,False,True
C,A,20150101,2015,52,2015,724,ESP,Spain,M,Import,276,DEU,Germany,0,W00,World,H4,HS,True,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,19250.0,False,18,TJ,13.0,False,19250.0,False,0.0,False,2406.416,,2406.416,0,False,True
C,A,20150101,2015,52,2015,724,ESP,Spain,M,Import,380,ITA,Italy,0,W00,World,H4,HS,True,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,27881700.0,False,18,TJ,1522.64,False,27881700.0,False,0.0,False,10268297.966,,10268297.966,0,False,True
C,A,20150101,2015,52,2015,724,ESP,Spain,M,Import,512,OMN,Oman,0,W00,World,H4,HS,True,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,120796000.0,False,18,TJ,6584.03,False,120796000.0,False,0.0,False,44571399.296,,44571399.296,0,False,True
C,A,20150101,2015,52,2015,724,ESP,Spain,M,Import,566,NGA,Nigeria,0,W00,World,H4,HS,True,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2689710000.0,False,18,TJ,147662.0,False,2689710000.0,False,0.0,False,866975214.118,,866975214.118,0,False,True
C,A,20150101,2015,52,2015,724,ESP,Spain,M,Import,579,NOR,Norway,0,W00,World,H4,HS,True,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,469557000.0,False,18,TJ,26014.4,False,469557000.0,False,0.0,False,171637006.953,,171637006.953,0,False,True
