typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20150101,2015,52,2015,554,NZL,New Zealand,M,Import,0,W00,World,0,W00,World,H4,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,5089140249.869,True,-1,N/A,0.0,False,5089140249.869,True,5150722167.0,False,2232564686.989,,2232564686.989,0,False,True
C,A,20150101,2015,52,2015,554,NZL,New Zealand,M,Import,36,AUS,Australia,0,W00,World,H4,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,111261249.869,True,-1,N/A,0.0,False,111261249.869,True,118836200.0,False,44294588.981,,44294588.981,0,False,True
C,A,20150101,2015,52,2015,554,NZL,New Zealand,M,Import,96,BRN,Brunei Darussalam,0,W00,World,H4,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,806358000.0,False,21,1000 KG,806358.0,False,806358000.0,False,808182000.0,False,366356763.342,,366356763.342,0,False,True
C,A,20150101,2015,52,2015,554,NZL,New Zealand,M,Import,360,IDN,Indonesia,0,W00,World,H4,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,164939000.0,False,21,1000 KG,164939.0,False,164939000.0,False,165444000.0,False,72561234.298,,72561234.298,0,False,True
C,A,20150101,2015,52,2015,554,NZL,New Zealand,M,Import,414,KWT,Kuwait,0,W00,World,H4,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,293960000.0,False,21,1000 KG,293960.0,False,293960000.0,False,297951000.0,False,116057862.131,,116057862.131,0,False,True
C,A,20150101,2015,52,2015,554,NZL,New Zealand,M,Import,458,MYS,Malaysia,0,W00,World,H4,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,916419000.0,False,21,1000 KG,916419.0,False,916419000.0,False,929178000.0,False,415815743.305,,415815743.305,0,False,True
C,A,20150101,2015,52,2015,554,NZL,New Zealand,M,Import,634,QAT,Qatar,0,W00,World,H4,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,1081260000.0,False,21,1000 KG,1081260.0,False,1081260000.0,False,1096500000.0,False,444165221.432,,444165221.432,0,False,True
C,A,20150101,2015,52,2015,554,NZL,New Zealand,M,Import,643,RUS,Russian Federation,0,W00,World,H4,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,768180000.0,False,21,1000 KG,768180.0,False,768180000.0,False,772121000.0,False,351206519.998,,351206519.998,0,False,True
C,A,20150101,2015,52,2015,554,NZL,New Zealand,M,Import,682,SAU,Saudi Arabia,0,W00,World,H4,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,483087000.0,False,21,1000 KG,483087.0,False,483087000.0,False,484139000.0,False,201873883.054,,201873883.054,0,False,True
C,A,20150101,2015,52,2015,554,NZL,New Zealand,M,Import,784,ARE,United Arab Emirates,0,W00,World,H4,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,463671000.0,False,21,1000 KG,463671.0,False,463671000.0,False,478321000.0,False,220194291.155,,220194291.155,0,False,True
C,A,20150101,2015,52,2015,554,NZL,New Zealand,M,Import,842,USA,USA,0,W00,World,H4,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,5000.0,False,21,1000 KG,5.0,False,5000.0,False,49967.0,False,38579.293,,38579.293,0,False,True
