typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20160101,2016,52,2016,705,SVN,Slovenia,M,Import,0,W00,World,0,W00,World,H4,HS,True,810520,"Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,103997.42,False,8,kg,103997.42,False,103997.42,False,0.0,False,2629886.15,,2629886.15,0,False,True
C,A,20160101,2016,52,2016,705,SVN,Slovenia,M,Import,40,AUT,Austria,0,W00,World,H4,HS,True,810520,"Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1380.0,False,8,kg,1380.0,False,1380.0,False,0.0,False,56839.68,,56839.68,0,False,True
C,A,20160101,2016,52,2016,705,SVN,Slovenia,M,Import,178,COG,Congo,0,W00,World,H4,HS,True,810520,"Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,50.0,False,8,kg,50.0,False,50.0,False,0.0,False,1423.57,,1423.57,0,False,True
C,A,20160101,2016,52,2016,705,SVN,Slovenia,M,Import,251,FRA,France,0,W00,World,H4,HS,True,810520,"Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,270.0,False,8,kg,270.0,False,270.0,False,0.0,False,8158.56,,8158.56,0,False,True
C,A,20160101,2016,52,2016,705,SVN,Slovenia,M,Import,276,DEU,Germany,0,W00,World,H4,HS,True,810520,"Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1157.15,False,8,kg,1157.15,False,1157.15,False,0.0,False,95668.68,,95668.68,0,False,True
C,A,20160101,2016,52,2016,705,SVN,Slovenia,M,Import,450,MDG,Madagascar,0,W00,World,H4,HS,True,810520,"Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,88000.0,False,8,kg,88000.0,False,88000.0,False,0.0,False,2096790.3,,2096790.3,0,False,True
C,A,20160101,2016,52,2016,705,SVN,Slovenia,M,Import,528,NLD,Netherlands,0,W00,World,H4,HS,True,810520,"Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,6000.0,False,8,kg,6000.0,False,6000.0,False,0.0,False,140589.44,,140589.44,0,False,True
C,A,20160101,2016,52,2016,705,SVN,Slovenia,M,Import,688,SRB,Serbia,0,W00,World,H4,HS,True,810520,"Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,50.0,False,8,kg,50.0,False,50.0,False,0.0,False,7348.94,,7348.94,0,False,True
C,A,20160101,2016,52,2016,705,SVN,Slovenia,M,Import,705,SVN,Slovenia,0,W00,World,H4,HS,True,810520,"Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,37.5,False,8,kg,37.5,False,37.5,False,0.0,False,2074.34,,2074.34,0,False,True
C,A,20160101,2016,52,2016,705,SVN,Slovenia,M,Import,757,CHE,Switzerland,0,W00,World,H4,HS,True,810520,"Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,8.28,False,8,kg,8.28,False,8.28,False,0.0,False,1992.26,,1992.26,0,False,True
C,A,20160101,2016,52,2016,705,SVN,Slovenia,M,Import,826,GBR,United Kingdom,0,W00,World,H4,HS,True,810520,"Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1434.57,False,8,kg,1434.57,False,1434.57,False,0.0,False,50880.36,,50880.36,0,False,True
C,A,20160101,2016,52,2016,705,SVN,Slovenia,M,Import,842,USA,USA,0,W00,World,H4,HS,True,810520,"Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,609.92,False,8,kg,609.92,False,609.92,False,0.0,False,49707.91,,49707.91,0,False,True
C,A,20160101,2016,52,2016,705,SVN,Slovenia,M,Import,894,ZMB,Zambia,0,W00,World,H4,HS,True,810520,"Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5000.0,False,8,kg,5000.0,False,5000.0,False,0.0,False,118412.11,,118412.11,0,False,True
