typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20160101,2016,52,2016,842,USA,USA,M,Import,0,W00,World,0,W00,World,H4,HS,True,2601,Iron ores and concentrates; including roasted iron pyrites,4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,3078931000.0,False,21,1000 KG,3078931.0,False,3078931000.0,False,,False,276237292.0,,276237292.0,0,False,True
C,A,20160101,2016,52,2016,842,USA,USA,M,Import,32,ARG,Argentina,0,W00,World,H4,HS,True,2601,Iron ores and concentrates; including roasted iron pyrites,4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,87239000.0,False,21,1000 KG,87239.0,False,87239000.0,False,,False,9121426.0,,9121426.0,0,False,True
C,A,20160101,2016,52,2016,842,USA,USA,M,Import,36,AUS,Australia,0,W00,World,H4,HS,True,2601,Iron ores and concentrates; including roasted iron pyrites,4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,84000.0,False,21,1000 KG,84.0,False,84000.0,False,,False,20420.0,,20420.0,0,False,True
C,A,20160101,2016,52,2016,842,USA,USA,M,Import,40,AUT,Austria,0,W00,World,H4,HS,True,2601,Iron ores and concentrates; including roasted iron pyrites,4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,6000.0,False,21,1000 KG,6.0,False,6000.0,False,,False,6384.0,,6384.0,0,False,True
C,A,20160101,2016,52,2016,842,USA,USA,M,Import,76,BRA,Brazil,0,W00,World,H4,HS,True,2601,Iron ores and concentrates; including roasted iron pyrites,4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,1824635000.0,False,21,1000 KG,1824635.0,False,1824635000.0,False,,False,154261096.0,,154261096.0,0,False,True
C,A,20160101,2016,52,2016,842,USA,USA,M,Import,124,CAN,Canada,0,W00,World,H4,HS,True,2601,Iron ores and concentrates; including roasted iron pyrites,4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,557162000.0,False,21,1000 KG,557162.0,False,557162000.0,False,,False,42678290.0,,42678290.0,0,False,True
C,A,20160101,2016,52,2016,842,USA,USA,M,Import,152,CHL,Chile,0,W00,World,H4,HS,True,2601,Iron ores and concentrates; including roasted iron pyrites,4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,61572000.0,False,21,1000 KG,61572.0,False,61572000.0,False,,False,4112123.0,,4112123.0,0,False,True
C,A,20160101,2016,52,2016,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H4,HS,True,2601,Iron ores and concentrates; including roasted iron pyrites,4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,1236000.0,False,21,1000 KG,1236.0,False,1236000.0,False,,False,69700.0,,69700.0,0,False,True
C,A,20160101,2016,52,2016,842,USA,USA,M,Import,276,DEU,Germany,0,W00,World,H4,HS,True,2601,Iron ores and concentrates; including roasted iron pyrites,4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,354000.0,False,21,1000 KG,354.0,False,354000.0,False,,False,33519.0,,33519.0,0,False,True
C,A,20160101,2016,52,2016,842,USA,USA,M,Import,340,HND,Honduras,0,W00,World,H4,HS,True,2601,Iron ores and concentrates; including roasted iron pyrites,4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,2097000.0,False,21,1000 KG,2097.0,False,2097000.0,False,,False,1956767.0,,1956767.0,0,False,True
