typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20160101,2016,52,2016,705,SVN,Slovenia,M,Import,0,W00,World,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,13575.88,False,8,kg,13575.88,False,13575.88,False,0.0,False,240169.59,,240169.59,0,False,True
C,A,20160101,2016,52,2016,705,SVN,Slovenia,M,Import,40,AUT,Austria,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,50.1,False,8,kg,50.1,False,50.1,False,0.0,False,1761.43,,1761.43,0,False,True
C,A,20160101,2016,52,2016,705,SVN,Slovenia,M,Import,56,BEL,Belgium,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2.59,False,8,kg,2.59,False,2.59,False,0.0,False,1688.01,,1688.01,0,False,True
C,A,20160101,2016,52,2016,705,SVN,Slovenia,M,Import,156,CHN,China,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7943.0,False,8,kg,7943.0,False,7943.0,False,0.0,False,62175.52,,62175.52,0,False,True
C,A,20160101,2016,52,2016,705,SVN,Slovenia,M,Import,203,CZE,Czechia,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,460.0,False,8,kg,460.0,False,460.0,False,0.0,False,13642.02,,13642.02,0,False,True
C,A,20160101,2016,52,2016,705,SVN,Slovenia,M,Import,251,FRA,France,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1054.0,False,8,kg,1054.0,False,1054.0,False,0.0,False,23977.39,,23977.39,0,False,True
C,A,20160101,2016,52,2016,705,SVN,Slovenia,M,Import,276,DEU,Germany,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,21.12,False,8,kg,21.12,False,21.12,False,0.0,False,6024.85,,6024.85,0,False,True
C,A,20160101,2016,52,2016,705,SVN,Slovenia,M,Import,490,S19,"Other Asia, nes",0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,0.07,False,8,kg,0.07,False,0.07,False,0.0,False,173.19,,173.19,0,False,True
C,A,20160101,2016,52,2016,705,SVN,Slovenia,M,Import,616,POL,Poland,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,500.0,False,8,kg,500.0,False,500.0,False,0.0,False,13958.94,,13958.94,0,False,True
C,A,20160101,2016,52,2016,705,SVN,Slovenia,M,Import,705,SVN,Slovenia,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3.95,False,8,kg,3.95,False,3.95,False,0.0,False,843.2,,843.2,0,False,True
C,A,20160101,2016,52,2016,705,SVN,Slovenia,M,Import,826,GBR,United Kingdom,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3450.04,False,8,kg,3450.04,False,3450.04,False,0.0,False,108351.07,,108351.07,0,False,True
C,A,20160101,2016,52,2016,705,SVN,Slovenia,M,Import,842,USA,USA,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,91.01,False,8,kg,91.01,False,91.01,False,0.0,False,7573.97,,7573.97,0,False,True
