typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20170101,2017,52,2017,392,JPN,Japan,M,Import,0,W00,World,0,W00,World,H5,HS,True,2610,Chromium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,48177000.0,False,21,1000 KG,48177.0,False,48177000.0,False,0.0,False,21165520.794,0.0,21165520.794,0,False,True
C,A,20170101,2017,52,2017,392,JPN,Japan,M,Import,156,CHN,China,0,W00,World,H5,HS,True,2610,Chromium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,40000.0,False,21,1000 KG,40.0,False,40000.0,False,0.0,False,28791.8,0.0,28791.8,0,False,True
C,A,20170101,2017,52,2017,392,JPN,Japan,M,Import,364,IRN,Iran,0,W00,World,H5,HS,True,2610,Chromium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1448000.0,False,21,1000 KG,1448.0,False,1448000.0,False,0.0,False,580890.166,0.0,580890.166,0,False,True
C,A,20170101,2017,52,2017,392,JPN,Japan,M,Import,512,OMN,Oman,0,W00,World,H5,HS,True,2610,Chromium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3420000.0,False,21,1000 KG,3420.0,False,3420000.0,False,0.0,False,1582541.738,0.0,1582541.738,0,False,True
C,A,20170101,2017,52,2017,392,JPN,Japan,M,Import,586,PAK,Pakistan,0,W00,World,H5,HS,True,2610,Chromium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,8021000.0,False,21,1000 KG,8021.0,False,8021000.0,False,0.0,False,4434757.291,0.0,4434757.291,0,False,True
C,A,20170101,2017,52,2017,392,JPN,Japan,M,Import,608,PHL,Philippines,0,W00,World,H5,HS,True,2610,Chromium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,579000.0,False,21,1000 KG,579.0,False,579000.0,False,0.0,False,189321.685,0.0,189321.685,0,False,True
C,A,20170101,2017,52,2017,392,JPN,Japan,M,Import,699,IND,India,0,W00,World,H5,HS,True,2610,Chromium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,8973000.0,False,21,1000 KG,8973.0,False,8973000.0,False,0.0,False,3583019.185,0.0,3583019.185,0,False,True
C,A,20170101,2017,52,2017,392,JPN,Japan,M,Import,710,ZAF,South Africa,0,W00,World,H5,HS,True,2610,Chromium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,19933000.0,False,21,1000 KG,19933.0,False,19933000.0,False,0.0,False,8261044.903,0.0,8261044.903,0,False,True
C,A,20170101,2017,52,2017,392,JPN,Japan,M,Import,716,ZWE,Zimbabwe,0,W00,World,H5,HS,True,2610,Chromium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,471000.0,False,21,1000 KG,471.0,False,471000.0,False,0.0,False,158239.02,0.0,158239.02,0,False,True
C,A,20170101,2017,52,2017,392,JPN,Japan,M,Import,792,TUR,Türkiye,0,W00,World,H5,HS,True,2610,Chromium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5292000.0,False,21,1000 KG,5292.0,False,5292000.0,False,0.0,False,2346915.005,0.0,2346915.005,0,False,True
