typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20170101,2017,52,2017,458,MYS,Malaysia,M,Import,0,W00,World,0,W00,World,H5,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,26069598.1,False,-1,N/A,0.0,False,26069598.1,False,0.0,False,4472738.23,0.0,4472738.23,0,False,True
C,A,20170101,2017,52,2017,458,MYS,Malaysia,M,Import,124,CAN,Canada,0,W00,World,H5,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,500.0,False,-1,N/A,0.0,False,500.0,False,0.0,False,2578.33,0.0,2578.33,0,False,True
C,A,20170101,2017,52,2017,458,MYS,Malaysia,M,Import,156,CHN,China,0,W00,World,H5,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,437112.0,False,-1,N/A,0.0,False,437112.0,False,0.0,False,1761885.04,0.0,1761885.04,0,False,True
C,A,20170101,2017,52,2017,458,MYS,Malaysia,M,Import,276,DEU,Germany,0,W00,World,H5,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,500.0,False,-1,N/A,0.0,False,500.0,False,0.0,False,3512.899,0.0,3512.899,0,False,True
C,A,20170101,2017,52,2017,458,MYS,Malaysia,M,Import,360,IDN,Indonesia,0,W00,World,H5,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,9507410.0,False,-1,N/A,0.0,False,9507410.0,False,0.0,False,853717.786,0.0,853717.786,0,False,True
C,A,20170101,2017,52,2017,458,MYS,Malaysia,M,Import,392,JPN,Japan,0,W00,World,H5,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,43259.5,False,-1,N/A,0.0,False,43259.5,False,0.0,False,170723.907,0.0,170723.907,0,False,True
C,A,20170101,2017,52,2017,458,MYS,Malaysia,M,Import,410,KOR,Rep. of Korea,0,W00,World,H5,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,16000000.0,False,-1,N/A,0.0,False,16000000.0,False,0.0,False,1509880.643,0.0,1509880.643,0,False,True
C,A,20170101,2017,52,2017,458,MYS,Malaysia,M,Import,490,S19,"Other Asia, nes",0,W00,World,H5,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,18144.0,False,-1,N/A,0.0,False,18144.0,False,0.0,False,24902.281,0.0,24902.281,0,False,True
C,A,20170101,2017,52,2017,458,MYS,Malaysia,M,Import,616,POL,Poland,0,W00,World,H5,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,110.0,False,-1,N/A,0.0,False,110.0,False,0.0,False,1374.845,0.0,1374.845,0,False,True
C,A,20170101,2017,52,2017,458,MYS,Malaysia,M,Import,699,IND,India,0,W00,World,H5,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,100.0,False,-1,N/A,0.0,False,100.0,False,0.0,False,1682.41,0.0,1682.41,0,False,True
C,A,20170101,2017,52,2017,458,MYS,Malaysia,M,Import,826,GBR,United Kingdom,0,W00,World,H5,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,36300.0,False,-1,N/A,0.0,False,36300.0,False,0.0,False,22801.48,0.0,22801.48,0,False,True
C,A,20170101,2017,52,2017,458,MYS,Malaysia,M,Import,842,USA,USA,0,W00,World,H5,HS,True,2504,Graphite; natural,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,26162.6,False,-1,N/A,0.0,False,26162.6,False,0.0,False,119678.608,0.0,119678.608,0,False,True
