typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20170101,2017,52,2017,442,LUX,Luxembourg,M,Import,0,W00,World,0,W00,World,H5,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,246169.11,False,5,u,246169.11,False,33389.23,False,,False,3251314.026,,3251314.026,0,False,True
C,A,20170101,2017,52,2017,442,LUX,Luxembourg,M,Import,40,AUT,Austria,0,W00,World,H5,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,25.0,False,5,u,25.0,False,1484.52,False,,False,144555.32,,144555.32,0,True,False
C,A,20170101,2017,52,2017,442,LUX,Luxembourg,M,Import,56,BEL,Belgium,0,W00,World,H5,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,3463.0,False,5,u,3463.0,False,964.89,False,,False,93958.828,,93958.828,0,True,False
C,A,20170101,2017,52,2017,442,LUX,Luxembourg,M,Import,124,CAN,Canada,0,W00,World,H5,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,6.0,False,5,u,6.0,False,8.46,False,,False,823.909,,823.909,0,True,False
C,A,20170101,2017,52,2017,442,LUX,Luxembourg,M,Import,156,CHN,China,0,W00,World,H5,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,53970.0,False,5,u,53970.0,False,6082.91,False,,False,592327.625,,592327.625,0,True,False
C,A,20170101,2017,52,2017,442,LUX,Luxembourg,M,Import,208,DNK,Denmark,0,W00,World,H5,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,99.0,False,5,u,99.0,False,38.74,False,,False,3773.452,,3773.452,0,True,False
C,A,20170101,2017,52,2017,442,LUX,Luxembourg,M,Import,233,EST,Estonia,0,W00,World,H5,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,15.0,False,5,u,15.0,False,17.37,False,,False,1692.26,,1692.26,0,True,False
C,A,20170101,2017,52,2017,442,LUX,Luxembourg,M,Import,246,FIN,Finland,0,W00,World,H5,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,4.0,False,5,u,4.0,False,22.52,False,,False,2193.389,,2193.389,0,True,False
C,A,20170101,2017,52,2017,442,LUX,Luxembourg,M,Import,251,FRA,France,0,W00,World,H5,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,3547.0,False,5,u,3547.0,False,517.44,False,,False,50387.048,,50387.048,0,True,False
C,A,20170101,2017,52,2017,442,LUX,Luxembourg,M,Import,276,DEU,Germany,0,W00,World,H5,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,163465.0,False,5,u,163465.0,False,14786.19,False,,False,1439794.326,,1439794.326,0,True,False
C,A,20170101,2017,52,2017,442,LUX,Luxembourg,M,Import,300,GRC,Greece,0,W00,World,H5,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,12.0,False,5,u,12.0,False,22.98,False,,False,2238.114,,2238.114,0,True,False
C,A,20170101,2017,52,2017,442,LUX,Luxembourg,M,Import,344,HKG,"China, Hong Kong SAR",0,W00,World,H5,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,2894.0,False,5,u,2894.0,False,166.13,False,,False,16179.661,,16179.661,0,True,False
C,A,20170101,2017,52,2017,442,LUX,Luxembourg,M,Import,348,HUN,Hungary,0,W00,World,H5,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,9.0,False,5,u,9.0,False,10.89,False,,False,1063.263,,1063.263,0,True,False
C,A,20170101,2017,52,2017,442,LUX,Luxembourg,M,Import,360,IDN,Indonesia,0,W00,World,H5,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,574.0,False,5,u,574.0,False,716.78,False,,False,69796.338,,69796.338,0,True,False
C,A,20170101,2017,52,2017,442,LUX,Luxembourg,M,Import,372,IRL,Ireland,0,W00,World,H5,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,18.0,False,5,u,18.0,False,41.77,False,,False,4068.274,,4068.274,0,True,False
C,A,20170101,2017,52,2017,442,LUX,Luxembourg,M,Import,380,ITA,Italy,0,W00,World,H5,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,5032.0,False,5,u,5032.0,False,827.91,False,,False,80617.801,,80617.801,0,True,False
C,A,20170101,2017,52,2017,442,LUX,Luxembourg,M,Import,392,JPN,Japan,0,W00,World,H5,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,595.0,False,5,u,595.0,False,611.24,False,,False,59523.663,,59523.663,0,True,False
C,A,20170101,2017,52,2017,442,LUX,Luxembourg,M,Import,410,KOR,Rep. of Korea,0,W00,World,H5,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,2287.0,False,5,u,2287.0,False,929.25,False,,False,90487.193,,90487.193,0,True,False
C,A,20170101,2017,52,2017,442,LUX,Luxembourg,M,Import,442,LUX,Luxembourg,0,W00,World,H5,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,6.0,False,5,u,6.0,False,2.72,False,,False,265.52,,265.52,0,True,False
C,A,20170101,2017,52,2017,442,LUX,Luxembourg,M,Import,458,MYS,Malaysia,0,W00,World,H5,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,525.0,False,5,u,525.0,False,600.5,False,,False,58476.985,,58476.985,0,True,False
C,A,20170101,2017,52,2017,442,LUX,Luxembourg,M,Import,490,S19,"Other Asia, nes",0,W00,World,H5,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,792.0,False,5,u,792.0,False,465.84,False,,False,45365.226,,45365.226,0,True,False
C,A,20170101,2017,52,2017,442,LUX,Luxembourg,M,Import,528,NLD,Netherlands,0,W00,World,H5,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,3147.0,False,5,u,3147.0,False,433.99,False,,False,42261.75,,42261.75,0,True,False
C,A,20170101,2017,52,2017,442,LUX,Luxembourg,M,Import,568,E19,"Other Europe, nes",0,W00,World,H5,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,1029.11,False,5,u,1029.11,False,489.6,False,,False,47677.446,,47677.446,0,True,False
C,A,20170101,2017,52,2017,442,LUX,Luxembourg,M,Import,616,POL,Poland,0,W00,World,H5,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,1945.0,False,5,u,1945.0,False,1992.04,False,,False,193978.022,,193978.022,0,True,False
C,A,20170101,2017,52,2017,442,LUX,Luxembourg,M,Import,702,SGP,Singapore,0,W00,World,H5,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,236.0,False,5,u,236.0,False,146.39,False,,False,14255.673,,14255.673,0,True,False
C,A,20170101,2017,52,2017,442,LUX,Luxembourg,M,Import,704,VNM,Viet Nam,0,W00,World,H5,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,1.0,False,5,u,1.0,False,0.86,False,,False,84.61,,84.61,0,True,False
C,A,20170101,2017,52,2017,442,LUX,Luxembourg,M,Import,752,SWE,Sweden,0,W00,World,H5,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,1.0,False,5,u,1.0,False,1.12,False,,False,109.399,,109.399,0,True,False
C,A,20170101,2017,52,2017,442,LUX,Luxembourg,M,Import,757,CHE,Switzerland,0,W00,World,H5,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,550.0,False,5,u,550.0,False,79.4,False,,False,7732.485,,7732.485,0,True,False
C,A,20170101,2017,52,2017,442,LUX,Luxembourg,M,Import,826,GBR,United Kingdom,0,W00,World,H5,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,1387.0,False,5,u,1387.0,False,185.83,False,,False,18097.894,,18097.894,0,True,False
C,A,20170101,2017,52,2017,442,LUX,Luxembourg,M,Import,842,USA,USA,0,W00,World,H5,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,469.0,False,5,u,469.0,False,1713.43,False,,False,166848.183,,166848.183,0,True,False
C,A,20170101,2017,52,2017,442,LUX,Luxembourg,M,Import,899,_X ,"Areas, nes",0,W00,World,H5,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,66.0,False,5,u,66.0,False,27.52,False,,False,2680.368,,2680.368,0,True,False
