typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20170101,2017,52,2017,784,ARE,United Arab Emirates,M,Import,0,W00,World,0,W00,World,H4,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,False,0.0,False,33145004.849,0.0,33145004.849,0,False,True
C,A,20170101,2017,52,2017,784,ARE,United Arab Emirates,M,Import,48,BHR,Bahrain,0,W00,World,H4,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,47041600.0,False,8,kg,47041600.0,False,47041600.0,False,0.0,False,26097630.139,0.0,26097630.139,0,False,True
C,A,20170101,2017,52,2017,784,ARE,United Arab Emirates,M,Import,156,CHN,China,0,W00,World,H4,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,6.0,False,8,kg,6.0,False,6.0,False,0.0,False,1.906,0.0,1.906,0,False,True
C,A,20170101,2017,52,2017,784,ARE,United Arab Emirates,M,Import,231,ETH,Ethiopia,0,W00,World,H4,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,50.0,False,8,kg,50.0,False,50.0,False,0.0,False,28.591,0.0,28.591,0,False,True
C,A,20170101,2017,52,2017,784,ARE,United Arab Emirates,M,Import,251,FRA,France,0,W00,World,H4,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,8.0,False,8,kg,8.0,False,8.0,False,0.0,False,397.277,0.0,397.277,0,False,True
C,A,20170101,2017,52,2017,784,ARE,United Arab Emirates,M,Import,276,DEU,Germany,0,W00,World,H4,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4.0,False,8,kg,4.0,False,4.0,False,0.0,False,14.976,0.0,14.976,0,False,True
C,A,20170101,2017,52,2017,784,ARE,United Arab Emirates,M,Import,364,IRN,Iran,0,W00,World,H4,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,19383600.0,False,8,kg,19383600.0,False,19383600.0,False,0.0,False,6933806.057,0.0,6933806.057,0,False,True
C,A,20170101,2017,52,2017,784,ARE,United Arab Emirates,M,Import,368,IRQ,Iraq,0,W00,World,H4,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,236.0,False,8,kg,236.0,False,236.0,False,0.0,False,3230.224,0.0,3230.224,0,False,True
C,A,20170101,2017,52,2017,784,ARE,United Arab Emirates,M,Import,414,KWT,Kuwait,0,W00,World,H4,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,743.0,False,8,kg,743.0,False,743.0,False,0.0,False,730.293,0.0,730.293,0,False,True
C,A,20170101,2017,52,2017,784,ARE,United Arab Emirates,M,Import,512,OMN,Oman,0,W00,World,H4,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,38659.0,False,8,kg,38659.0,False,38659.0,False,0.0,False,25408.842,0.0,25408.842,0,False,True
