typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20180101,2018,52,2018,554,NZL,New Zealand,M,Import,0,W00,World,0,W00,World,H5,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,749.407,False,-1,N/A,0.0,False,749.407,False,0.0,False,28558098.863,0.0,28558098.863,0,False,True
C,A,20180101,2018,52,2018,554,NZL,New Zealand,M,Import,36,AUS,Australia,0,W00,World,H5,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,262.632,False,-1,N/A,0.0,False,262.632,False,427.0,False,9765856.177,0.0,9765856.177,0,False,True
C,A,20180101,2018,52,2018,554,NZL,New Zealand,M,Import,76,BRA,Brazil,0,W00,World,H5,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1.0,False,-1,N/A,0.0,False,1.0,False,2.0,False,42589.175,0.0,42589.175,0,False,True
C,A,20180101,2018,52,2018,554,NZL,New Zealand,M,Import,124,CAN,Canada,0,W00,World,H5,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,186.339,False,-1,N/A,0.0,False,186.339,False,0.0,False,7931770.412,0.0,7931770.412,0,False,True
C,A,20180101,2018,52,2018,554,NZL,New Zealand,M,Import,242,FJI,Fiji,0,W00,World,H5,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1.002,False,-1,N/A,0.0,False,1.002,False,2.0,False,33990.819,0.0,33990.819,0,False,True
C,A,20180101,2018,52,2018,554,NZL,New Zealand,M,Import,251,FRA,France,0,W00,World,H5,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,10.745,False,-1,N/A,0.0,False,10.745,False,19.0,False,31452.954,0.0,31452.954,0,False,True
C,A,20180101,2018,52,2018,554,NZL,New Zealand,M,Import,276,DEU,Germany,0,W00,World,H5,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,30.595,False,-1,N/A,0.0,False,30.595,False,0.0,False,183162.732,0.0,183162.732,0,False,True
C,A,20180101,2018,52,2018,554,NZL,New Zealand,M,Import,380,ITA,Italy,0,W00,World,H5,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,6.067,False,-1,N/A,0.0,False,6.067,False,17.0,False,14725.833,0.0,14725.833,0,False,True
C,A,20180101,2018,52,2018,554,NZL,New Zealand,M,Import,392,JPN,Japan,0,W00,World,H5,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,77.32,False,-1,N/A,0.0,False,77.32,False,107.0,False,3559547.451,0.0,3559547.451,0,False,True
C,A,20180101,2018,52,2018,554,NZL,New Zealand,M,Import,702,SGP,Singapore,0,W00,World,H5,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,0.04,False,-1,N/A,0.0,False,0.04,False,0.0,False,479.95,0.0,479.95,0,False,True
C,A,20180101,2018,52,2018,554,NZL,New Zealand,M,Import,757,CHE,Switzerland,0,W00,World,H5,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,144.817,False,-1,N/A,0.0,False,144.817,False,149.0,False,5921063.047,0.0,5921063.047,0,False,True
C,A,20180101,2018,52,2018,554,NZL,New Zealand,M,Import,764,THA,Thailand,0,W00,World,H5,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,0.78,False,-1,N/A,0.0,False,0.78,False,1.0,False,12871.637,0.0,12871.637,0,False,True
C,A,20180101,2018,52,2018,554,NZL,New Zealand,M,Import,826,GBR,United Kingdom,0,W00,World,H5,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,6.0,False,-1,N/A,0.0,False,6.0,False,6.0,False,248262.597,0.0,248262.597,0,False,True
C,A,20180101,2018,52,2018,554,NZL,New Zealand,M,Import,842,USA,USA,0,W00,World,H5,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,22.07,False,-1,N/A,0.0,False,22.07,False,0.0,False,812326.079,0.0,812326.079,0,False,True
