typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20180101,2018,52,2018,826,GBR,United Kingdom,M,Import,0,W00,World,0,W00,World,H5,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,629049.713,True,-1,N/A,0.0,False,629049.713,True,0.0,False,25564378411.49,,25564378411.49,0,False,True
C,A,20180101,2018,52,2018,826,GBR,United Kingdom,M,Import,32,ARG,Argentina,0,W00,World,H5,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,0.085,False,15,g,85.0,False,0.085,False,0.0,False,3352.912,,3352.912,0,False,True
C,A,20180101,2018,52,2018,826,GBR,United Kingdom,M,Import,36,AUS,Australia,0,W00,World,H5,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,29418.951,False,15,g,29417571.0,False,29418.951,False,0.0,False,1198131264.452,,1198131264.452,0,False,True
C,A,20180101,2018,52,2018,826,GBR,United Kingdom,M,Import,40,AUT,Austria,0,W00,World,H5,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,139.296,False,15,g,134100.0,False,139.296,False,0.0,False,5262901.447,,5262901.447,0,False,True
C,A,20180101,2018,52,2018,826,GBR,United Kingdom,M,Import,56,BEL,Belgium,0,W00,World,H5,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,5.186,True,-1,N/A,0.0,False,5.186,True,0.0,False,7309.135,,7309.135,0,False,True
C,A,20180101,2018,52,2018,826,GBR,United Kingdom,M,Import,76,BRA,Brazil,0,W00,World,H5,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,14754.0,False,15,g,14751733.0,False,14754.0,False,0.0,False,595739364.544,,595739364.544,0,False,True
C,A,20180101,2018,52,2018,826,GBR,United Kingdom,M,Import,84,BLZ,Belize,0,W00,World,H5,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,586.0,False,15,g,585899.0,False,586.0,False,0.0,False,23379291.618,,23379291.618,0,False,True
C,A,20180101,2018,52,2018,826,GBR,United Kingdom,M,Import,124,CAN,Canada,0,W00,World,H5,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,193281.131,False,15,g,193231008.0,False,193281.131,False,0.0,False,7898205179.65,,7898205179.65,0,False,True
C,A,20180101,2018,52,2018,826,GBR,United Kingdom,M,Import,156,CHN,China,0,W00,World,H5,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,238.853,False,15,g,239620.0,False,238.853,False,0.0,False,8208845.851,,8208845.851,0,False,True
C,A,20180101,2018,52,2018,826,GBR,United Kingdom,M,Import,203,CZE,Czechia,0,W00,World,H5,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,11.276,False,15,g,7293.0,False,11.276,False,0.0,False,313983.135,,313983.135,0,False,True
