typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20180101,2018,52,2018,48,BHR,Bahrain,M,Import,0,W00,World,0,W00,World,H5,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,120368.0,False,5,u,120368.0,False,24339.6,False,,False,1762195.417,,1762195.417,0,False,True
C,A,20180101,2018,52,2018,48,BHR,Bahrain,M,Import,124,CAN,Canada,0,W00,World,H5,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,4.0,False,5,u,4.0,False,0.5,False,,False,146.436,,146.436,0,True,False
C,A,20180101,2018,52,2018,48,BHR,Bahrain,M,Import,156,CHN,China,0,W00,World,H5,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,103997.0,False,5,u,103997.0,False,15829.3,False,,False,993720.565,,993720.565,0,True,False
C,A,20180101,2018,52,2018,48,BHR,Bahrain,M,Import,203,CZE,Czechia,0,W00,World,H5,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,1.0,False,5,u,1.0,False,0.64,False,,False,14.202,,14.202,0,True,False
C,A,20180101,2018,52,2018,48,BHR,Bahrain,M,Import,208,DNK,Denmark,0,W00,World,H5,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,17.0,False,5,u,17.0,False,23.5,False,,False,2028.135,,2028.135,0,True,False
C,A,20180101,2018,52,2018,48,BHR,Bahrain,M,Import,246,FIN,Finland,0,W00,World,H5,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,2.0,False,5,u,2.0,False,2.0,False,,False,395.372,,395.372,0,True,False
C,A,20180101,2018,52,2018,48,BHR,Bahrain,M,Import,251,FRA,France,0,W00,World,H5,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,17.0,False,5,u,17.0,False,8.1,False,,False,3597.866,,3597.866,0,True,False
C,A,20180101,2018,52,2018,48,BHR,Bahrain,M,Import,276,DEU,Germany,0,W00,World,H5,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,882.0,False,5,u,882.0,False,629.95,False,,False,44174.899,,44174.899,0,True,False
C,A,20180101,2018,52,2018,48,BHR,Bahrain,M,Import,344,HKG,"China, Hong Kong SAR",0,W00,World,H5,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,130.0,False,5,u,130.0,False,45.0,False,,False,919.094,,919.094,0,True,False
C,A,20180101,2018,52,2018,48,BHR,Bahrain,M,Import,360,IDN,Indonesia,0,W00,World,H5,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,2.0,False,5,u,2.0,False,0.9,False,,False,375.957,,375.957,0,True,False
C,A,20180101,2018,52,2018,48,BHR,Bahrain,M,Import,372,IRL,Ireland,0,W00,World,H5,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,1.0,False,5,u,1.0,False,0.5,False,,False,72.952,,72.952,0,True,False
C,A,20180101,2018,52,2018,48,BHR,Bahrain,M,Import,380,ITA,Italy,0,W00,World,H5,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,20.0,False,5,u,20.0,False,378.67,False,,False,13842.822,,13842.822,0,True,False
C,A,20180101,2018,52,2018,48,BHR,Bahrain,M,Import,392,JPN,Japan,0,W00,World,H5,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,394.0,False,5,u,394.0,False,1737.7,False,,False,32748.136,,32748.136,0,True,False
