typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20180101,2018,52,2018,804,UKR,Ukraine,M,Import,0,W00,World,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,11554464.0,False,5,u,11554464.0,False,1371161.468,True,,False,14472474.3,,14472474.3,0,False,True
C,A,20180101,2018,52,2018,804,UKR,Ukraine,M,Import,31,AZE,Azerbaijan,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,5.0,False,5,u,5.0,False,4.67,False,,False,796.91,,796.91,0,False,True
C,A,20180101,2018,52,2018,804,UKR,Ukraine,M,Import,40,AUT,Austria,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,3.0,False,5,u,3.0,False,2.0,False,,False,1908.49,,1908.49,0,False,True
C,A,20180101,2018,52,2018,804,UKR,Ukraine,M,Import,56,BEL,Belgium,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,53.0,False,5,u,53.0,False,6.98,False,,False,3881.82,,3881.82,0,False,True
C,A,20180101,2018,52,2018,804,UKR,Ukraine,M,Import,100,BGR,Bulgaria,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,118.0,False,5,u,118.0,False,10.9,False,,False,667.98,,667.98,0,False,True
C,A,20180101,2018,52,2018,804,UKR,Ukraine,M,Import,124,CAN,Canada,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,24.0,False,5,u,24.0,False,63.6,False,,False,47411.76,,47411.76,0,False,True
C,A,20180101,2018,52,2018,804,UKR,Ukraine,M,Import,156,CHN,China,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,11460745.0,False,5,u,11460745.0,False,1331825.21,False,,False,12392406.99,,12392406.99,0,False,True
C,A,20180101,2018,52,2018,804,UKR,Ukraine,M,Import,203,CZE,Czechia,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,271.0,False,5,u,271.0,False,65.44,False,,False,4187.94,,4187.94,0,False,True
C,A,20180101,2018,52,2018,804,UKR,Ukraine,M,Import,208,DNK,Denmark,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,3.0,False,5,u,3.0,False,5690.13,False,,False,188757.97,,188757.97,0,False,True
C,A,20180101,2018,52,2018,804,UKR,Ukraine,M,Import,233,EST,Estonia,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,1.0,False,5,u,1.0,False,0.27,False,,False,46.72,,46.72,0,False,True
C,A,20180101,2018,52,2018,804,UKR,Ukraine,M,Import,251,FRA,France,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,15.0,False,5,u,15.0,False,557.35,False,,False,18378.32,,18378.32,0,False,True
C,A,20180101,2018,52,2018,804,UKR,Ukraine,M,Import,276,DEU,Germany,0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,6042.0,False,5,u,6042.0,False,2838.11,False,,False,166522.59,,166522.59,0,False,True
C,A,20180101,2018,52,2018,804,UKR,Ukraine,M,Import,344,HKG,"China, Hong Kong SAR",0,W00,World,H4,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,5,u,27542.0,False,5,u,27542.0,False,4023.96,False,,False,107745.15,,107745.15,0,False,True
