typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20180101,2018,52,2018,36,AUS,Australia,M,Import,0,W00,World,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,22454082480.0,False,7,l,22454082480.0,False,22454082480.0,False,0.0,False,10592476013.65,10294413051.397,10592476013.65,0,False,True
C,A,20180101,2018,52,2018,36,AUS,Australia,M,Import,12,DZA,Algeria,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1195340400.0,False,7,l,1195340400.0,False,1195340400.0,False,1256892000.0,False,558386591.243,546772246.013,558386591.243,0,False,True
C,A,20180101,2018,52,2018,36,AUS,Australia,M,Import,24,AGO,Angola,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,48126700.0,False,7,l,48126700.0,False,48126700.0,False,0.0,False,24600861.334,24067767.928,24600861.334,0,False,True
C,A,20180101,2018,52,2018,36,AUS,Australia,M,Import,31,AZE,Azerbaijan,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,92649900.0,False,7,l,92649900.0,False,92649900.0,False,77153500.0,False,56852886.705,55627106.592,56852886.705,0,False,True
C,A,20180101,2018,52,2018,36,AUS,Australia,M,Import,36,AUS,Australia,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,33699300.0,False,7,l,33699300.0,False,33699300.0,False,24701700.0,False,13676737.891,13237870.502,13676737.891,0,False,True
C,A,20180101,2018,52,2018,36,AUS,Australia,M,Import,96,BRN,Brunei Darussalam,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1196889900.0,False,7,l,1196889900.0,False,1196889900.0,False,0.0,False,578310623.941,565259573.806,578310623.941,0,False,True
C,A,20180101,2018,52,2018,36,AUS,Australia,M,Import,178,COG,Congo,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,849952100.0,False,7,l,849952100.0,False,849952100.0,False,733428100.0,False,403227585.654,381206552.831,403227585.654,0,False,True
C,A,20180101,2018,52,2018,36,AUS,Australia,M,Import,266,GAB,Gabon,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,751285000.0,False,7,l,751285000.0,False,751285000.0,False,644220000.0,False,367235888.818,343450996.127,367235888.818,0,False,True
C,A,20180101,2018,52,2018,36,AUS,Australia,M,Import,360,IDN,Indonesia,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1748058680.0,False,7,l,1748058680.0,False,1748058680.0,False,1461672430.0,False,840520797.872,824472789.484,840520797.872,0,False,True
C,A,20180101,2018,52,2018,36,AUS,Australia,M,Import,434,LBY,Libya,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1190313700.0,False,7,l,1190313700.0,False,1190313700.0,False,837728100.0,False,568309335.544,537458749.32,568309335.544,0,False,True
