typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20190101,2019,52,2019,124,CAN,Canada,M,Import,0,W00,World,0,W00,World,H5,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,42802514.339,True,-1,N/A,0.0,False,42802514.339,True,0.0,False,0.0,490950990.475,490950990.475,6,False,True
C,A,20190101,2019,52,2019,124,CAN,Canada,M,Import,36,AUS,Australia,0,W00,World,H5,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,88.0,False,8,kg,88.0,False,88.0,False,0.0,False,0.0,357.99,357.99,0,False,True
C,A,20190101,2019,52,2019,124,CAN,Canada,M,Import,51,ARM,Armenia,0,W00,World,H5,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,919227.011,False,-1,N/A,0.0,False,919227.011,False,0.0,False,0.0,42819435.522,42819435.522,0,False,True
C,A,20190101,2019,52,2019,124,CAN,Canada,M,Import,76,BRA,Brazil,0,W00,World,H5,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,413.263,True,-1,N/A,0.0,False,413.263,True,0.0,False,0.0,1559.328,1559.328,6,False,True
C,A,20190101,2019,52,2019,124,CAN,Canada,M,Import,152,CHL,Chile,0,W00,World,H5,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5308616.351,False,-1,N/A,0.0,False,5308616.351,False,0.0,False,0.0,30947682.844,30947682.844,0,False,True
C,A,20190101,2019,52,2019,124,CAN,Canada,M,Import,156,CHN,China,0,W00,World,H5,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,36.0,False,8,kg,36.0,False,36.0,False,0.0,False,0.0,161.284,161.284,0,False,True
C,A,20190101,2019,52,2019,124,CAN,Canada,M,Import,203,CZE,Czechia,0,W00,World,H5,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,136.0,False,8,kg,136.0,False,136.0,False,0.0,False,0.0,513.998,513.998,0,False,True
C,A,20190101,2019,52,2019,124,CAN,Canada,M,Import,246,FIN,Finland,0,W00,World,H5,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2838957.498,False,-1,N/A,0.0,False,2838957.498,False,0.0,False,0.0,31436627.355,31436627.355,0,False,True
C,A,20190101,2019,52,2019,124,CAN,Canada,M,Import,251,FRA,France,0,W00,World,H5,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,534339.507,False,-1,N/A,0.0,False,534339.507,False,0.0,False,0.0,8393013.6,8393013.6,0,False,True
C,A,20190101,2019,52,2019,124,CAN,Canada,M,Import,276,DEU,Germany,0,W00,World,H5,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,22120.849,False,-1,N/A,0.0,False,22120.849,False,0.0,False,0.0,811202.263,811202.263,0,False,True
C,A,20190101,2019,52,2019,124,CAN,Canada,M,Import,398,KAZ,Kazakhstan,0,W00,World,H5,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,16.0,False,8,kg,16.0,False,16.0,False,0.0,False,0.0,117.571,117.571,0,False,True
C,A,20190101,2019,52,2019,124,CAN,Canada,M,Import,484,MEX,Mexico,0,W00,World,H5,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2515307.421,False,-1,N/A,0.0,False,2515307.421,False,0.0,False,0.0,61745818.718,61745818.718,0,False,True
C,A,20190101,2019,52,2019,124,CAN,Canada,M,Import,490,S19,"Other Asia, nes",0,W00,World,H5,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2684826.0,False,8,kg,2684826.0,False,2684826.0,False,0.0,False,0.0,15204067.212,15204067.212,0,False,True
C,A,20190101,2019,52,2019,124,CAN,Canada,M,Import,516,NAM,Namibia,0,W00,World,H5,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5.0,False,8,kg,5.0,False,5.0,False,0.0,False,0.0,9.044,9.044,0,False,True
C,A,20190101,2019,52,2019,124,CAN,Canada,M,Import,528,NLD,Netherlands,0,W00,World,H5,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1.0,False,8,kg,1.0,False,1.0,False,0.0,False,0.0,5.276,5.276,0,False,True
C,A,20190101,2019,52,2019,124,CAN,Canada,M,Import,604,PER,Peru,0,W00,World,H5,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2899479.455,True,-1,N/A,0.0,False,2899479.455,True,0.0,False,0.0,23550372.585,23550372.585,6,False,True
C,A,20190101,2019,52,2019,124,CAN,Canada,M,Import,608,PHL,Philippines,0,W00,World,H5,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,6616787.593,False,-1,N/A,0.0,False,6616787.593,False,0.0,False,0.0,61466539.318,61466539.318,0,False,True
C,A,20190101,2019,52,2019,124,CAN,Canada,M,Import,682,SAU,Saudi Arabia,0,W00,World,H5,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1829276.87,False,-1,N/A,0.0,False,1829276.87,False,0.0,False,0.0,47192571.396,47192571.396,0,False,True
C,A,20190101,2019,52,2019,124,CAN,Canada,M,Import,710,ZAF,South Africa,0,W00,World,H5,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,121.0,False,8,kg,121.0,False,121.0,False,0.0,False,0.0,543.391,543.391,0,False,True
C,A,20190101,2019,52,2019,124,CAN,Canada,M,Import,757,CHE,Switzerland,0,W00,World,H5,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,419360.0,False,8,kg,419360.0,False,419360.0,False,0.0,False,0.0,2220447.7,2220447.7,0,False,True
C,A,20190101,2019,52,2019,124,CAN,Canada,M,Import,792,TUR,Türkiye,0,W00,World,H5,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1370760.0,False,8,kg,1370760.0,False,1370760.0,False,0.0,False,0.0,7547393.082,7547393.082,0,False,True
C,A,20190101,2019,52,2019,124,CAN,Canada,M,Import,826,GBR,United Kingdom,0,W00,World,H5,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,248273.446,True,-1,N/A,0.0,False,248273.446,True,0.0,False,0.0,2617665.467,2617665.467,6,False,True
C,A,20190101,2019,52,2019,124,CAN,Canada,M,Import,842,USA,USA,0,W00,World,H5,HS,True,2603,Copper ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,14594366.076,True,-1,N/A,0.0,False,14594366.076,True,0.0,False,0.0,154994885.533,154994885.533,6,False,True
