typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20190101,2019,52,2019,208,DNK,Denmark,M,Import,0,W00,World,0,W00,World,H5,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1742.469,False,15,g,1742469.0,False,0.0,False,0.0,False,14423393.897,0.0,14423393.897,0,False,True
C,A,20190101,2019,52,2019,208,DNK,Denmark,M,Import,36,AUS,Australia,0,W00,World,H5,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,0.02,False,15,g,20.0,False,1.0,False,0.0,False,912.969,0.0,912.969,0,False,True
C,A,20190101,2019,52,2019,208,DNK,Denmark,M,Import,40,AUT,Austria,0,W00,World,H5,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,0.995,False,15,g,995.0,False,11.0,False,0.0,False,27787.317,0.0,27787.317,0,False,True
C,A,20190101,2019,52,2019,208,DNK,Denmark,M,Import,124,CAN,Canada,0,W00,World,H5,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,0.033,False,15,g,33.0,False,1.002,False,0.0,False,1735.227,0.0,1735.227,0,False,True
C,A,20190101,2019,52,2019,208,DNK,Denmark,M,Import,203,CZE,Czechia,0,W00,World,H5,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,0.006,False,15,g,6.0,False,0.0,False,0.0,False,158.334,0.0,158.334,0,False,True
C,A,20190101,2019,52,2019,208,DNK,Denmark,M,Import,233,EST,Estonia,0,W00,World,H5,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,0.004,False,15,g,4.0,False,0.0,False,0.0,False,74.219,0.0,74.219,0,False,True
C,A,20190101,2019,52,2019,208,DNK,Denmark,M,Import,246,FIN,Finland,0,W00,World,H5,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3.566,False,15,g,3566.0,False,10.01,False,0.0,False,70392.508,0.0,70392.508,0,False,True
C,A,20190101,2019,52,2019,208,DNK,Denmark,M,Import,251,FRA,France,0,W00,World,H5,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1.651,False,15,g,1651.0,False,23.0,False,0.0,False,10228.137,0.0,10228.137,0,False,True
C,A,20190101,2019,52,2019,208,DNK,Denmark,M,Import,276,DEU,Germany,0,W00,World,H5,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,927.763,False,15,g,927763.0,False,482.0,False,0.0,False,5860480.515,0.0,5860480.515,0,False,True
C,A,20190101,2019,52,2019,208,DNK,Denmark,M,Import,380,ITA,Italy,0,W00,World,H5,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,0.155,False,15,g,155.0,False,8.0,False,0.0,False,12641.98,0.0,12641.98,0,False,True
