typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20190101,2019,52,2019,352,ISL,Iceland,M,Import,842,USA,USA,0,W00,World,H5,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,20.37,True,-1,N/A,0.0,False,20.37,True,0.0,False,13503.276,12386.045,13503.276,6,False,True
C,A,20190101,2019,52,2019,352,ISL,Iceland,M,Import,826,GBR,United Kingdom,0,W00,World,H5,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,13.088,True,-1,N/A,0.0,False,13.088,True,0.0,False,519890.668,519806.586,519890.668,6,False,True
C,A,20190101,2019,52,2019,352,ISL,Iceland,M,Import,752,SWE,Sweden,0,W00,World,H5,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1.019,True,-1,N/A,0.0,False,1.019,True,0.0,False,1303.188,1243.329,1303.188,6,False,True
C,A,20190101,2019,52,2019,352,ISL,Iceland,M,Import,699,IND,India,0,W00,World,H5,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1.268,True,-1,N/A,0.0,False,1.268,True,0.0,False,1869.047,1782.248,1869.047,6,False,True
C,A,20190101,2019,52,2019,352,ISL,Iceland,M,Import,380,ITA,Italy,0,W00,World,H5,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1.0,False,8,kg,1.0,False,1.0,False,0.0,False,855.496,838.204,855.496,0,False,True
C,A,20190101,2019,52,2019,352,ISL,Iceland,M,Import,276,DEU,Germany,0,W00,World,H5,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,155.022,True,-1,N/A,0.0,False,155.022,True,0.0,False,250171.422,243937.344,250171.422,6,False,True
C,A,20190101,2019,52,2019,352,ISL,Iceland,M,Import,251,FRA,France,0,W00,World,H5,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,0.02,True,-1,N/A,0.0,False,,True,0.0,False,65.75,52.059,65.75,6,False,True
C,A,20190101,2019,52,2019,352,ISL,Iceland,M,Import,246,FIN,Finland,0,W00,World,H5,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,10.221,True,-1,N/A,0.0,False,10.221,True,0.0,False,13217.551,12652.49,13217.551,6,False,True
C,A,20190101,2019,52,2019,352,ISL,Iceland,M,Import,208,DNK,Denmark,0,W00,World,H5,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,75.0,False,8,kg,75.0,False,75.0,False,0.0,False,104781.209,101157.576,104781.209,0,False,True
C,A,20190101,2019,52,2019,352,ISL,Iceland,M,Import,156,CHN,China,0,W00,World,H5,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1.0,False,8,kg,1.0,False,1.0,False,0.0,False,256.35,220.757,256.35,0,False,True
C,A,20190101,2019,52,2019,352,ISL,Iceland,M,Import,124,CAN,Canada,0,W00,World,H5,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1.06,True,-1,N/A,0.0,False,1.06,True,0.0,False,2401.611,2319.322,2401.611,6,False,True
C,A,20190101,2019,52,2019,352,ISL,Iceland,M,Import,56,BEL,Belgium,0,W00,World,H5,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1.0,False,8,kg,1.0,False,1.0,False,0.0,False,7967.11,7775.077,7967.11,0,False,True
C,A,20190101,2019,52,2019,352,ISL,Iceland,M,Import,0,W00,World,0,W00,World,H5,HS,True,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,280.068,True,-1,N/A,0.0,False,,True,0.0,False,916282.68,904171.037,916282.68,6,False,True
