typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20200101,2020,52,2020,643,RUS,Russian Federation,M,Import,0,W00,World,0,W00,World,H5,HS,True,2606,Aluminium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,14070450.0,False,8,kg,14070450.0,False,14070450.0,False,0.0,False,5729183.17,0.0,5729183.17,0,False,True
C,A,20200101,2020,52,2020,643,RUS,Russian Federation,M,Import,76,BRA,Brazil,0,W00,World,H5,HS,True,2606,Aluminium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,50000.0,False,8,kg,50000.0,False,50000.0,False,0.0,False,23500.0,0.0,23500.0,0,False,True
C,A,20200101,2020,52,2020,643,RUS,Russian Federation,M,Import,156,CHN,China,0,W00,World,H5,HS,True,2606,Aluminium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,10198950.0,False,8,kg,10198950.0,False,10198950.0,False,0.0,False,4648132.63,0.0,4648132.63,0,False,True
C,A,20200101,2020,52,2020,643,RUS,Russian Federation,M,Import,276,DEU,Germany,0,W00,World,H5,HS,True,2606,Aluminium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,24500.0,False,8,kg,24500.0,False,24500.0,False,0.0,False,16432.92,0.0,16432.92,0,False,True
C,A,20200101,2020,52,2020,643,RUS,Russian Federation,M,Import,324,GIN,Guinea,0,W00,World,H5,HS,True,2606,Aluminium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1100.0,False,8,kg,1100.0,False,1100.0,False,0.0,False,504.27,0.0,504.27,0,False,True
C,A,20200101,2020,52,2020,643,RUS,Russian Federation,M,Import,380,ITA,Italy,0,W00,World,H5,HS,True,2606,Aluminium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,10290.0,False,8,kg,10290.0,False,10290.0,False,0.0,False,20567.26,0.0,20567.26,0,False,True
C,A,20200101,2020,52,2020,643,RUS,Russian Federation,M,Import,528,NLD,Netherlands,0,W00,World,H5,HS,True,2606,Aluminium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,889850.0,False,8,kg,889850.0,False,889850.0,False,0.0,False,525823.46,0.0,525823.46,0,False,True
C,A,20200101,2020,52,2020,643,RUS,Russian Federation,M,Import,724,ESP,Spain,0,W00,World,H5,HS,True,2606,Aluminium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,137760.0,False,8,kg,137760.0,False,137760.0,False,0.0,False,79307.83,0.0,79307.83,0,False,True
C,A,20200101,2020,52,2020,643,RUS,Russian Federation,M,Import,792,TUR,Türkiye,0,W00,World,H5,HS,True,2606,Aluminium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1650000.0,False,8,kg,1650000.0,False,1650000.0,False,0.0,False,99000.0,0.0,99000.0,0,False,True
C,A,20200101,2020,52,2020,643,RUS,Russian Federation,M,Import,804,UKR,Ukraine,0,W00,World,H5,HS,True,2606,Aluminium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1084000.0,False,8,kg,1084000.0,False,1084000.0,False,0.0,False,299261.19,0.0,299261.19,0,False,True
C,A,20200101,2020,52,2020,643,RUS,Russian Federation,M,Import,826,GBR,United Kingdom,0,W00,World,H5,HS,True,2606,Aluminium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,24000.0,False,8,kg,24000.0,False,24000.0,False,0.0,False,16653.61,0.0,16653.61,0,False,True
